product,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
pallets/flask-sqlalchemy,0,0,178,95736,9884,135960,2,235290,96,139554,665,16975,7,6563,114,38497,2835,37421,4,50305,17,18371,40,976
pallets/flask,0,0,67,19556,2332,29628,6,50820,47,31264,227,5102,2,9205,25,9268,428,6758,1,367,1,304,2,93
pkkid/python-plexapi,0,0,12,2277,225,3722,1,5435,6,3158,11,202,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
cytomine/cytomine-python-client,2,1585,636,187889,7486,153952,6,221481,22,35177,79,2464,4,17411,68,29544,923,22559,2,16611,9,4478,20,386
chainer/chainer,2,20197,319,131077,5979,119636,4,163097,44,52217,236,9681,0,0,0,0,0,-4,0,0,0,0,0,0
barronh/pseudonetcdf,2,6910,939,445038,17774,422890,4,677093,164,238965,1520,54298,12,131269,485,165268,7193,104336,4,42851,9,8852,54,1601
python-social-auth/social-core,2,12913,204,35533,2536,31822,5,39235,34,16615,176,3488,4,23847,79,43517,1805,31302,2,22552,9,2882,38,787
savoirfairelinux/num2words,1,1070,19,1070,43,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
girder/large_image,1,26638,304,122997,4839,110833,3,166019,75,69660,279,10582,0,0,0,0,0,0,0,0,0,0,0,0
districtdatalabs/yellowbrick,0,0,684,320598,11636,304792,3,555495,185,234897,1525,58751,10,132013,665,233304,11014,190313,4,187910,73,86619,531,23645
jrxfive/python-nomad,0,0,12,2277,225,3722,1,5435,6,3158,11,202,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
