product,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
edx/i18n-tools,1,149210,888,154961,9097,110212,3,9654,4,3903,18,491,3,8670,32,8670,445,4439,0,0,0,0,0,0
edx/codejail,1,998,1,998,61,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
edx/edx-lint,0,0,193,45895,2441,39045,5,61828,29,15933,90,1774,16,78758,283,85279,4234,58310,2,7682,5,1161,11,134
edx/bok-choy,1,68,81,9210,616,5972,1,10828,6,1686,16,232,1,11176,32,11176,405,7201,0,0,0,0,0,0
edx/auth-backends,1,998,862,138095,8529,100565,3,152934,49,15837,246,4619,14,103287,540,117321,5886,78422,2,15378,4,1344,10,100
edx/xblock-utils,0,0,42,6720,802,7627,3,15445,19,8725,127,3262,9,54368,220,81754,4108,56579,2,27896,2,510,10,103
edx/repo-tools,2,6796,55,15374,984,15793,2,21484,24,12906,141,3089,7,31722,192,57455,3653,49832,6,41808,37,16075,144,2384
edx/edx-drf-extensions,3,10912,994,150496,10144,123751,5,178261,100,38677,427,6553,14,91427,656,196161,9968,136755,8,115255,20,10521,74,1301
edx/xblock,3,18409,143,46196,2605,35913,5,34711,9,6924,53,1418,2,1606,69,28902,1457,19332,1,27538,1,242,3,21
edx/django-config-models,0,0,846,106905,8989,105854,3,169491,141,62586,672,11099,12,120813,479,122156,6165,82156,2,4373,5,3030,17,337
edx/xblock-lti-consumer,4,4104,1104,168865,13107,155193,12,263700,223,98939,1200,23732,21,165617,1169,312517,15649,219452,15,169723,44,22823,270,4564
edx/edx-proctoring,1,286,227,47795,2868,35515,8,65166,70,17657,198,3811,34,237532,2248,499639,31132,382053,19,360064,233,97957,1058,17401
edx/edx-enterprise,9,98194,706,160617,9928,114901,18,86909,59,24486,258,5609,39,290801,2200,517654,29114,392780,18,333243,257,106390,1345,21989
edx/edx-search,1,685,130,32936,1058,22853,2,33440,4,1189,18,411,34,322459,1950,429719,25439,309627,4,155673,116,48413,562,9536
kyper-data/python-highcharts,1,40304,247,51454,2602,33574,1,14233,3,3083,13,306,1,367,2,367,34,212,0,0,0,0,0,0
hylang/hy,0,0,3,284,53,612,1,1169,1,885,14,299,0,0,0,0,0,-36,0,0,0,0,0,0
ggtracker/sc2reader,0,0,94,27162,1176,21397,2,31504,3,4342,17,390,0,0,0,0,0,0,0,0,0,0,0,0
minio/minio-py,0,0,27,8485,392,6853,2,11300,8,2815,16,381,0,0,0,0,0,0,0,0,0,0,0,0
elastic/rally,0,0,2,16,2,10,1,124,1,108,1,23,51,437000,1161,464586,23590,323656,4,41432,24,13846,138,2512
elastic/elasticsearch-py,0,0,12,2316,150,2249,1,4202,7,1886,33,385,1,124,25,4772,368,5095,1,11652,17,7004,95,2194
eternnoir/pytelegrambotapi,0,0,7,580,156,2100,1,5435,11,4855,80,1824,1,4603,45,24289,607,17453,3,22676,10,2990,39,810
andrewannex/spiceypy,0,0,232,122342,3766,97876,1,133985,6,11643,14,350,0,0,0,0,0,0,0,0,0,0,0,0
silx-kit/fabio,0,0,200,85296,3561,89975,1,133985,38,48689,219,8251,0,0,0,0,0,0,0,0,0,0,0,0
nvbn/thefuck,1,998,1,998,61,363,0,0,0,0,0,0,46,375381,1231,401550,14775,198883,1,27538,2,1369,59,888
rare-technologies/gensim,0,0,609,271539,9870,267402,2,390953,87,119414,476,22518,0,0,6,622,192,-344,1,4723,13,4101,53,1462
mwclient/mwclient,0,0,14,1234,110,1361,2,2349,2,1115,3,42,5,39142,140,44262,1276,30759,1,5435,1,315,1,3
camdavidsonpilon/lifelines,0,0,944,398296,18094,406835,6,687673,227,289377,2168,72125,15,179366,723,212797,9439,132469,3,41268,8,7837,48,1547
datacamp/pythonwhat,2,164326,478,274599,9616,230451,4,143591,29,33318,149,4087,5,11644,73,21671,1274,16668,1,13214,3,3187,5,97
xebuz/flask-validator,2,3960,55,9537,425,4267,4,7300,5,1723,21,171,13,77340,645,364572,16926,243485,5,292566,11,5334,110,2108
rdmorganiser/rdmo,13,36116,1789,177688,13711,152235,14,201664,157,60092,621,9002,33,232306,717,253719,13617,176907,6,39136,37,17723,110,1755
lbl-anp/becquerel,4,35055,1087,428875,25008,364248,12,554936,123,161116,1093,30718,20,166771,1223,528180,18911,411152,8,454931,77,93522,488,22008
punch-cyber/stoq,0,0,21,7972,528,8741,3,12628,9,4656,23,563,4,20018,60,30031,820,20954,1,11176,2,1163,3,77
mongoengine/flask-mongoengine,0,0,26,7780,840,12691,2,20087,21,12307,84,2790,6,15956,307,88711,5846,83472,8,112077,66,39322,257,5394
mongoengine/mongoengine,0,0,32,6348,1481,19086,1,33024,46,26676,175,4260,0,0,132,24814,1413,18113,1,26597,1,1783,9,227
mitmproxy/mitmproxy,7,97774,408,145697,7625,110649,14,85697,57,37774,281,5260,11,51585,197,89752,5448,67865,4,61477,28,23310,294,6442
danilop/yas3fs,0,0,279,61201,6206,104551,3,151912,202,90711,562,8319,5,29724,146,59067,3475,44325,1,34442,8,5099,61,759
stripe/stripe-python,0,0,12,2277,225,3722,1,5435,6,3158,11,202,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
psd-tools/psd-tools,0,0,918,373513,12122,333619,6,480333,92,106820,608,25104,5,139910,361,159658,3560,120441,1,32772,7,13024,46,1965
django-json-api/django-rest-framework-json-api,0,0,45,4906,850,9784,2,16351,28,11445,108,1828,2,6933,857,136163,9042,107901,3,152663,44,23433,137,2368
iconfinder/pyvat,0,0,13,2418,261,4017,2,6095,9,3677,19,322,3,16103,120,53412,2020,36682,2,38714,3,1405,6,98
infoportugal/wagtail-modeltranslation,0,0,1494,170563,12969,147169,3,242975,172,72412,802,14187,26,155111,639,160761,7281,102024,4,10321,7,4671,23,473
voxpupuli/puppetboard,4,36353,77,39585,1521,29175,4,10385,18,7153,93,1658,11,19745,323,99242,5974,80517,10,104053,38,24556,92,1978
voxpupuli/pypuppetdb,0,0,7,580,153,2071,1,5435,11,4855,83,1853,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
metaodi/osmapi,0,0,12,2277,224,3718,1,5435,6,3158,12,206,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
vonage/vonage-python-sdk,1,2636,16,3494,239,3393,3,6059,13,5201,93,2067,5,41486,186,72926,4164,54325,6,42816,18,11376,71,1472
xml-security/signxml,0,0,90,17173,1832,19026,4,31363,20,14190,107,1681,2,19120,33,19120,1197,13820,0,0,0,0,0,0
arteria/cmsplugin-contact-plus,1,998,29,2274,171,1381,4,1789,5,513,10,131,2,6933,832,125855,8678,102362,2,150947,69,32025,307,5273
python-escpos/python-escpos,3,3428,175,46724,2535,38503,6,56902,19,13606,149,2713,2,5444,2,5444,243,3651,0,0,0,0,0,0
convexengineering/gpkit,1,124992,2692,1115708,28779,842928,6,1079823,44,89107,198,10663,13,174023,463,174023,7293,108816,0,0,0,0,0,0
python273/vk_api,0,0,7,580,154,2075,1,5435,11,4855,82,1849,3,9417,64,29087,784,20664,2,22552,9,2882,38,787
sergeypirogov/webdriver_manager,0,0,51,7153,607,8659,4,14809,21,7656,101,1924,4,17337,75,27350,744,19105,1,11176,2,1163,3,77
fabiocaccamo/django-maintenance-mode,0,0,1,7,72,833,1,1272,1,1265,16,135,0,0,0,0,0,0,0,0,0,0,0,0
dateutil/dateutil,1,998,1,998,61,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gallopsled/pwntools,2,194612,995,346175,11118,159084,15,218731,116,67168,789,14000,11,71144,242,81223,4217,54057,2,11309,3,1230,5,90
jonathf/chaospy,0,0,722,280041,9994,272453,3,400967,101,120926,523,23692,14,357365,858,357933,12519,190317,1,1583,1,1015,6,54
cclib/cclib,1,11863,697,359973,10593,288217,3,395016,32,46906,163,6634,1,10913,11,10913,513,7407,0,0,0,0,0,0
leeping/geometric,1,998,463,174669,5730,176906,2,235805,51,62134,220,10720,0,0,0,0,0,0,0,0,0,0,0,0
chaoss/grimoirelab-perceval,1,18391,189,45983,4018,46072,7,56101,40,28509,229,6321,27,360598,998,379639,13838,188348,2,23028,10,3987,44,837
plivo/sharq-server,4,15522,405,82057,7745,74060,5,107509,69,40974,302,5048,3,13661,253,46261,2882,32669,6,44706,18,12106,139,2707
pik-copan/pyunicorn,0,0,616,286127,9773,263919,2,390953,80,104826,567,24238,1,745,69,18681,736,15714,1,22430,6,4494,13,452
barttc/dpaste,7,43882,1120,197962,13261,151290,3,195026,85,40946,395,7099,18,111278,614,225034,5178,63827,2,118658,10,4902,35,850
itamarst/eliot,2,10084,61,27820,1827,18274,2,21596,8,3860,57,650,0,0,65,26858,1372,18415,1,27538,3,680,8,78
s4w3d0ff/python-poloniex,0,0,8,737,157,2146,1,5435,10,4698,79,1778,2,4727,55,25721,705,19000,3,25658,14,4664,85,1413
ecogenomics/gtdbtk,0,0,375,151033,6540,142639,4,198416,32,47383,167,4822,0,0,66,26169,1483,19278,2,30610,3,4441,60,926
dov-vlaanderen/pydov,0,0,216,66486,5506,118718,2,187606,85,121120,1008,29757,5,11675,357,148562,5525,127621,7,179334,47,42447,262,7650
appium/python-client,0,0,270,111886,7095,70430,1,129563,29,17677,70,1013,9,12896,204,65689,3186,51723,4,64596,29,11803,119,3058
pysmo/aimbat,0,0,720,333258,12457,274312,4,439508,122,106250,726,15553,16,178926,740,280761,11873,219762,3,172617,61,70782,406,18089
zerodha/pykiteconnect,2,1910,163,40507,2860,38468,4,56269,16,17672,84,2113,11,79472,861,291948,16277,192107,9,244442,55,31966,173,3158
jamesoff/simplemonitor,1,7056,749,258058,18723,223315,12,293713,60,42711,338,6122,19,194821,849,261000,11022,148753,7,81562,29,15383,132,2658
paloaltonetworks/pan-os-python,0,0,9,2253,149,2710,1,4180,2,1927,22,668,0,0,0,0,0,-2,0,0,0,0,0,0
napalm-automation-community/napalm-panos,2,19708,186,50365,2496,39023,3,33298,5,2641,45,903,31,261975,1194,332196,16064,231389,6,79168,15,8947,45,1400
pmeal/openpnm,1,150290,1911,923625,33755,639931,14,974049,149,200714,1054,45357,21,335284,1804,734060,26780,587383,9,702130,212,303354,2122,71391
pmeal/porespy,0,0,740,299588,16704,244180,6,390679,91,91091,548,14539,37,1170405,3496,1648050,51207,1139182,15,758802,235,281157,1866,70907
kennethreitz-archive/clint,1,432,2,432,34,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bingads/bingads-python-sdk,0,0,41,8569,998,11998,2,20575,34,12006,136,2005,33,360359,1005,397668,14574,200580,2,38714,3,1405,6,98
mpdavis/python-jose,0,0,26,6698,874,9880,2,18470,17,11772,115,2293,1,56738,209,62211,3305,40405,2,12495,10,7022,66,1088
jeltef/pylatex,0,0,0,0,28,377,1,536,1,536,1,8,0,0,0,0,0,0,0,0,0,0,0,0
qutebrowser/qutebrowser,0,0,28,9927,1013,13133,2,20156,15,10229,98,1708,1,367,2,367,34,152,0,0,0,0,0,0
nchammas/flintrock,1,17639,72,17639,1291,11059,0,0,0,0,0,0,9,54940,248,84594,5187,65395,3,39435,22,9781,85,1006
bigcommerce/bigcommerce-api-python,0,0,19,3502,301,4566,2,6793,8,3291,22,368,9,84059,200,94384,2554,42688,1,11652,3,1327,4,82
chebpy/chebpy,1,12804,37,12804,479,7866,0,0,0,0,0,0,8,137524,258,137524,7135,87929,0,0,0,0,0,0
insarlab/mintpy,2,21741,489,174957,9120,164606,11,289305,149,136089,944,31918,43,412460,2634,978085,34146,719469,17,777673,178,212048,1166,48870
oasis-open/cti-stix-validator,1,608,117,19419,1969,21337,8,39299,53,20488,261,5896,19,41194,221,65957,2565,41792,4,29914,6,5151,11,190
buruzaemon/natto-py,0,0,12,5489,472,4862,1,8157,4,2668,85,1455,0,0,14,8340,637,7358,1,10963,3,2623,3,153
shivam5992/textstat,0,0,0,0,7,125,1,299,1,299,5,96,0,0,0,0,0,0,0,0,0,0,0,0
arm-doe/pyart,3,14086,796,387916,14200,332519,5,534797,135,160967,824,34132,36,242546,1166,402363,24062,423246,14,401036,188,241219,1642,46190
timmyomahony/django-pagedown,1,31016,953,173407,9676,124158,1,149210,10,6819,17,195,2,6933,31,8025,440,4665,1,1737,1,645,5,77
allankp/pytest-testrail,1,29250,70,31370,1850,24563,1,5435,7,3315,14,273,8,23738,87,33751,1012,23279,1,11176,2,1163,3,77
glotaran/pyglotaran,5,91413,1307,545546,27787,507732,8,660872,155,206739,1444,39935,10,134647,730,245409,7338,127525,5,173814,53,63052,408,19335
wind-python/windpowerlib,0,0,172,52474,4736,105353,2,166583,76,114109,904,27314,5,17128,309,131162,4709,115985,4,155413,31,41379,163,6318
django-mptt/django-mptt,0,0,1,7,6,28,1,101,1,94,1,9,2,6933,847,127460,8825,105421,2,150947,54,30420,153,2217
lebigot/uncertainties,1,40304,225,40304,1853,23717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pre-commit/pre-commit,2,8328,110,19107,989,10039,3,13784,8,3005,19,325,3,12667,96,39963,2115,28078,1,27538,1,242,3,21
pre-commit/pre-commit-hooks,1,14545,31,14566,805,11395,1,819,2,798,36,585,0,0,0,0,0,0,0,0,0,0,0,0
nutechsoftware/alarmdecoder,0,0,12,2209,338,3976,1,8510,16,6301,80,1575,0,0,0,0,0,-141,0,0,0,0,0,0
softlayer/softlayer-python,1,2702,313,121207,1566,22237,3,132486,26,13981,191,4167,5,18257,275,73191,3637,58276,4,89459,77,34525,285,6570
liminspace/django-mjml,0,0,801,121791,8199,97943,1,149210,68,27419,323,4943,2,6933,30,7905,439,4666,1,1737,2,765,6,86
galaxyproject/bioblend,0,0,53,4767,439,5948,3,10017,12,5250,40,627,12,48390,363,97963,4491,65390,3,53652,5,4079,6,139
galaxyproject/planemo,3,28977,254,55809,3012,48820,7,41403,41,14571,212,4719,52,803940,2387,913425,35096,608746,14,169450,107,59965,769,14736
dominodatalab/python-domino,1,6946,49,16636,977,16213,4,17959,15,8269,104,2301,4,11725,50,26974,933,19904,3,23152,21,7903,125,2779
stellarcn/py-stellar-base,0,0,85,23736,1741,22609,6,35268,18,11532,58,1758,9,26004,111,48772,2267,37675,4,29428,9,6660,39,875
katholt/kleborate,0,0,251,130956,4273,99687,1,174735,82,43779,378,9818,0,0,223,101452,3711,95331,1,133985,15,32533,69,2895
katholt/kaptive,0,0,257,132957,4306,101455,1,174735,76,41778,345,8050,1,133991,238,133991,3700,97240,0,0,0,0,0,0
olofk/fusesoc,0,0,96,19017,1252,20653,4,29600,14,10583,38,767,10,39123,126,39123,1843,23802,0,0,0,0,0,0
provenancelabs/image-match,1,998,1,998,61,363,0,0,0,0,0,0,14,240133,1145,393653,14141,341675,3,217805,63,64285,329,11360
mjg59/python-broadlink,0,0,74,15046,1451,12035,1,19173,9,4127,26,265,3,20118,34,20118,1258,14191,0,0,0,0,0,0
circus-tent/circus,0,0,65,21039,1765,25322,3,43921,44,22882,283,3963,0,0,0,0,0,-297,0,0,0,0,0,0
fffonion/xehentai,0,0,7,580,148,1864,1,5435,11,4855,88,2060,3,5685,44,23448,635,17738,2,22552,13,4789,59,1269
robotika/osgar,0,0,0,0,29,172,1,1308,4,1308,33,692,5,21301,436,145207,6570,139418,8,195639,87,71733,402,12477
grokzen/pykwalify,1,14545,64,21039,1090,16408,2,8686,2,2192,57,1318,1,998,1,998,61,363,0,0,0,0,0,0
grokzen/redis-py-cluster,0,0,3,385,419,4220,1,6548,5,6163,61,961,0,0,0,0,0,-6,0,0,0,0,0,0
panoptes/pocs,1,10130,27,12250,709,10886,1,5435,7,3315,14,273,25,189694,958,264789,12207,167220,3,99473,45,24378,205,3588
camptocamp/anthem,1,40304,229,41488,1974,24610,1,1279,1,95,1,14,0,0,0,0,0,0,0,0,0,0,0,0
camptocamp/marabunta,1,14545,301,70512,3863,51747,3,67616,20,11649,87,2273,1,367,52,16461,1371,13540,2,19742,7,3648,14,441
nabla-c0d3/sslyze,0,0,93,23213,2193,22477,4,38866,27,15653,170,3237,2,19120,37,19481,1364,15472,2,3855,9,3494,29,245
thread/django-lightweight-queue,0,0,853,135918,8609,103276,3,153774,42,17856,169,2995,1,3861,29,4833,437,4543,2,4809,3,3837,8,173
presslabs/gitfs,0,0,199,32316,3058,32674,5,45767,23,13451,95,1491,0,0,15,8202,663,7417,2,11560,4,3358,4,155
arviz-devs/arviz,0,0,797,342676,17606,400382,8,654831,218,312155,1932,57484,8,125168,662,234657,10614,182171,7,186225,74,76736,532,24960
lucyparsons/openoversight,1,18747,252,124811,10231,136403,3,196048,71,89984,447,11359,63,771024,3795,1408520,53489,700222,32,732602,193,95106,771,16594
yubico/yubikey-manager,0,0,197,30595,2525,25019,5,51024,54,20429,298,4235,7,28909,71,29442,1933,21769,1,1583,2,1050,7,59
wmayner/pyphi,2,534,865,404728,15100,349834,9,488266,85,84072,346,9389,1,247,133,25061,1432,17988,1,26597,1,1783,9,227
zalando-stups/pierone-cli,0,0,15,758,197,2420,4,6555,15,5797,113,2239,3,31324,198,57364,2796,46563,5,38781,25,12741,120,2121
transtats/transtats,8,50010,899,197440,9731,116861,14,180743,58,33313,216,4342,30,170634,1406,320129,19915,235386,9,193437,143,43942,450,7243
pyqtgraph/pyqtgraph,0,0,204,90230,3593,89980,1,133985,34,43755,188,8436,0,0,0,0,0,-190,0,0,0,0,0,0
dib-lab/sourmash,3,133439,831,453878,14167,337013,5,398200,60,77761,382,17424,12,180537,476,181070,7790,114043,1,1583,2,1050,7,59
openwisp/netjsonconfig,0,0,35,13252,982,12253,2,18489,7,5237,22,522,3,10142,37,10142,605,7323,0,0,0,0,0,0
pcubillos/mc3,0,0,759,388114,12934,318495,3,515945,94,127831,590,24207,9,130942,446,163409,6997,104927,2,38632,6,6165,18,565
divio/divio-cli,2,5735,157,36924,2427,37663,6,51128,26,19939,157,3873,4,17101,66,30721,1042,22986,2,17099,8,3479,12,244
igraph/python-igraph,0,0,0,0,15,175,1,745,1,745,26,343,0,0,37,6742,552,10793,1,22430,37,15688,165,5494
librosa/librosa,2,3254,1059,448447,22356,447882,10,724260,242,279067,1927,79444,8,44657,179,70192,3776,52016,4,35967,18,10432,45,1056
espressif/esptool,0,0,124,37424,3056,32345,6,53504,25,16080,190,3402,2,19120,33,19120,1257,14186,1,998,1,998,1,2
lablup/backend.ai-manager,10,23924,426,96584,6869,83044,12,111783,102,39395,333,4621,35,129787,987,263091,19723,256755,14,294589,134,161013,896,22430
neuralensemble/elephant,1,998,554,230102,8084,210686,3,304073,63,74969,303,14399,1,4063,255,82582,3853,85533,2,141489,54,62970,385,16870
securityinnovation/pgpy,0,0,75,16597,1747,15535,2,29136,30,12539,184,2381,2,19120,33,19120,1197,13673,0,0,0,0,0,0
daavoo/pyntcloud,0,0,804,368222,14498,374564,3,552101,122,183879,1240,42465,2,1025,45,9605,416,4064,2,10252,2,1672,30,982
wookayin/gpustat,0,0,6,2087,918,10675,3,19718,15,17631,97,1452,3,10468,7,10468,229,2288,0,0,0,0,0,0
cartodb/carto-python,1,5435,21,5516,262,4178,1,694,4,613,24,220,6,75199,298,75199,2862,48206,1,998,1,998,1,6
pndurette/gtts,0,0,16,7169,633,9548,2,15565,18,8396,90,1611,3,6223,59,25893,655,18217,2,22552,9,2882,38,787
jacebrowning/gitman,1,1854,19,1865,104,1316,1,48,1,37,4,23,4,19573,47,19597,1179,14997,1,227,4,203,13,107
jacebrowning/mine,0,0,17,750,123,958,4,2266,11,1516,44,415,4,6048,30,10397,805,9263,2,8004,8,3655,22,852
wagtail/django-modelcluster,0,0,821,123375,8342,98960,2,151846,54,28471,264,5021,2,6933,30,7905,439,4655,1,1737,2,765,6,86
wagtail/wagtailtrans,0,0,549,45134,3309,33636,1,54974,21,9840,67,1127,25,253969,1774,352301,18445,232225,6,152465,134,54133,597,9025
wagtail/wagtail,0,0,1012,136401,12311,148073,16,265056,348,128655,1802,28113,8,29059,133,43898,1720,28293,7,20527,22,5688,86,1126
mdshw5/pyfaidx,2,28536,69,28536,1441,18880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onaio/onadata,19,230943,2221,438921,29071,385019,36,374316,430,166338,2150,35106,51,491818,1746,545831,21064,282410,13,89094,113,35081,482,10736
gabrielfalcao/sure,2,4162,4,4162,253,2769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geronimp/graftm,1,5570,319,143102,4800,112365,3,184203,73,46671,339,8923,15,276683,1439,827897,31711,638537,7,632167,71,80953,463,17489
yeatmanlab/pyafq,0,0,407,139617,9859,209624,11,318108,148,178491,1367,40393,25,191660,2130,826439,36750,734141,23,914267,267,279488,1511,44842
sncosmo/sncosmo,0,0,854,339734,12924,314496,2,459569,83,119835,539,18135,1,4063,213,73544,4148,107571,3,161812,62,92331,436,18511
amietn/vcsi,1,133985,323,154462,5669,128024,4,50679,51,30202,176,5672,1,367,2,367,34,139,0,0,0,0,0,0
giuliorossetti/ndlib,0,0,622,302465,9841,265211,3,391075,76,88610,511,22862,15,210394,1624,694968,25149,531998,12,653989,133,169415,1198,34726
aewallin/allantools,0,0,645,322749,10008,272557,2,390953,51,68204,325,15384,1,3707,9,3707,102,2618,0,0,0,0,0,0
nextstrain/augur,0,0,266,132791,4478,101905,3,179977,86,47186,439,11413,9,27098,1406,602977,21737,513904,15,764906,151,189027,1042,44188
missionpinball/mpf-mc,2,11870,469,96868,7224,89630,2,143638,114,58640,646,9372,11,93172,530,201869,5231,75115,2,124939,24,16242,122,1845
missionpinball/mpf,1,11815,57,19813,1777,24248,5,27491,26,19493,194,3624,0,0,0,0,0,-141,0,0,0,0,0,0
aio-libs/aiopg,0,0,5,1287,185,1716,1,3809,6,2522,20,405,0,0,0,0,13,89,1,247,1,247,6,69
aio-libs/aiohttp,0,0,12,2560,264,2366,5,6932,11,4372,54,1747,1,5459,25,16381,295,12573,2,11623,3,701,28,444
aio-libs/aiomonitor,0,0,15,1603,113,1573,2,2336,4,733,9,134,0,0,0,0,0,-21,0,0,0,0,0,0
aio-libs/aiobotocore,0,0,77,21117,2948,32974,4,57105,52,35988,549,7176,5,8805,94,34423,1679,30852,8,40215,24,14597,131,2607
aio-libs/janus,0,0,0,0,0,0,0,0,0,0,0,0,1,3072,1,3072,162,1687,0,0,0,0,0,0
aio-libs/sockjs,0,0,36,14145,1178,12741,1,20182,9,6037,58,1093,3,10842,44,21787,601,16513,5,13172,7,2227,37,609
aio-libs/aioredis-py,0,0,0,0,13,89,1,247,1,247,6,69,1,3072,1,3072,162,1687,0,0,0,0,0,0
aio-libs/aiodocker,1,3072,32,12776,1311,13351,1,20182,14,10478,84,2167,4,5515,43,18270,587,16015,4,18499,8,5744,53,1110
aio-libs/aiohttp-session,0,0,39,16170,1208,13335,1,20182,6,4012,25,493,4,11089,45,22034,607,16588,4,12925,6,1980,31,540
aio-libs/yarl,1,780,11,11702,175,8971,1,11376,2,454,21,358,0,0,0,0,0,0,0,0,0,0,0,0
aio-libs/aiohttp-sse,0,0,43,18916,1226,13739,1,20182,2,1266,6,87,8,24014,51,24014,638,17130,0,0,0,0,0,0
aio-libs/aiohttp-devtools,0,0,330,121245,2542,31482,5,149685,49,28440,202,4607,6,10776,98,32571,1558,25077,8,27986,13,6191,57,1204
geoscienceaustralia/eo-datasets,1,76867,1030,463199,18640,377069,18,450960,118,64628,517,10955,43,643237,1487,764422,34109,583689,6,186093,60,64908,397,15678
georgetown-ir-lab/quickumls,5,179844,899,353168,9947,189373,3,178735,6,5411,112,1847,30,243563,665,269732,13789,191437,1,27538,2,1369,59,888
bxlab/bx-python,0,0,223,102582,3730,96069,1,133985,15,31403,50,2157,0,0,0,0,0,0,0,0,0,0,0,0
tlsfuzzer/python-ecdsa,0,0,0,0,60,361,1,998,1,998,1,2,0,0,0,0,0,0,0,0,0,0,0,0
tlsfuzzer/tlslite-ng,0,0,18,5679,801,8817,1,15665,11,9986,88,1445,0,0,0,0,60,361,1,998,1,998,1,2
qcodes/qcodes,4,34686,537,147882,11045,223608,12,303207,144,190011,1237,33044,63,735280,3109,1038393,40420,607458,15,399097,98,95984,582,23801
moonso/genmod,2,29502,72,31611,1888,25718,4,7355,7,5246,27,749,7,10117,62,17878,1064,16724,3,15649,12,7888,67,1497
sharppy/sharppy,0,0,28,8123,497,8603,2,13051,8,4928,42,1221,3,16977,53,27006,703,18526,2,11300,3,1271,4,100
farrokhi/dnsdiag,0,0,164,25376,1784,22517,4,36149,22,10773,95,2286,3,16103,53,26116,643,18171,1,11176,2,1163,3,77
wheatoncs/lexos,0,0,2446,1006970,25238,756739,8,1167592,120,160622,641,32073,55,705033,3017,1023186,32568,624585,8,355409,41,37256,175,6436
nordicsemiconductor/pc-nrfutil,3,21797,165,46579,3906,46766,8,57640,58,32858,350,5638,3,36759,119,48353,2774,26500,3,14321,5,2727,11,258
zarr-developers/numcodecs,1,247,221,104313,3703,94809,1,133985,18,29919,93,3596,0,0,0,0,0,0,0,0,0,0,0,0
frictionlessdata/frictionless-py,11,104502,344,116516,4041,61246,7,23079,13,11065,77,2876,18,195419,851,207017,4545,71965,2,26387,37,14789,155,4001
frictionlessdata/datapackage-py,1,998,93,53053,1240,15059,7,66145,54,14090,216,4219,24,350762,785,372547,16880,243457,3,26786,11,5001,45,978
f5networks/f5-common-python,1,998,5,1978,92,1060,1,1039,1,59,1,3,4,27279,69,30879,877,22069,1,5435,4,1835,6,115
f5networks/f5-openstack-agent,0,0,271,26110,1493,12607,1,27278,7,1168,26,269,6,33837,78,33837,974,23326,1,998,1,998,1,2
patonlab/goodvibes,1,133985,302,159590,4228,122469,1,27493,6,1888,19,511,4,283807,502,283807,7489,204032,0,0,0,0,0,0
alexanderfabisch/gmr,0,0,641,315998,9997,272258,2,390953,55,74955,337,16028,0,0,0,0,0,-768,0,0,0,0,0,0
fossasia/pslab-python,0,0,660,332898,10373,276950,3,399463,64,66565,379,16544,1,3072,92,33307,1868,23540,5,36983,12,6748,147,2411
optimizely/python-sdk,2,10806,50,15528,1146,14297,2,10082,10,5360,20,481,11,60957,188,70970,3456,48602,1,11176,2,1163,3,77
okpy/ok-client,1,3446,38,6664,828,9287,3,14446,30,11228,206,3166,17,125370,466,161857,8312,106460,2,38305,4,1818,80,1238
casacore/python-casacore,1,998,230,108330,3805,97027,1,133985,9,26653,37,1873,0,0,0,0,0,-311,0,0,0,0,0,0
aws-quickstart/taskcat,2,192063,682,244596,10973,158789,9,87480,58,34947,274,5863,21,687954,1792,755700,23110,442335,6,90819,30,23073,394,6523
playpauseandstop/rororo,1,2798,235,29498,2055,20885,6,32215,25,5515,61,1605,12,58378,361,104790,5617,81787,10,63712,27,17300,121,1854
ess-dmsc/lewis,2,1818,86,15967,838,10682,2,16109,9,1960,14,175,1,1574,3,1574,127,1145,0,0,0,0,0,0
scikit-optimize/scikit-optimize,1,276,881,415029,13802,388680,4,579781,118,165028,664,28485,1,1071,18,6604,406,4474,1,5923,1,390,2,19
mwaskom/seaborn,0,0,452,200114,10746,231074,3,420125,173,220011,1634,50823,10,130969,471,162663,7046,103430,3,41268,9,9574,51,1869
smarr/rebench,0,0,32,11579,1240,16898,4,26332,19,14753,68,2208,3,16613,66,22616,1179,17128,1,7616,1,1613,29,961
