,Name,Status,Bloat Files,Used Files,Bloated Functions,Used Functions,percentage_bloated_functions,percentage_bloated_files
85,GitPython,inactive,30,7,601,40,0.9375975039001561,0.8108108108108109
86,Werkzeug,inactive,29,18,1051,100,0.9131190269331017,0.6170212765957447
87,cryptography,inactive,58,14,1238,53,0.9589465530596437,0.8055555555555556
88,cryptography,inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
89,requests,active,7,11,150,82,0.646551724137931,0.3888888888888889
90,cryptography,inactive,69,3,1289,3,0.9976780185758514,0.9583333333333334
91,cryptography,inactive,69,3,1287,5,0.9961300309597523,0.9583333333333334
92,requests,active,7,11,151,85,0.6398305084745762,0.3888888888888889
93,cryptography,inactive,59,13,1246,45,0.965143299767622,0.8194444444444444
94,requests,inactive,11,7,223,13,0.9449152542372882,0.6111111111111112
95,waitress,inactive,15,1,218,2,0.990909090909091,0.9375
96,joblib,inactive,52,3,722,6,0.9917582417582418,0.9454545454545454
97,requests,active,7,11,150,83,0.6437768240343348,0.3888888888888889
98,py,inactive,165,7,5489,64,0.9884746983612461,0.9593023255813954
99,cryptography,inactive,62,10,1262,29,0.9775367931835787,0.8611111111111112
100,cryptography,inactive,60,22,1278,81,0.9403973509933775,0.7317073170731707
101,requests,inactive,12,6,225,11,0.9533898305084746,0.6666666666666666
102,cryptography,inactive,59,13,1232,62,0.9520865533230294,0.8194444444444444
103,gunicorn,inactive,27,10,458,61,0.882466281310212,0.7297297297297297
104,Werkzeug,inactive,53,10,1696,31,0.9820497973364215,0.8412698412698413
105,autobahn,inactive,126,4,1987,15,0.9925074925074925,0.9692307692307692
106,cryptography,inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
107,requests,active,7,11,154,82,0.652542372881356,0.3888888888888889
108,requests,inactive,12,6,221,11,0.9525862068965517,0.6666666666666666
109,GitPython,inactive,23,13,567,63,0.9,0.6388888888888888
110,aiohttp,inactive,40,5,1214,19,0.9845904298459043,0.8888888888888888
111,cryptography,inactive,74,9,1451,26,0.982396750169262,0.891566265060241
112,requests,active,7,11,154,82,0.652542372881356,0.3888888888888889
113,cryptography,inactive,75,6,1339,15,0.9889217134416544,0.9259259259259259
114,cryptography,active,58,14,1222,70,0.9458204334365325,0.8055555555555556
115,cryptography,inactive,44,28,1135,163,0.8744221879815101,0.6111111111111112
116,cryptography,inactive,64,8,1265,27,0.9791021671826625,0.8888888888888888
117,cryptography,inactive,65,7,1279,13,0.989938080495356,0.9027777777777778
118,aiohttp,active,32,13,1166,68,0.9448946515397083,0.7111111111111111
119,cryptography,inactive,49,23,1166,131,0.8989976869699307,0.6805555555555556
120,wagtail,inactive,555,15,3322,54,0.9840047393364929,0.9736842105263158
121,cryptography,inactive,57,15,1204,87,0.9326103795507359,0.7916666666666666
122,aiohttp,inactive,34,11,1161,72,0.9416058394160584,0.7555555555555555
123,aiohttp,active,36,9,1178,58,0.9530744336569579,0.8
124,aiohttp,inactive,31,14,1149,84,0.9318734793187348,0.6888888888888889
125,aiohttp,active,39,6,1208,25,0.9797242497972425,0.8666666666666667
126,aiohttp,inactive,43,2,1226,6,0.9951298701298701,0.9555555555555556
127,aiohttp,active,25,20,1117,118,0.9044534412955466,0.5555555555555556
128,cryptography,inactive,63,9,1265,27,0.9791021671826625,0.875
129,configobj,inactive,2,1,132,1,0.9924812030075187,0.6666666666666666
130,cryptography,inactive,66,6,1265,28,0.9783449342614076,0.9166666666666666
131,requests,active,7,11,149,84,0.6394849785407726,0.3888888888888889
132,aiohttp,inactive,42,3,1226,7,0.9943227899432279,0.9333333333333333
133,configobj,inactive,1,2,101,32,0.7593984962406015,0.3333333333333333
134,cryptography,inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
135,cryptography,inactive,51,21,1203,91,0.9296754250386399,0.7083333333333334
136,cryptography,inactive,63,9,1268,23,0.9821843532145623,0.875
137,GitPython,inactive,23,13,579,51,0.919047619047619,0.6388888888888888
138,Werkzeug,inactive,36,7,1153,29,0.9754653130287648,0.8372093023255814
139,requests,inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
140,cryptography,inactive,66,6,1279,12,0.9907048799380326,0.9166666666666666
141,aiohttp,active,35,12,1183,28,0.976878612716763,0.7446808510638298
142,cryptography,inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
143,cryptography,inactive,78,2,1364,7,0.9948942377826404,0.975
144,cryptography,inactive,62,10,1253,39,0.9698142414860681,0.8611111111111112
145,cryptography,inactive,59,13,1246,58,0.9555214723926381,0.8194444444444444
146,cryptography,inactive,61,11,1235,56,0.9566227730441518,0.8472222222222222
147,Django,inactive,699,158,7614,636,0.9229090909090909,0.8156359393232205
148,cryptography,inactive,80,1,1351,1,0.9992603550295858,0.9876543209876543
149,Werkzeug,inactive,39,8,1119,35,0.9696707105719238,0.8297872340425532
150,requests,inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
151,aiohttp,inactive,40,5,1215,19,0.9846029173419774,0.8888888888888888
152,redis,inactive,60,3,1584,12,0.9924812030075187,0.9523809523809523
153,configobj,inactive,2,1,98,35,0.7368421052631579,0.6666666666666666
154,cryptography,inactive,67,13,1344,28,0.9795918367346939,0.8375
155,requests,inactive,11,7,221,15,0.9364406779661016,0.6111111111111112
156,cryptography,inactive,71,12,1438,48,0.9676985195154778,0.8554216867469879
157,Werkzeug,inactive,33,10,1142,40,0.9661590524534687,0.7674418604651163
158,cryptography,inactive,69,3,1287,5,0.9961300309597523,0.9583333333333334
159,aiohttp,inactive,39,6,1227,8,0.9935222672064777,0.8666666666666667
160,cleo,active,36,28,461,124,0.788034188034188,0.5625
161,cryptography,inactive,63,9,1268,23,0.9821843532145623,0.875
