product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
globus/globus-sdk-python,184,21739,617,12619,3638,50124,191,74738,6,50891,28,15204,146,3013,10,10,4,23847,163,59534,3492,47111,1,1,0,1,0
micropyramid/django-mfa,29,1375,59,625,13220,161349,1095,318165,3,152381,102,43701,382,6490,18,18,15,165784,993,274464,12846,154859,0,1,0,0,0
micropyramid/forex-python,4,411,25,274,945,23773,82,34758,3,18655,12,5509,23,539,6,6,3,16103,70,29249,922,23234,0,1,0,0,0
sethblack/python-seo-analyzer,9,957,31,625,2491,45088,145,65369,6,50965,26,15279,134,3800,10,10,4,14404,119,50090,2357,41288,0,0,0,0,1
opennetworkingfoundation/tapi,0,0,0,0,1156,27163,82,39921,0,0,0,0,0,0,9,9,9,39921,82,39921,1156,27163,0,1,0,0,0
polyaxon/polyaxon,0,0,0,0,22129,402549,2162,714645,0,0,0,0,0,0,35,35,35,714645,2162,714645,22129,402549,0,1,0,0,0
pytroll/satpy,191,60570,2978,40416,30996,703928,1788,936988,26,880353,352,380253,2995,96488,43,43,17,56635,1436,556735,28047,607440,1,1,0,1,0
pytroll/pyresample,51,18164,737,13372,6531,141749,407,194991,8,193455,71,71399,343,14580,11,11,3,1536,336,123592,6193,127169,1,1,0,1,0
docnow/twarc,62,13538,373,9470,2576,52836,234,74810,13,70083,57,29108,305,7252,15,15,2,4727,177,45702,2274,45584,1,1,0,1,0
gns3/gns3-gui,333,203845,2275,46226,4187,57213,249,83422,5,62347,20,16215,198,2718,9,9,4,21075,229,67207,3990,54495,0,1,0,0,0
gns3/gns3-server,269,55018,2208,30856,7022,98878,385,142981,17,119144,60,39746,416,7489,24,24,7,23837,325,103235,6622,91389,1,1,1,0,0
snowflakedb/snowflake-connector-python,129,38649,1703,26686,8159,127960,526,196270,17,195694,98,58446,428,9668,18,18,1,576,428,137824,7747,118292,0,0,0,0,2
snowflakedb/snowflake-ingest-python,10,676,28,374,10115,156850,669,238409,7,42419,30,13807,115,1828,23,23,16,195990,639,224602,10000,155022,1,1,0,1,1
snowflakedb/snowflake-sqlalchemy,11,2806,221,1782,18753,281044,889,419743,1,185796,14,30012,51,1425,21,21,20,233947,875,389731,18707,279619,0,2,0,0,0
scitools/iris-grib,10,7054,212,5782,33691,689835,1976,1012481,14,663204,125,143643,891,29756,41,41,27,349277,1851,868838,32808,660079,0,1,0,0,0
scitools/cartopy,33,14359,523,11219,14726,276872,913,451437,7,321763,97,108181,575,22636,17,17,10,129674,816,343256,14160,254236,0,1,0,0,0
faforever/client,190,26855,1980,20111,8766,133802,577,196834,16,107858,62,36943,348,6234,41,41,25,88976,515,159891,8449,127568,0,1,0,0,0
dschep/ntfy,29,1570,43,1072,1702,34032,103,47867,3,17219,10,5086,25,651,7,7,4,30648,93,42781,1677,33381,0,1,0,0,0
akretion/roulier,75,5572,329,3852,5133,83342,510,170405,9,153275,26,19626,140,2523,14,14,5,17130,484,150779,4993,80819,0,1,0,0,0
sec-edgar/sec-edgar,18,3769,128,1998,3789,60279,270,123542,9,66456,33,22880,173,4196,16,16,7,57086,237,100662,3621,56083,1,1,0,1,0
ckan/ckanext-harvest,39,7662,332,5960,2583,44957,142,62271,4,44923,13,8785,34,841,9,9,5,17348,129,53486,2549,44116,0,1,0,0,0
timotheus/ebaysdk-python,30,4186,188,5817,1352,31379,114,42288,4,35097,20,7737,115,2431,7,7,3,7191,94,34551,1237,28948,0,1,0,0,0
praw-dev/praw,89,20476,744,15254,1105,25355,97,37293,5,21190,18,7079,49,841,8,8,3,16103,79,30214,1058,24514,0,1,0,0,0
kubernetes-client/python,669,236021,7734,166290,4985,83674,517,146707,11,86506,57,22878,297,6588,17,17,6,60201,460,123829,4689,77086,0,0,0,0,1
ewels/multiqc,392,57481,1127,48915,23464,464229,2013,807195,18,549536,151,127145,631,19192,34,34,16,257659,1862,680050,22837,445037,0,1,0,0,0
spatialaudio/nbsphinx,6,2581,73,1461,16182,226980,1284,443678,11,155987,78,39675,334,6131,49,49,38,287691,1206,404003,15867,220849,0,1,0,0,0
oauthlib/oauthlib,69,11933,396,8581,2704,27365,128,40789,3,21669,15,7133,66,1175,5,5,2,19120,113,33656,2640,26190,1,0,1,0,0
asana/python-asana,76,5636,390,4697,3770,63894,271,90643,2,16611,9,4636,15,282,15,15,13,74032,262,86007,3755,63612,0,1,0,0,0
chyroc/wechatsogou,11,1797,52,1385,6071,101859,503,155388,6,117911,36,27756,125,1935,15,15,9,37477,467,127632,5949,99924,0,1,0,0,0
keeper-security/commander,203,64704,2323,46955,15898,208863,1090,328172,20,250014,137,74364,682,13147,37,37,17,78158,953,253808,15233,195716,1,1,0,1,0
lukasschwab/arxiv.py,3,838,44,519,15432,231685,1356,491049,1,5823,7,2124,13,713,38,38,37,485226,1349,488925,15419,230972,0,1,0,0,0
jazzband/django-oauth-toolkit,45,4828,222,2760,13338,170103,1165,250243,7,205603,150,68713,595,10540,16,16,9,44640,1015,181530,12762,159563,1,1,0,1,0
jazzband/django-payments,57,6218,372,3971,10087,135135,1531,204961,4,167558,100,42240,385,6846,10,10,6,37403,1431,162721,9714,128289,0,1,0,0,0
poliastro/poliastro,147,23279,648,16188,67177,1477671,5041,2081997,19,1836236,295,398918,2213,80141,45,45,26,245761,4746,1683079,65014,1397530,0,1,0,0,1
pseudonym117/riot-watcher,89,3223,203,2014,1086,24282,161,35987,2,16611,10,4619,18,352,6,6,4,19376,151,31368,1069,23930,0,1,0,0,0
martyzz1/heroku3.py,34,2801,268,1733,14060,185206,1265,392026,5,52763,13,7472,50,1237,41,41,36,339263,1252,384554,14011,183969,0,2,0,0,0
pytrip/pytripgui,109,7774,715,5307,22992,493040,1342,773327,8,419287,141,146859,1203,28748,20,20,12,354040,1201,626468,21806,464292,0,1,0,0,0
open2c/bioframe,19,6474,130,5646,20335,409383,1178,625076,6,439372,130,169080,1125,38199,21,21,15,185704,1048,455996,19247,371184,0,1,0,0,0
astropy/astroquery,245,52235,1458,41599,17884,351898,1108,493259,13,430162,193,198446,1349,44549,26,26,13,63097,915,294813,16553,307349,0,1,0,0,1
getnikola/nikola,165,28402,903,16533,9887,144437,1112,368878,21,350543,126,67700,690,14477,26,26,5,18335,986,301178,9210,129960,0,1,0,0,0
containerbuildsystem/atomic-reactor,85,19862,933,14428,2886,54149,257,75915,5,35154,23,9343,134,3004,18,18,13,40761,234,66572,2752,51145,0,1,0,0,0
networktocode/pyntc,25,7747,402,6562,15379,205080,1390,310369,12,141037,61,34088,275,4718,35,35,23,169332,1329,276281,15108,200362,0,2,0,0,0
maxplanck-ie/snakepipes,7,1225,35,986,20418,386061,1154,527100,3,167879,10,2837,28,362,46,46,43,359221,1144,524263,20390,385699,0,1,0,0,0
ploxiln/fab-classic,31,7386,266,5819,2553,25319,108,37925,1,998,1,998,2,12,5,5,4,36927,107,36927,2551,25307,0,1,0,0,0
kibitzr/kibitzr,49,3325,254,2030,32100,469921,1700,666207,21,559681,113,72822,519,9870,48,48,27,106526,1587,593385,31582,460051,0,1,0,0,1
ma1co/sony-pmca-re,55,6421,651,4101,8655,126003,1320,205923,7,107195,62,33113,466,9022,14,14,7,98728,1258,172810,8189,116981,0,0,0,0,1
django-helpdesk/django-helpdesk,90,10951,348,5331,24087,306412,2013,461604,17,258097,180,83794,815,15730,48,48,31,203507,1833,377810,23308,290682,0,1,0,0,0
4dn-dcic/tibanna,37,9551,421,7739,6677,90241,361,137940,6,70639,36,23647,172,2558,13,13,7,67301,325,114293,6507,87683,0,1,0,0,0
nsacyber/walkoff,216,39773,1629,24504,25305,331530,1673,581872,27,238486,197,87939,1010,19205,67,67,40,343386,1476,493933,24303,312325,4,0,1,3,1
kivy/kivy-ios,54,4095,185,2500,9510,141622,506,239846,10,124450,74,30953,285,5256,21,21,11,115396,432,208893,9225,136366,0,1,0,0,0
home-assistant-libs/pychromecast,28,5902,329,4147,2119,37226,153,57369,5,23894,20,8168,69,1112,10,10,5,33475,133,49201,2050,36114,0,1,0,0,0
zqfang/gseapy,12,6580,188,7086,26886,598675,1636,882044,11,747346,189,235668,1735,61188,22,22,11,134698,1447,646376,25188,537487,0,1,0,0,0
mapbox/rasterio,52,11265,308,7798,6424,136491,361,189513,8,178476,48,52164,219,7072,10,10,2,11037,313,137349,6208,129419,0,1,0,0,0
buildbot/buildbot,420,78275,4552,51158,30492,389487,1278,573705,11,323939,112,126925,631,16058,26,26,15,249766,1166,446780,29878,373429,0,1,0,0,0
burnash/gspread,9,5679,224,4901,2885,53212,412,103966,1,966,1,495,3,138,14,14,13,103000,411,103471,2883,53074,0,1,0,0,0
landlab/landlab,322,96091,2192,70145,40152,879621,2772,1368100,14,1036316,247,307128,2097,73399,40,40,26,331784,2525,1060972,38089,806222,0,1,0,0,0
althonos/instalooter,18,2353,106,1581,4470,71983,310,104200,11,83115,33,17865,138,2512,16,16,5,21085,277,86335,4332,69471,0,1,0,0,0
