product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,total_dependencies_loc,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,vulnerable_dependencies_reachable,vulnerable_dependencies_bloated,vulnerable_dependencies_reachable_through_functions,vulnerable_dependencies_bloated_through_functions,vulnerable_dependencies_unresolved_through_functions
choderalab/yank,24,15818,456,12221,21252,293112,1319,552879,0,0,0,0,0,0,45,45,45,552879,1319,552879,21252,293112,0,2,0,0,0
kenfar/datagristle,26,9013,381,6901,25836,340215,1035,509837,14,315230,66,75605,229,6147,37,37,23,194607,969,434232,25610,334068,0,1,0,0,0
uw-hydro/rvic,26,6442,109,5105,26029,577591,1570,850617,8,719459,143,184496,1232,44484,20,20,12,131158,1427,666121,24830,533107,0,1,0,0,0
datadog/datadogpy,76,10465,417,7593,883,22268,73,32798,2,16611,8,4321,14,279,5,5,3,16187,65,28477,869,21989,0,1,0,0,0
vijos/vj4,80,10986,772,6659,9114,126979,609,224359,22,131789,79,41818,379,7928,35,35,13,92570,530,182541,8741,119051,1,1,1,0,0
bluesky/databroker,59,18899,904,14207,29296,572507,1630,798327,30,663257,319,369194,2360,73720,53,53,23,135070,1311,429133,26976,498787,0,0,0,0,1
translate/translate,413,89152,4500,62828,1705,34002,119,50065,2,11713,8,3172,35,1275,8,8,6,38352,111,46893,1670,32727,0,1,0,0,0
pypsa/atlite,25,6141,185,4531,29996,691703,1767,915758,22,839579,318,368571,2747,91880,45,45,23,76179,1449,547187,27293,599823,0,1,0,0,0
esgf/esgf-pyclient,14,1771,79,1158,6450,88917,342,129266,10,88043,35,20575,219,4414,22,22,12,41223,307,108691,6233,84503,1,1,0,1,0
plotly/dash,67,13078,595,9648,17804,546867,2006,746534,10,694460,34,30701,104,2615,24,24,14,52074,1972,715833,17701,544252,0,1,0,0,0
eoxserver/eoxserver,448,61806,2339,32641,32456,490009,2562,771165,21,514245,209,117585,977,18599,55,55,34,256920,2353,653580,31516,471410,0,1,0,0,0
wwood/singlem,77,15980,524,12733,51711,982717,3430,1607054,14,941930,253,352218,1950,61981,52,52,38,665124,3177,1254836,49795,920736,0,1,0,0,0
sumologic/sumologic-python-sdk,18,1067,90,428,882,22187,73,32714,3,27987,20,7737,121,2644,5,5,2,4727,53,24977,761,19543,0,1,0,0,0
salsita/shishito,49,4599,227,2783,15003,184944,1039,300831,7,201212,51,23378,183,2913,28,28,21,99619,988,277453,14821,182031,0,1,0,0,0
tchellomello/python-amcrest,22,4408,356,3026,1103,25289,86,37608,2,16611,10,4793,18,346,7,7,5,20997,76,32815,1085,24943,0,1,0,0,0
tensorlayer/tensorlayer,111,32488,1046,22356,22051,639348,1766,885941,15,737161,240,268400,1882,77094,24,24,9,148780,1526,617541,20175,562254,0,1,0,0,0
pycontribs/jira,9,7750,328,6518,1946,39042,216,57922,7,38260,25,9355,151,3087,11,11,4,19662,191,48567,1795,35955,0,1,0,0,0
graphbrain/graphbrain,63,5958,384,4665,33634,742867,2815,1173313,16,841402,120,139073,633,24120,59,59,43,331911,2695,1034240,33006,718747,0,1,0,0,0
fabfuel/ecs-deploy,6,2480,128,1889,6707,97104,473,144313,7,117754,30,18975,130,2153,13,13,6,26559,443,125338,6577,94951,0,1,0,0,0
nschloe/meshzoo,0,0,0,0,10577,198323,1018,384766,0,0,0,0,0,0,30,30,30,384766,1018,384766,10577,198323,0,2,0,0,0
zulko/moviepy,166,20983,701,16217,7169,167559,486,235315,4,198227,39,60308,241,10229,10,10,6,37088,447,175007,6929,157330,0,1,0,0,0
home-assistant-ecosystem/home-assistant-cli,25,4289,192,2278,6975,105879,595,198421,19,159223,69,41206,572,9840,31,31,12,39198,526,157215,6408,96039,1,1,0,1,0
home-assistant-ecosystem/python-mystrom,8,1077,92,607,4381,67866,233,98599,10,93740,36,23098,222,4306,14,14,4,4859,197,75501,4163,63560,1,1,0,1,0
oemof/feedinlib,13,3493,84,2625,17860,473267,1116,630161,5,583259,128,167644,1142,39131,15,15,10,46902,988,462517,16751,434136,0,1,0,0,0
sassoftware/python-swat,71,21065,1221,35589,10496,254970,588,339124,8,326878,146,171284,1297,42360,11,11,3,12246,442,167840,9234,212610,0,0,0,0,1
bundlewrap/bundlewrap,79,17493,953,13743,6455,88327,339,133311,10,97721,65,36210,416,7401,16,16,6,35590,274,97101,6041,80926,1,1,0,1,0
wradlib/wradlib,38,18735,461,14581,34989,754732,1986,1076552,17,916329,299,379239,2733,95144,38,38,21,160223,1687,697313,32298,659588,0,1,0,0,0
ccrisan/motioneye,28,9845,386,8042,5570,65861,238,94113,4,93746,25,19230,149,3126,5,5,1,367,213,74883,5423,62735,1,0,0,1,0
taspinar/twitterscraper,6,789,20,645,2485,42110,161,61939,3,26069,20,10454,104,1355,11,11,8,35870,141,51485,2381,40755,0,1,0,0,0
xknx/xknx,152,22588,1346,13308,2522,25248,112,37537,3,18417,14,4361,50,567,5,5,2,19120,98,33176,2474,24681,1,0,0,1,0
morucci/repoxplorer,37,5264,198,3483,9967,139085,717,208834,11,121217,46,21597,158,3579,28,28,17,87617,671,187237,9810,135506,2,1,0,2,0
sunscrapers/djoser,38,1606,75,745,15743,196367,1565,291997,7,186426,108,44693,414,6629,23,23,16,105571,1457,247304,15345,189738,0,2,0,0,0
fizzadar/pyinfra,142,23621,752,17206,12573,162295,735,247862,16,188549,115,64521,619,11923,28,28,12,59313,620,183341,11974,150372,1,1,0,1,0
aws/aws-parallelcluster,310,71222,2856,47545,48819,581763,747,831986,19,180081,97,58213,501,8526,91,91,72,651905,650,773773,48323,573237,0,1,0,0,0
scrapy-plugins/scrapy-zyte-smartproxy,4,444,31,311,19742,233783,1207,379257,3,51361,4,661,7,79,37,37,34,327896,1203,378596,19735,233704,1,2,0,1,0
cs50/help50,0,0,0,0,4302,62197,243,88920,0,0,0,0,0,0,16,16,16,88920,243,88920,4302,62197,0,2,0,0,0
gandi/gandi.cli,65,11039,547,7474,3096,52557,175,76305,5,60202,28,16083,140,2355,8,8,3,16103,147,60222,2958,50202,0,1,0,0,0
staticafi/symbiotic,61,9534,583,6629,5480,83299,286,129450,0,0,0,0,0,0,18,18,18,129450,286,129450,5480,83299,0,1,0,0,0
cve-search/cve-search,80,13092,511,6919,16573,241488,1163,363225,14,157891,90,70174,360,8780,43,43,29,205334,1073,293051,16215,232708,0,0,0,0,1
feeicn/cobra,24,7205,257,5734,35212,649490,2088,1160271,1,40304,2,985,2,13,31,31,30,1119967,2086,1159286,35210,649477,0,1,0,0,0
flyingrub/scdl,4,1088,23,858,2807,44923,238,69188,8,43475,24,11582,99,1432,15,15,7,25713,214,57606,2718,43491,0,1,0,0,0
django-salesforce/django-salesforce,52,7368,356,3834,9928,130909,980,193230,5,170194,119,56642,479,8248,10,10,5,23036,861,136588,9457,122661,0,1,0,0,0
spacetelescope/drizzlepac,133,72936,1286,62053,67874,1410487,4789,2058051,34,1530740,591,651593,4437,160531,83,83,49,527311,4198,1406458,63495,1249956,1,1,0,1,1
theqrl/qrl,131,32812,1480,16421,16685,214990,1160,353834,14,125057,66,41310,259,5081,54,54,40,228777,1094,312524,16430,209909,1,1,0,1,2
comictagger/comictagger,82,17697,714,12618,4692,81686,343,121786,13,100904,43,25031,131,3309,19,19,6,20882,300,96755,4561,78377,0,1,0,0,0
gregreen/dustmaps,24,5668,169,4275,29860,657415,1936,973227,13,779777,146,207919,930,35285,27,27,14,193450,1790,765308,28935,622130,0,0,0,0,1
20c/vaping,18,2633,128,1709,8552,116795,461,178882,7,31222,19,8241,54,1134,22,22,15,147660,442,170641,8501,115661,0,2,0,0,0
mopidy/mopidy-spotify,13,1772,111,1379,5697,84341,317,122908,5,66812,30,10562,155,2973,12,12,7,56096,287,112346,5550,81368,0,1,0,0,0
evonove/mkm-sdk,12,1089,29,348,1329,31802,156,45928,2,6786,2,167,2,49,7,7,5,39142,154,45761,1327,31753,0,1,0,0,0
dalibo/temboard,149,24952,1300,16517,19107,261053,778,399266,10,351710,157,184671,1027,24142,19,19,9,47556,621,214595,18098,236911,1,0,0,1,0
zestedesavoir/zds-site,458,49889,2207,29054,30531,388520,3033,860107,34,592126,266,116760,1250,21003,77,77,43,267981,2767,743347,29373,367517,1,3,1,0,0
lyft/confidant,61,9422,306,6636,25255,320697,1373,474498,30,300590,174,91143,900,17711,69,69,39,173908,1199,383355,24390,302986,1,1,0,1,0
samuelcolvin/grablib,8,925,49,679,2170,40794,118,57389,4,38117,26,11617,158,3336,7,7,3,19272,92,45772,2012,37458,0,1,0,0,0
open-power/op-test,131,40370,1966,28628,3198,45561,177,64998,6,35816,27,12664,189,4322,16,16,10,29182,150,52334,3009,41239,0,1,0,0,0
smartsheet-platform/smartsheet-python-sdk,182,21065,1477,10751,1441,30625,126,45137,5,25349,13,8231,50,1283,8,8,3,19788,113,36906,1391,29342,0,0,0,0,1
cuthbertlab/music21,254,289745,4457,110529,16166,301396,1038,528128,6,322150,41,39881,103,2525,23,23,17,205978,997,488247,16063,298871,0,1,0,0,0
googlecloudplatform/perfkitbenchmarker,650,142569,6061,91001,34478,607539,2267,962238,28,643661,254,260996,1933,60137,58,58,30,318577,2013,701242,32586,547402,0,2,0,0,0
googlecloudplatform/cloud-debug-python,21,4093,138,2949,11143,169059,914,281651,4,34467,15,6788,34,630,35,35,31,247184,899,274863,11109,168429,0,2,0,0,0
jarun/buku,9,1571,106,1085,4138,48370,193,74148,0,0,0,0,0,0,9,9,9,74148,193,74148,4138,48370,0,1,0,0,0
safetyculture/safetyculture-sdk-python,13,2728,117,2149,6907,98307,485,149568,9,85414,25,21086,202,6865,19,19,10,64154,460,128482,6705,91442,0,2,0,0,0
beeware/briefcase,60,16184,622,12683,15011,233401,1390,531068,11,166157,64,31831,313,6283,36,36,25,364911,1326,499237,14699,227118,0,1,0,0,0
mfussenegger/cr8,23,3489,217,2363,3992,58854,650,159230,10,145529,31,19503,139,4557,17,17,7,13701,619,139727,3859,54297,1,0,0,1,0
tuxemon/tuxemon,365,43542,1606,28244,9518,159147,647,241064,17,198245,132,83255,766,18327,25,25,8,42819,515,157809,8753,140820,0,1,0,0,0
insrapperswil/nuts,23,1636,160,951,26945,373241,1722,548504,3,32428,22,10366,53,677,55,55,52,516076,1700,538138,26896,372564,0,3,0,0,0
datalad/datalad,205,69995,2167,49144,11248,170263,885,280586,17,222598,87,32716,348,7199,30,30,13,57988,798,247870,10901,163064,0,2,0,0,0
hadrieng/insilicoseq,16,2723,61,2230,23143,504331,1482,718860,7,623187,88,109822,425,17920,12,12,5,95673,1394,609038,22722,486411,0,1,0,0,0
mechanicalsoup/mechanicalsoup,7,1316,67,1014,1759,35627,124,51915,3,23557,12,9317,32,1002,9,9,6,28358,112,42598,1727,34625,0,1,0,0,0
k4cg/nichtparasoup,33,3280,250,1852,4464,56943,224,81038,4,58381,36,21779,211,4352,8,8,4,22657,188,59259,4256,52591,1,0,0,1,0
openidc/pyoidc,105,28170,1165,19921,10735,142697,764,224764,10,164907,94,47630,532,9440,21,21,11,59857,670,177134,10214,133257,1,1,0,1,0
freakboy3742/pyxero,12,2271,120,1422,4287,64315,292,93494,5,41201,27,9568,133,3154,13,13,8,52293,265,83926,4155,61161,0,2,0,0,0
city-of-helsinki/respa,253,21303,935,9959,46415,605958,4807,1230644,45,825589,311,158189,1597,29220,104,104,59,405055,4496,1072455,44898,576738,1,1,0,1,0
learningequality/studio,268,28213,1056,14863,46370,594656,3720,938564,36,456776,324,144361,1588,28776,96,96,60,481788,3396,794203,44850,565880,1,1,0,1,0
danielperna84/ha-philipsjs,10,12840,116,1737,4268,52593,229,76739,8,56613,58,21355,379,6132,11,11,3,20126,171,55384,3891,46461,1,0,0,1,1
packethost/packet-python,24,1756,185,1308,882,22187,73,32714,2,16611,9,4478,19,373,5,5,3,16103,64,28236,863,21814,0,1,0,0,0
osmcode/pyosmium,11,1912,121,993,882,22187,73,32714,3,27987,19,7580,117,2557,5,5,2,4727,54,25134,765,19630,0,1,0,0,0
goldmann/docker-squash,12,1975,76,1724,1839,38381,169,53916,5,46083,34,11547,156,3309,8,8,3,7833,135,42369,1683,35072,0,1,0,0,0
xtrinch/fcm-django,23,1445,56,634,21463,295799,1932,467309,4,183925,36,28262,94,1267,43,43,39,283384,1896,439047,21379,294532,0,2,0,0,0
relekang/python-semantic-release,23,3687,168,2675,12578,164779,1097,352517,11,93816,57,28866,348,6902,37,37,26,258701,1040,323651,12233,157877,0,2,0,0,0
plantbreeding/api,18,3320,108,2615,1603,31415,120,45858,3,27987,20,7737,122,2659,6,6,3,17871,100,38121,1481,28756,0,1,0,0,0
dmtf/python-redfish-library,12,4678,211,3938,1586,31049,128,46348,8,24079,16,8057,82,1187,13,13,5,22269,112,38291,1504,29862,0,1,0,0,0
dmtf/redfish-interface-emulator,76,9389,413,4951,4383,75110,258,108493,7,61298,34,22819,140,2977,19,19,12,47195,224,85674,4246,72133,0,1,0,0,0
redhatqe/widgetastic.core,34,8395,531,5604,10926,133598,581,218760,3,132892,22,5188,51,930,20,20,17,85868,559,213572,10879,132668,0,1,0,0,0
redhatqe/wrapanapi,37,15271,1199,11710,70021,1170446,8657,2051977,61,925476,251,273802,1491,35240,160,160,99,1126501,8406,1778175,68539,1135206,1,0,0,1,1
cokelaer/bioservices,67,24257,880,16336,29637,517398,1816,793798,19,571701,209,202825,1363,42212,47,47,28,222097,1607,590973,28315,475186,0,1,0,0,0
napalm-automation/napalm,58,25047,608,21332,13991,200013,1173,331429,15,227412,70,46865,425,8832,34,34,19,104017,1103,284564,13570,191181,0,2,0,0,0
identitypython/pysaml2,150,65067,2945,32980,5602,81015,325,132967,8,53040,31,18492,170,2987,15,15,7,79927,294,114475,5433,78028,1,1,0,1,0
identitypython/djangosaml2,15,1875,84,1286,17304,218539,1352,349642,11,262782,142,87261,921,17938,20,20,9,86860,1210,262381,16396,200601,1,1,0,1,0
darknessomi/musicbox,18,4494,226,3570,1362,30141,90,43575,3,27987,20,7737,119,2623,7,7,4,15588,70,35838,1243,27518,0,1,0,0,0
mvexel/overpass-api-python-wrapper,7,534,22,337,7087,155817,456,215139,4,28166,16,6522,28,615,14,14,10,186973,440,208617,7064,155202,0,1,0,0,0
poppy-project/pypot,89,13367,871,8101,26124,567691,1682,957726,4,423017,44,57065,207,8057,12,12,8,534709,1638,900661,25921,559634,0,1,0,0,0
kalaspuff/tomodachi,43,9042,241,7017,6018,84151,320,124215,11,68686,32,17180,131,2180,25,25,14,55529,288,107035,5895,81971,1,0,1,0,0
transifex/transifex-client,18,4397,166,3520,2020,38009,147,56150,6,49835,31,17115,98,2018,10,10,4,6315,116,39035,1924,35991,0,1,0,0,0
geopandas/geopandas,44,22757,644,18594,11586,268972,682,355781,8,339039,164,177214,1370,46458,17,17,9,16742,518,178567,10261,222514,0,1,0,0,0
obsidianforensics/hindsight,27,9181,301,7531,882,22187,73,32714,0,0,0,0,0,0,5,5,5,32714,73,32714,882,22187,0,1,0,0,0
streamlink/streamlink,252,49044,2179,31097,5671,84729,392,132620,10,126061,44,13087,228,4759,13,13,3,6559,348,119533,5444,79970,0,0,0,0,1
sunpy/sunpy,197,45293,1757,30069,13923,307654,899,423080,11,407807,186,203096,1256,48409,17,17,6,15273,713,219984,12701,259245,1,0,0,1,0
opsdroid/opsdroid,95,16773,698,12341,14444,215527,1264,421188,31,188871,106,69968,791,15404,61,61,30,232317,1158,351220,13664,200123,1,0,1,0,0
http-apis/hydrus,31,7849,178,3294,34962,479039,1926,824603,15,411042,153,176515,905,20481,64,64,49,413561,1773,648088,34069,458558,1,1,0,1,0
jswhit/pygrib,2,159,3,24,4035,105155,261,143419,1,133985,1,186,1,45,3,3,2,9434,260,143233,4034,105110,0,1,0,0,0
python-gitlab/python-gitlab,89,15162,491,7419,1077,24362,107,36523,3,20420,10,5291,31,469,6,6,3,16103,97,31232,1046,23893,0,1,0,0,0
marketsquare/robotframework-requests,24,2822,145,2047,5202,52527,306,83596,4,78869,36,14171,136,2486,6,6,2,4727,270,69425,5067,50041,0,1,0,0,0
hvac/hvac,66,17663,532,15585,1144,25870,86,38377,4,33650,22,8703,88,1727,6,6,2,4727,64,29674,1056,24143,0,1,0,0,0
metomi/rose,131,34089,1183,23439,12853,190944,513,290362,5,242214,32,51924,115,3097,14,14,9,48148,481,238438,12740,187847,0,1,0,0,0
plamere/spotipy,7,3750,207,3105,2578,44866,138,62105,4,28985,21,8735,122,2647,8,8,4,33120,117,53370,2456,42219,0,1,0,0,0
pnx-si/taxhub,64,5821,202,3252,28116,388681,1529,564733,21,411813,134,117000,565,13911,54,54,33,152920,1395,447733,27562,374770,0,2,0,0,0
locustio/locust,38,8898,412,6155,10994,141213,662,220549,15,162547,96,63024,496,10219,29,29,14,58002,566,157525,10511,130994,0,1,0,0,0
darkreactions/drp,240,22875,802,10927,12153,120973,172,222853,3,27987,20,7737,120,2636,11,11,8,194866,152,215116,12033,118337,0,1,0,0,0
whaleshark-team/cobra,24,7205,257,5734,35212,649490,2088,1160271,1,40304,2,989,2,16,31,31,30,1119967,2086,1159282,35210,649474,0,1,0,0,0
thombashi/tcconfig,37,5162,271,3766,6242,96919,596,188837,17,169754,104,36826,445,8479,23,23,6,19083,492,152011,5801,88440,0,1,0,0,0
redcap-tools/pycap,23,2830,64,2211,1009,23350,76,34288,4,29561,21,9186,128,2797,6,6,2,4727,55,25102,881,20553,0,1,0,0,0
nandaka/pixivutil2,38,14537,470,12040,5051,85271,324,128090,12,102742,50,31376,358,8471,18,18,6,25348,274,96714,4693,76800,0,0,0,0,1
hhursev/recipe-scrapers,259,12410,2267,7476,5264,84245,370,134245,8,48996,34,18827,211,5099,18,18,10,85249,336,115418,5053,79146,0,1,0,0,0
jsvine/pdfplumber,18,3292,199,2494,4941,68993,263,110347,3,68985,31,28801,207,3375,7,7,4,41362,232,81546,4735,65618,0,1,0,0,0
mikf/gallery-dl,230,55064,2680,30520,882,22187,73,32714,3,27987,18,7395,53,1102,5,5,2,4727,55,25319,829,21085,0,1,0,0,0
pyupio/safety,23,5477,253,4295,4325,69857,219,100494,9,68229,39,25997,206,3908,12,12,3,32265,180,74497,4120,65949,0,1,0,0,0
geotab/mygeotab-python,11,1521,84,1091,3606,59749,200,92495,11,86307,43,39603,167,4333,17,17,6,6188,157,52892,3444,55416,1,1,0,1,0
koalalorenzo/python-digitalocean,26,3999,250,2982,1099,25031,87,36404,3,20301,14,7042,129,2216,6,6,3,16103,73,29362,970,22815,0,1,0,0,0
hugapi/hug,42,6207,442,3695,1332,29408,155,46187,3,30084,21,11628,39,1061,6,6,3,16103,134,34559,1294,28347,0,1,0,0,0
gocardless/gocardless-pro-python,78,8455,772,4540,1715,27090,151,42148,2,16611,9,4478,19,373,7,7,5,25537,142,37670,1696,26717,0,1,0,0,0
pkkid/python-plexapi,37,16838,927,11436,882,22187,73,32714,2,16611,9,4478,16,337,5,5,3,16103,64,28236,866,21850,0,1,0,0,0
cytomine/cytomine-python-client,28,5874,448,4128,8506,179361,735,257088,9,239090,46,44004,153,3054,14,14,5,17998,689,213084,8357,176307,0,1,0,0,0
barronh/pseudonetcdf,185,34137,1188,25191,26518,583125,1597,858123,10,722183,191,253291,1671,60543,22,22,12,135940,1406,604832,24886,522582,0,1,0,0,0
python-social-auth/social-core,200,13910,1014,7857,4554,67399,326,98547,7,61787,43,19301,207,4153,13,13,6,36760,283,79246,4348,63246,1,1,0,1,0
jrxfive/python-nomad,32,3707,306,2731,883,22268,73,32798,2,16611,8,4321,14,279,5,5,3,16187,65,28477,869,21989,0,1,0,0,0
konstantinstadler/pymrio,27,8635,143,7325,26018,474335,2166,1025293,9,521101,168,207142,1384,47708,27,27,18,504192,1998,818151,24670,426627,0,1,0,0,0
unioslo/zabbix-cli,0,0,0,0,883,22268,73,32798,0,0,0,0,0,0,5,5,5,32798,73,32798,883,22268,0,1,0,0,0
tableau/tabpy,50,5655,265,4318,52258,979303,2990,1386757,19,1014836,187,234433,1534,49344,55,55,36,371921,2803,1152324,50759,929959,1,1,0,1,0
tableau/server-client-python,122,18249,1195,12179,2295,34603,195,51619,4,22200,6,2015,15,247,8,8,4,29419,189,49604,2280,34356,0,1,0,0,0
sat-utils/sat-search,5,357,12,243,943,22550,74,33712,2,16611,9,4478,16,338,6,6,4,17101,65,29234,927,22212,0,1,0,0,0
opencobra/cobrapy,72,18887,474,14820,35212,649490,2088,1160271,17,909997,82,262233,435,11969,31,31,14,250274,2006,898038,34781,637521,0,0,0,0,1
jamielennox/requests-mock,12,1607,91,848,943,22550,74,33712,4,28985,20,8578,120,2533,6,6,2,4727,54,25134,824,20017,0,1,0,0,0
galkan/crowbar,11,900,33,746,3546,43615,182,62622,3,37071,34,15738,196,3609,6,6,3,25551,148,46884,3351,40006,1,0,0,1,0
maurosoria/dirsearch,68,5217,252,3028,6404,91608,353,172546,9,62290,36,23551,193,4297,21,21,12,110256,317,148995,6211,87311,0,2,0,0,0
conan-io/conan-package-tools,18,3337,198,2667,5985,87265,703,222822,8,61653,49,19168,246,4489,18,18,10,161169,654,203654,5743,82776,0,1,0,0,0
conan-io/conan,317,37810,2446,26880,2702,47235,165,67425,9,49957,39,22114,172,3123,14,14,5,17468,126,45311,2531,44112,0,1,0,0,0
nitmir/django-cas-server,22,5946,171,3193,10370,136603,999,198010,6,173976,110,53322,382,6683,12,12,6,24034,889,144688,10003,129920,0,1,0,0,0
searx/searx,188,22043,896,13617,6139,77795,342,119132,10,81659,53,35995,181,4659,16,16,6,37473,289,83137,5964,73136,2,1,0,2,0
cowrie/cowrie,157,23712,1042,16753,18503,227584,1020,367993,16,274379,189,133100,1042,16823,30,30,14,93614,831,234893,17484,210761,1,1,0,1,0
certtools/intelmq,321,32229,1003,18018,7028,105929,396,148582,9,129063,40,28623,281,5480,13,13,4,19519,356,119959,6747,100449,0,1,0,0,0
tethysplatform/tethys,217,34124,824,16135,6666,89581,385,139082,3,22571,22,10094,43,741,20,20,17,116511,363,128988,6623,88840,0,1,0,0,0
dj-stripe/dj-stripe,56,22650,467,6881,10347,135246,1119,200489,3,160842,146,62013,641,11370,10,10,7,39647,973,138476,9742,123876,0,1,0,0,0
pywbem/pywbem,61,62310,1572,48784,3153,52869,188,78132,9,70151,36,18470,257,5647,13,13,4,7981,152,59662,2898,47222,0,1,0,0,0
leancloud/python-sdk,30,5912,418,4082,8540,107923,529,175252,12,160831,82,54665,398,8305,18,18,6,14421,447,120587,8149,99618,1,1,1,0,0
abhishek-ram/pyas2-lib,7,1991,39,1498,3823,60058,217,88808,4,69688,45,34485,255,9425,6,6,2,19120,172,54323,3610,50633,0,0,0,0,1
getpatchwork/patchwork,118,15811,443,6401,4987,63596,264,89507,0,0,0,0,0,0,10,10,10,89507,264,89507,4987,63596,0,1,0,0,0
dlareau/puzzlehunt_server,100,7680,258,3136,25878,321058,2097,572670,7,145844,137,53994,505,7542,45,45,38,426826,1960,518676,25403,313516,2,1,1,1,0
openml/openml-python,40,14852,402,11961,22391,590502,1411,810823,16,805038,179,227602,1453,50576,19,19,3,5785,1232,583221,20974,539926,0,0,0,0,1
jpmens/mqttwarn,88,7268,194,5295,4112,62794,383,97476,7,86073,53,30865,350,6505,12,12,5,11403,330,66611,3773,56289,0,1,0,0,0
airbnb/knowledge-repo,107,11375,751,7196,44874,625805,2980,1086414,47,789199,326,235417,1755,41483,85,85,38,297215,2654,850997,43143,584322,3,0,0,2,1
threat9/routersploit,513,24110,749,11180,12513,170276,890,267485,7,151881,65,35001,262,4831,16,16,9,115604,825,232484,12257,165445,1,1,0,1,0
juniper/py-junos-eznc,84,17210,660,12925,8522,108932,461,159017,11,108401,63,44277,439,8000,19,19,8,50616,398,114740,8087,100932,0,1,0,0,0
juniper/jsnapy,17,7409,106,6910,11178,146236,778,217129,9,99192,22,12246,138,2301,24,24,15,117937,756,204883,11042,143935,0,1,0,0,0
nci-gdc/gdcdictionary,3,175,8,129,3758,58474,235,85493,2,12200,11,5099,23,289,15,15,13,73293,224,80394,3735,58185,0,1,0,0,0
hpcugent/vsc-base,26,7666,320,5074,1550,20605,81,31339,1,4932,1,1719,6,144,3,3,2,26407,80,29620,1544,20461,0,0,0,0,0
seisman/hinetpy,6,2956,51,2026,933,24213,78,35612,3,27987,20,7737,121,2627,6,6,3,7625,58,27875,814,21586,0,1,0,0,0
biosustain/cameo,74,16974,870,11172,82334,1438979,5291,2320453,30,1531914,210,358993,1159,34889,127,127,97,788539,5081,1961460,81193,1404090,0,2,0,0,0
sentinelsat/sentinelsat,9,2939,95,2314,1826,36981,146,53253,9,48526,47,17780,230,4708,11,11,2,4727,99,35473,1597,32273,0,1,0,0,0
gmplot/gmplot,27,2572,81,2132,882,22187,73,32714,2,16611,9,4478,16,337,5,5,3,16103,64,28236,866,21850,0,1,0,0,0
codecov/codecov-python,4,1312,15,1073,1531,33646,115,48089,2,16611,9,4478,17,351,7,7,5,31478,106,43611,1514,33295,0,1,0,0,0
lordfriend/albireo,97,6710,211,1847,24212,343085,1214,540777,18,389084,161,185994,898,21857,39,39,21,151693,1053,354783,23327,321228,1,1,0,1,0
codalab/codalab-worksheets,203,46382,1877,33969,60368,950799,4105,1544019,27,762156,180,138658,873,18485,87,87,60,781863,3925,1405361,59518,932314,1,4,1,0,1
nasa/apod-api,5,802,32,582,7161,112544,411,162228,9,102484,58,34761,227,5548,23,23,14,59744,353,127467,6935,106996,0,1,0,0,0
lxc/pylxd,50,6764,489,4501,3964,55764,235,82283,8,58436,28,12874,180,3806,12,12,4,23847,207,69409,3785,51958,1,1,0,1,0
mpib/lagerregal,172,11436,560,5298,21980,286880,1927,457108,14,318090,242,121977,1404,25622,35,35,21,139018,1685,335131,20623,261258,0,2,0,0,0
vida-nyu/reprozip,61,15126,568,11197,1398,29219,96,41696,6,25593,19,9936,88,1555,9,9,3,16103,77,31760,1313,27664,0,1,0,0,0
google/openhtf,71,23718,1003,11525,6891,95354,531,166978,4,12690,11,6024,26,570,23,23,19,154288,520,160954,6865,94784,0,2,0,0,0
diyan/pywinrm,11,1882,59,1430,3947,56159,214,84863,6,46449,25,9986,126,2678,12,12,6,38414,189,74877,3822,53481,1,1,0,1,0
sage-bionetworks/synapsepythonclient,50,21754,803,16765,4312,54126,239,80911,5,30947,24,9937,134,2941,16,16,11,49964,215,70974,4179,51185,0,2,0,0,0
planetlabs/planet-client-python,33,6675,298,4322,3312,49814,243,72267,11,60318,71,27240,482,8584,18,18,7,11949,172,45027,2833,41230,0,0,0,0,1
nrel/rdtools,14,7969,142,6133,52663,1411938,4341,1996201,14,1806097,218,336569,1750,80666,32,32,18,190104,4123,1659632,50956,1331272,0,1,0,0,0
nrel/openoa,28,7500,243,6217,42194,908683,3042,1371279,20,1161141,294,332952,2116,82317,39,39,19,210138,2748,1038327,40088,826366,0,1,0,0,0
docker/docker-py,69,14186,627,11289,5394,77784,299,113617,9,72656,65,30075,376,7349,15,15,6,40961,234,83542,5021,70435,2,1,1,1,0
wger-project/wger,383,38589,873,12010,18820,249294,1725,368421,18,280588,223,104507,1044,18583,36,36,18,87833,1502,263914,17837,230711,1,1,0,1,0
golemhq/golem,62,11859,786,8909,16019,203136,825,318612,14,224971,80,37693,273,5665,34,34,20,93641,745,280919,15749,197471,0,1,0,0,0
mixpanel/mixpanel-python,5,2229,126,1713,944,22631,74,33796,4,28985,20,8578,118,2578,6,6,2,4811,54,25218,826,20053,0,1,0,0,0
