project,package_name,status,activation_status
serhatbolsu/robotframework-appiumlibrary,certifi,Transitive,Bloated
tilezen/vector-datasource,certifi,Transitive,Bloated
mozilla/mozilla-django-oidc,certifi,Transitive,Bloated
mozilla/mozilla-django-oidc,cryptography,Transitive,Inactive
mozilla/pontoon,certifi,Unresolved,Bloated
hdfgroup/hsds,aiohttp,Transitive,Active
hdfgroup/hsds,certifi,Transitive,Bloated
hdfgroup/hsds,cryptography,Direct,Inactive
hdfgroup/h5pyd,certifi,Transitive,Bloated
hdfgroup/h5pyd,cryptography,Transitive,Bloated
jbarlow83/ocrmypdf,cryptography,Transitive,Bloated
geopython/owslib,certifi,Transitive,Bloated
geopython/pywps,certifi,Transitive,Bloated
sphinx-gallery/sphinx-gallery,certifi,Transitive,Bloated
nexb/aboutcode-toolkit,certifi,Direct,Bloated
yandex/yandex-tank,certifi,Transitive,Bloated
yandex/yandex-tank,cryptography,Direct,Bloated
yandex/yandex-tank,grpcio,Direct,Undefined
getsentry/responses,certifi,Transitive,Bloated
achael/eht-imaging,certifi,Transitive,Undefined
ucfopen/canvasapi,certifi,Transitive,Bloated
broadinstitute/fiss,certifi,Transitive,Bloated
sys-bio/tellurium,certifi,Transitive,Bloated
soco/soco,certifi,Unresolved,Bloated
twitterdev/twitter-python-ads-sdk,certifi,Transitive,Bloated
cog-creators/red-discordbot,aiohttp,Direct,Active
jupyter/kernel_gateway,certifi,Transitive,Bloated
aliyun/aliyun-oss-python-sdk,certifi,Transitive,Bloated
aliyun/aliyun-oss-python-sdk,cryptography,Transitive,Bloated
whynothugo/django-mercadopago,certifi,Transitive,Bloated
armmbed/mbed-cli,certifi,Transitive,Bloated
snok/django-auth-adfs,certifi,Transitive,Bloated
snok/django-auth-adfs,cryptography,Direct,Inactive
goshippo/shippo-python-client,certifi,Transitive,Bloated
goshippo/shippo-python-client,requests,Direct,Inactive
atlassian-api/atlassian-python-api,certifi,Transitive,Bloated
picklepete/pyicloud,certifi,Transitive,Bloated
picklepete/pyicloud,cryptography,Transitive,Bloated
donnemartin/saws,configobj,Direct,Inactive
pahaz/sshtunnel,cryptography,Transitive,Bloated
scrapy/scrapy,certifi,Transitive,Bloated
scrapy/scrapy,cryptography,Direct,Inactive
scrapy/scrapyd,certifi,Transitive,Bloated
scrapy/scrapyd,cryptography,Transitive,Inactive
archlinux/arch-security-tracker,certifi,Unresolved,Bloated
archlinux/arch-security-tracker,cryptography,Unresolved,Inactive
cmu-delphi/delphi-epidata,certifi,Unresolved,Bloated
cmu-delphi/delphi-epidata,aiohttp,Unresolved,Inactive
kenfar/datagristle,py,Transitive,Bloated
datadog/datadogpy,certifi,Transitive,Bloated
vijos/vj4,aiohttp,Direct,Active
vijos/vj4,certifi,Transitive,Bloated
translate/translate,certifi,Transitive,Bloated
esgf/esgf-pyclient,certifi,Transitive,Bloated
esgf/esgf-pyclient,cryptography,Transitive,Inactive
plotly/dash,certifi,Transitive,Bloated
eoxserver/eoxserver,certifi,Unresolved,Bloated
sumologic/sumologic-python-sdk,certifi,Transitive,Bloated
salsita/shishito,certifi,Transitive,Bloated
tchellomello/python-amcrest,certifi,Transitive,Bloated
tensorlayer/tensorlayer,certifi,Transitive,Bloated
pycontribs/jira,certifi,Transitive,Bloated
fabfuel/ecs-deploy,certifi,Transitive,Bloated
zulko/moviepy,certifi,Transitive,Bloated
home-assistant-ecosystem/python-mystrom,certifi,Transitive,Bloated
home-assistant-ecosystem/python-mystrom,aiohttp,Direct,Inactive
oemof/feedinlib,certifi,Transitive,Bloated
sassoftware/python-swat,certifi,Transitive,Undefined
bundlewrap/bundlewrap,certifi,Transitive,Bloated
bundlewrap/bundlewrap,cryptography,Direct,Inactive
ccrisan/motioneye,tornado,Direct,Inactive
taspinar/twitterscraper,certifi,Transitive,Bloated
xknx/xknx,cryptography,Direct,Inactive
morucci/repoxplorer,pycrypto,Unresolved,Active
morucci/repoxplorer,certifi,Unresolved,Bloated
morucci/repoxplorer,cryptography,Unresolved,Inactive
sunscrapers/djoser,certifi,Transitive,Bloated
sunscrapers/djoser,cryptography,Transitive,Bloated
fizzadar/pyinfra,certifi,Transitive,Bloated
fizzadar/pyinfra,cryptography,Transitive,Inactive
scrapy-plugins/scrapy-zyte-smartproxy,certifi,Transitive,Bloated
scrapy-plugins/scrapy-zyte-smartproxy,scrapy,Direct,Bloated
scrapy-plugins/scrapy-zyte-smartproxy,cryptography,Transitive,Bloated
cs50/help50,cryptography,Unresolved,Bloated
cs50/help50,certifi,Unresolved,Bloated
gandi/gandi.cli,certifi,Transitive,Bloated
staticafi/symbiotic,certifi,Unresolved,Bloated
feeicn/cobra,certifi,Unresolved,Bloated
flyingrub/scdl,certifi,Transitive,Bloated
django-salesforce/django-salesforce,certifi,Transitive,Bloated
spacetelescope/drizzlepac,cryptography,Transitive,Bloated
spacetelescope/drizzlepac,PyPDF2,Direct,Inactive
spacetelescope/drizzlepac,certifi,Transitive,Undefined
theqrl/qrl,PyYAML,Direct,Bloated
theqrl/qrl,certifi,Transitive,Bloated
theqrl/qrl,cryptography,Transitive,Undefined
theqrl/qrl,grpcio,Transitive,Undefined
comictagger/comictagger,certifi,Transitive,Bloated
gregreen/dustmaps,certifi,Transitive,Undefined
20c/vaping,certifi,Transitive,Bloated
20c/vaping,Werkzeug,Direct,Bloated
mopidy/mopidy-spotify,certifi,Transitive,Bloated
evonove/mkm-sdk,certifi,Transitive,Bloated
dalibo/temboard,cryptography,Unresolved,Inactive
zestedesavoir/zds-site,Django,Unresolved,Active
zestedesavoir/zds-site,aiohttp,Unresolved,Bloated
zestedesavoir/zds-site,cryptography,Unresolved,Bloated
zestedesavoir/zds-site,certifi,Unresolved,Bloated
lyft/confidant,certifi,Transitive,Bloated
lyft/confidant,cryptography,Direct,Inactive
samuelcolvin/grablib,certifi,Transitive,Bloated
open-power/op-test,certifi,Unresolved,Bloated
smartsheet-platform/smartsheet-python-sdk,certifi,Transitive,Undefined
cuthbertlab/music21,certifi,Transitive,Bloated
googlecloudplatform/cloud-debug-python,certifi,Unresolved,Bloated
googlecloudplatform/cloud-debug-python,cryptography,Unresolved,Bloated
jarun/buku,cryptography,Direct,Bloated
safetyculture/safetyculture-sdk-python,certifi,Transitive,Bloated
safetyculture/safetyculture-sdk-python,cryptography,Transitive,Bloated
beeware/briefcase,certifi,Transitive,Bloated
mfussenegger/cr8,aiohttp,Direct,Inactive
tuxemon/tuxemon,certifi,Unresolved,Bloated
hadrieng/insilicoseq,certifi,Transitive,Bloated
mechanicalsoup/mechanicalsoup,certifi,Transitive,Bloated
k4cg/nichtparasoup,Werkzeug,Unresolved,Inactive
openidc/pyoidc,certifi,Transitive,Bloated
openidc/pyoidc,cryptography,Direct,Inactive
freakboy3742/pyxero,certifi,Transitive,Bloated
freakboy3742/pyxero,cryptography,Direct,Bloated
learningequality/studio,Django,Unresolved,Active
learningequality/studio,certifi,Unresolved,Bloated
danielperna84/ha-philipsjs,cryptography,Direct,Inactive
danielperna84/ha-philipsjs,certifi,Transitive,Undefined
packethost/packet-python,certifi,Transitive,Bloated
osmcode/pyosmium,certifi,Transitive,Bloated
goldmann/docker-squash,certifi,Transitive,Bloated
xtrinch/fcm-django,cryptography,Transitive,Bloated
xtrinch/fcm-django,certifi,Transitive,Bloated
relekang/python-semantic-release,certifi,Transitive,Bloated
relekang/python-semantic-release,cryptography,Transitive,Bloated
plantbreeding/api,certifi,Unresolved,Bloated
dmtf/python-redfish-library,certifi,Transitive,Bloated
redhatqe/wrapanapi,cryptography,Transitive,Inactive
redhatqe/wrapanapi,certifi,Transitive,Undefined
napalm-automation/napalm,certifi,Transitive,Bloated
napalm-automation/napalm,cryptography,Transitive,Bloated
identitypython/pysaml2,certifi,Transitive,Bloated
identitypython/pysaml2,cryptography,Direct,Inactive
darknessomi/musicbox,certifi,Transitive,Bloated
mvexel/overpass-api-python-wrapper,certifi,Transitive,Bloated
poppy-project/pypot,certifi,Transitive,Bloated
kalaspuff/tomodachi,aiohttp,Transitive,Active
transifex/transifex-client,certifi,Transitive,Bloated
geopandas/geopandas,certifi,Transitive,Bloated
obsidianforensics/hindsight,certifi,Unresolved,Bloated
streamlink/streamlink,certifi,Direct,Undefined
sunpy/sunpy,aiohttp,Transitive,Inactive
opsdroid/opsdroid,aiohttp,Direct,Active
jswhit/pygrib,certifi,Transitive,Bloated
python-gitlab/python-gitlab,certifi,Transitive,Bloated
marketsquare/robotframework-requests,certifi,Transitive,Bloated
hvac/hvac,certifi,Transitive,Bloated
metomi/rose,certifi,Transitive,Bloated
plamere/spotipy,certifi,Transitive,Bloated
locustio/locust,certifi,Transitive,Bloated
darkreactions/drp,certifi,Unresolved,Bloated
whaleshark-team/cobra,certifi,Unresolved,Bloated
thombashi/tcconfig,certifi,Transitive,Bloated
redcap-tools/pycap,certifi,Transitive,Bloated
nandaka/pixivutil2,certifi,Direct,Undefined
hhursev/recipe-scrapers,certifi,Transitive,Bloated
jsvine/pdfplumber,cryptography,Transitive,Bloated
mikf/gallery-dl,certifi,Transitive,Bloated
pyupio/safety,certifi,Transitive,Bloated
geotab/mygeotab-python,certifi,Transitive,Bloated
geotab/mygeotab-python,aiohttp,Direct,Inactive
koalalorenzo/python-digitalocean,certifi,Transitive,Bloated
hugapi/hug,certifi,Transitive,Bloated
gocardless/gocardless-pro-python,certifi,Transitive,Bloated
pkkid/python-plexapi,certifi,Transitive,Bloated
cytomine/cytomine-python-client,certifi,Transitive,Bloated
barronh/pseudonetcdf,certifi,Transitive,Bloated
python-social-auth/social-core,certifi,Transitive,Bloated
python-social-auth/social-core,cryptography,Direct,Inactive
jrxfive/python-nomad,certifi,Transitive,Bloated
unioslo/zabbix-cli,certifi,Transitive,Bloated
tableau/tabpy,certifi,Transitive,Bloated
tableau/tabpy,cryptography,Transitive,Inactive
tableau/server-client-python,certifi,Transitive,Bloated
sat-utils/sat-search,certifi,Unresolved,Bloated
jamielennox/requests-mock,certifi,Unresolved,Bloated
galkan/crowbar,cryptography,Transitive,Inactive
conan-io/conan-package-tools,certifi,Transitive,Bloated
conan-io/conan,certifi,Transitive,Bloated
nitmir/django-cas-server,certifi,Transitive,Bloated
searx/searx,urllib3,Unresolved,Bloated
searx/searx,cryptography,Unresolved,Inactive
searx/searx,PyYAML,Unresolved,Inactive
certtools/intelmq,certifi,Transitive,Bloated
tethysplatform/tethys,certifi,Unresolved,Bloated
dj-stripe/dj-stripe,certifi,Transitive,Bloated
pywbem/pywbem,certifi,Transitive,Bloated
leancloud/python-sdk,Werkzeug,Direct,Active
leancloud/python-sdk,certifi,Transitive,Bloated
abhishek-ram/pyas2-lib,cryptography,Transitive,Undefined
