project,package_name,status,activation_status
grow/grow,Pygments,Direct,Undefined
cloudant/python-cloudant,certifi,Transitive,Bloated
counterpartyxcp/counterblock,certifi,Transitive,Bloated
counterpartyxcp/counterblock,py,Transitive,Bloated
counterpartyxcp/counterblock,configobj,Direct,Undefined
instana/python-sensor,certifi,Direct,Bloated
qiniu/python-sdk,certifi,Transitive,Bloated
bird-house/flyingpigeon,certifi,Transitive,Bloated
ably/ably-python,certifi,Transitive,Undefined
furlongm/patchman,certifi,Transitive,Bloated
furlongm/patchman,requests,Direct,Inactive
furlongm/patchman,lxml,Direct,Undefined
tuw-geo/ascat,certifi,Transitive,Bloated
rallytools/rallyresttoolkitforpython,certifi,Transitive,Bloated
kklmn/xrt,certifi,Transitive,Bloated
alisw/alibuild,certifi,Transitive,Bloated
offu/werobot,certifi,Unresolved,Bloated
wikimedia/revscoring,certifi,Transitive,Bloated
wikimedia/revscoring,aiohttp,Transitive,Bloated
ledatelescope/bifrost,certifi,Unresolved,Bloated
ledatelescope/bifrost,cryptography,Unresolved,Bloated
robotframework/sshlibrary,cryptography,Transitive,Bloated
robotframework/seleniumlibrary,certifi,Transitive,Bloated
stevenblack/hosts,certifi,Unresolved,Bloated
python-telegram-bot/python-telegram-bot,certifi,Transitive,Undefined
lneuhaus/pyrpl,cryptography,Transitive,Bloated
easypost/easypost-python,certifi,Transitive,Bloated
fedora-infra/anitya,certifi,Transitive,Bloated
fedora-infra/anitya,cryptography,Transitive,Bloated
jupyterhub/batchspawner,cryptography,Transitive,Bloated
jupyterhub/batchspawner,certifi,Transitive,Bloated
inmanta/inmanta-core,certifi,Transitive,Bloated
inmanta/inmanta-core,cryptography,Direct,Inactive
pslmodels/tax-calculator,certifi,Unresolved,Bloated
pslmodels/og-core,certifi,Transitive,Bloated
lowerquality/gentle,cryptography,Unresolved,Bloated
googleads/googleads-python-lib,certifi,Transitive,Bloated
naomiproject/naomi,certifi,Transitive,Bloated
tardis-sn/tardis,certifi,Unresolved,Bloated
piqueserver/piqueserver,aiohttp,Direct,Active
piqueserver/piqueserver,cryptography,Transitive,Inactive
googlefonts/pyfontaine,certifi,Transitive,Bloated
thetisproject/thetis,certifi,Unresolved,Bloated
razorpay/razorpay-python,certifi,Transitive,Bloated
brickschema/brick,certifi,Unresolved,Bloated
econforge/dolo.py,certifi,Transitive,Bloated
matrix-org/matrix-python-sdk,certifi,Transitive,Bloated
matrix-org/synapse,certifi,Transitive,Bloated
matrix-org/synapse,aiohttp,Transitive,Bloated
matrix-org/synapse,cryptography,Transitive,Undefined
dallinger/dallinger,certifi,Transitive,Bloated
dallinger/dallinger,cryptography,Transitive,Bloated
iqtlabs/poseidon,certifi,Unresolved,Bloated
iqtlabs/poseidon,cryptography,Unresolved,Bloated
matlink/gplaycli,certifi,Transitive,Bloated
matlink/gplaycli,cryptography,Transitive,Inactive
georgemarshall/django-cryptography,cryptography,Direct,Inactive
modoboa/modoboa,cryptography,Unresolved,Inactive
pipoline/rocket-python,certifi,Transitive,Bloated
archesproject/arches,certifi,Unresolved,Bloated
archesproject/arches,cryptography,Unresolved,Bloated
archesproject/arches,Django,Unresolved,Inactive
simple-salesforce/simple-salesforce,certifi,Transitive,Bloated
simple-salesforce/simple-salesforce,cryptography,Direct,Bloated
uploadcare/pyuploadcare,certifi,Transitive,Undefined
tribler/tribler,certifi,Unresolved,Bloated
tribler/tribler,cryptography,Unresolved,Undefined
alex-rudakov/sphinx-argparse,certifi,Transitive,Bloated
pybel/pybel,certifi,Transitive,Bloated
ahmadfaizalbh/chatbot,certifi,Transitive,Bloated
jjjake/internetarchive,certifi,Transitive,Bloated
pylast/pylast,certifi,Transitive,Undefined
common-workflow-language/cwltool,certifi,Transitive,Bloated
common-workflow-language/cwltest,certifi,Transitive,Bloated
common-workflow-language/schema_salad,certifi,Transitive,Bloated
okigan/awscurl,certifi,Transitive,Bloated
okigan/awscurl,cryptography,Transitive,Bloated
turbo87/utm,py,Unresolved,Bloated
zach-taylor/splunk_handler,certifi,Transitive,Bloated
browniebroke/deezer-python,certifi,Transitive,Bloated
pv8/noipy,certifi,Transitive,Bloated
zhmcclient/python-zhmcclient,certifi,Transitive,Bloated
gridsync/gridsync,cryptography,Transitive,Bloated
gridsync/gridsync,certifi,Direct,Undefined
mroberge/hydrofunctions,certifi,Transitive,Bloated
fpgawars/apio,certifi,Unresolved,Bloated
fpgawars/apio,requests,Unresolved,Inactive
altdesktop/i3ipc-python,certifi,Unresolved,Bloated
googlemaps/google-maps-services-python,certifi,Transitive,Bloated
thenetcircle/dino,certifi,Transitive,Bloated
ndokter/dsmr_parser,cryptography,Transitive,Bloated
yeti-platform/yeti,aiohttp,Unresolved,Bloated
uberi/speech_recognition,certifi,Transitive,Bloated
deniscarriere/geocoder,certifi,Transitive,Bloated
kinto/kinto-signer,certifi,Transitive,Bloated
svenevs/exhale,certifi,Transitive,Bloated
fleet-commander/fc-client,aiohttp,Unresolved,Bloated
fleet-commander/fc-client,requests,Unresolved,Bloated
fleet-commander/fc-client,certifi,Unresolved,Bloated
fleet-commander/fc-client,cryptography,Unresolved,Bloated
maxmind/geoip2-python,certifi,Transitive,Bloated
maxmind/geoip2-python,aiohttp,Direct,Inactive
algolia/algoliasearch-client-python,certifi,Transitive,Bloated
algolia/algoliasearch-django,certifi,Transitive,Bloated
radish-bdd/radish,certifi,Unresolved,Bloated
ultimaker/uranium,requests,Unresolved,Bloated
ultimaker/uranium,urllib3,Unresolved,Bloated
ultimaker/uranium,certifi,Unresolved,Bloated
getslash/backslash,certifi,Unresolved,Bloated
namaggarwal/splitwise,certifi,Transitive,Bloated
signalfx/signalfx-python,certifi,Direct,Bloated
thekevjames/coveralls-python,certifi,Transitive,Bloated
closeio/tasktiger,redis,Direct,Inactive
oggm/oggm,certifi,Transitive,Bloated
oggm/oggm,configobj,Direct,Inactive
mendix/cf-mendix-buildpack,requests,Unresolved,Inactive
mendix/cf-mendix-buildpack,cryptography,Unresolved,Undefined
mendix/cf-mendix-buildpack,certifi,Unresolved,Undefined
ojarva/python-sshpubkeys,cryptography,Direct,Undefined
jonathonreinhart/scuba,certifi,Transitive,Bloated
miserlou/zappa,certifi,Unresolved,Bloated
christabor/flask_jsondash,Werkzeug,Transitive,Inactive
cloudinary/pycloudinary,certifi,Direct,Undefined
pnuckowski/aioresponses,aiohttp,Unresolved,Inactive
jpush/jpush-api-python-client,certifi,Transitive,Bloated
peopledoc/django-agnocomplete,certifi,Transitive,Bloated
pdfminer/pdfminer.six,cryptography,Direct,Inactive
sulab/wikidataintegrator,certifi,Transitive,Bloated
cubewise-code/tm1py,certifi,Transitive,Bloated
alerta/alerta,certifi,Transitive,Bloated
pycqa/isort,certifi,Transitive,Bloated
pydata/pandas-datareader,certifi,Transitive,Bloated
