product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC,unique_unresolved_count,unique_resolved_count,unresolved_count,resolved_count
4catalyzer/flask-resty,8,323,13282,22736,149788,181198,50.0,74.42396313364056,94.9799771167048,7.50293702232137,49.4304156711591,91.30248565194826,8,418,69,519
donnemartin/saws,12,919,11845,171549,298075,134117,70.58823529411765,93.20486815415822,97.18575648178536,52.90786791306466,91.93007670220608,94.50582747297659,39,211,176,328
clawpack/clawpack,12,844,13947,294566,425826,258083,92.3076923076923,99.64580873671783,99.7425445183437,68.73534305135212,99.36413635716636,99.6836640891148,0,2688,2200,6538
sripathikrishnan/redis-rdb-tools,2,71,1914,3062,20818,24075,66.66666666666666,93.42105263157895,99.17098445595855,9.811586772622405,66.70725455011535,98.59529855024981,0,5,0,11
pahaz/sshtunnel,5,169,3493,43358,54223,42267,83.33333333333334,92.34972677595628,96.83947879123926,67.98162404553223,85.01701186911052,95.03755002923057,2,82,5,136
adamalton/django-csp-reports,2,868,8875,6933,140909,106037,50.0,96.33740288568258,98.99609592861125,4.391309855586521,89.25069673169496,98.51260707185195,1,72,10,211
colinhiggs/pyramid-jsonapi,22,572,16540,58929,206292,216634,66.66666666666666,81.01983002832861,95.02470412501435,16.162909976576685,56.58129316445142,90.5437204034122,25,249,539,430
scrapy/parsel,1,55,873,1668,12001,10311,20.0,88.70967741935483,97.21603563474387,10.154014731843915,73.05655323552688,93.81311982531162,4,11,4,13
scrapy/scrapy,20,855,17243,106706,227614,202530,55.55555555555556,82.44937319189971,94.66893598330954,29.89399016103186,63.76671111758575,92.73733807711857,59,965,1267,5505
scrapy/scrapyd,28,1083,19215,122946,294478,224971,75.67567567567568,89.72659486329742,97.33549465579252,32.424777080646564,77.66323024054984,96.26404566499217,0,993,1266,5435
trufont/trufont,8,503,8453,9640,149826,115800,50.0,86.27787307032591,95.0629779577148,4.957445167262349,77.04918875832455,94.3304007820137,784,1134,3280,1766
autopkg/autopkg,26,471,7676,93779,124288,98887,83.87096774193549,95.15151515151516,97.80835881753312,65.47029789373006,86.76966468629354,97.29142070051161,30,79,79,123
jrnl-org/jrnl,10,595,6742,50265,208237,83105,50.0,90.56316590563166,96.05356888445648,21.555938657883903,89.3015815836421,93.14615557049989,16,115,47,149
tmux-python/tmuxp,1,30,618,882,6874,8032,33.33333333333333,69.76744186046511,95.22342064714945,7.295285359801489,56.85690653432589,91.02447869446962,2,16,3,28
archlinux/arch-security-tracker,16,1051,21286,84682,306445,289669,40.0,86.35990139687758,96.85139685139686,18.98831533133469,68.71441736981718,94.67854224546495,127,2349,337,4471
cmu-delphi/delphi-epidata,6,128,2480,5886,44240,39598,46.15384615384615,80.50314465408806,94.29657794676805,9.446620016691277,71.00211850805675,91.72786027010122,0,107,205,165
grigorig/stcgal,0,41,551,0,4864,7124,0.0,68.33333333333333,87.18354430379746,0.0,37.75225085377212,82.76022304832715,0,11,0,23
qquick/transcrypt,2,118,4896,3285,83203,67525,50.0,87.4074074074074,97.10432368107894,3.5216929855594508,89.19799740563256,94.52781588599267,1,6,1,9
charnley/rmsd,0,650,10034,0,331357,273429,0.0,93.39080459770115,97.12515729358242,0.0,84.75622389392076,95.09978505693557,21,18351,21721,151362
choderalab/yank,45,1319,21252,552879,552879,293112,100.0,100.0,100.0,100.0,100.0,100.0,392,401,690,515
rst2pdf/rst2pdf,2,601,8473,781,198742,106922,20.0,80.3475935828877,90.83404802744425,0.26505214502187274,67.44813496278749,85.05246076380327,3,327,50,599
kenfar/datagristle,25,968,25564,220930,434066,332522,67.56756756756756,93.52657004830918,98.94720544976002,43.33345755604242,85.13819122582316,97.73878282850549,40,252,178,492
spdx/tools-python,1,2,36,248,248,197,100.0,100.0,100.0,100.0,100.0,100.0,0,0,6,0
khornberg/elasticpypi,8,128,3007,28839,52513,41243,80.0,92.7536231884058,99.30647291941875,47.097922654821005,85.76071335249543,98.55429172242401,5,108,38,159
bjodah/chempy,90,4192,60473,836124,1749634,1042075,89.10891089108911,97.39776951672863,98.80563361871772,44.752742973764114,93.64749809855812,97.63061370758831,1796,24042,24575,164473
datadog/datadogpy,3,65,869,16187,28477,21989,60.0,89.04109589041096,98.4144960362401,49.35361912311726,86.82541618391365,98.74708101311299,0,39,108,42
geospace-code/georinex,7,478,11225,3436,173721,253869,53.84615384615385,75.27559055118111,88.91793409378961,0.8815885013765198,44.572303855538536,85.10241024437666,924,25803,8742,98561
vijos/vj4,14,529,8747,93350,182933,119199,40.0,86.86371100164205,95.97322800087778,41.60742381629442,81.53584211018948,93.87300262248088,15,299,243,470
bumps/bumps,1,1,61,998,998,363,100.0,100.0,100.0,100.0,100.0,100.0,10,0,2622,0
ebroecker/canmatrix,2,257,2579,41302,53076,35101,50.0,98.46743295019157,99.46008484381026,72.59847779086323,93.29419416076357,98.65373805508713,21,221,69,402
bluesky/bluesky,10,365,5459,18625,131803,117966,55.55555555555556,93.11224489795919,97.46473843956437,10.882966477541647,77.01517479943205,96.57865651479798,12,90,145,156
bluesky/ophyd,1,600,7875,3072,237066,207509,20.0,95.69377990430623,98.90730972117558,1.1301180885112019,87.21112459993378,98.20679798199698,278,224,649,264
translate/translate,6,107,1647,38352,44363,32249,75.0,89.91596638655463,96.5982404692082,76.6044142614601,88.61080595226206,94.84442091641668,11,90,102,201
hhatto/autopep8,0,2,67,0,21,1731,0.0,40.0,51.53846153846153,0.0,0.5913827090960293,58.65808200609963,7,5,7,5
explosion/thinc,6,388,7086,4212,173583,141566,46.15384615384615,93.71980676328504,98.17123857024106,2.0890888259539033,86.09456450036951,97.98582463523353,15,133,98,247
esgf/esgf-pyclient,11,297,6217,35764,103875,84197,50.0,86.8421052631579,96.3875968992248,27.666981263441276,80.35755728497827,94.69167875659322,363,190,641,282
plotly/dash,17,1970,17693,53630,713757,544005,70.83333333333334,98.20538384845464,99.37654459671984,7.183865704710033,95.60944310640909,99.4766552013561,12,219,323,294
eoxserver/eoxserver,33,2211,30997,241297,621175,464195,60.0,86.29976580796253,95.5046832634952,31.28993146732541,80.55020650574131,94.73193349509907,284,9433,4729,27151
man-group/arctic,5,37,696,7787,12962,9618,62.5,88.09523809523809,94.43690637720489,44.375427399133805,73.86596763163892,85.3113358169239,6,9,105,19
stphivos/django-mock-queries,4,979,10064,25494,174886,120358,57.14285714285714,98.88888888888889,99.77198374144939,14.300619278406032,98.10065517860347,99.57805208988317,8,228,26,868
scikit-tda/kepler-mapper,2,946,14822,1438,500283,406630,28.57142857142857,92.29268292682927,96.98357652293397,0.24149721556061612,84.01735152455613,95.18492509363296,604,28087,29111,198372
sanic-org/sanic,1,62,608,54,11147,10646,12.5,73.80952380952381,87.98842257597684,0.3164186101019571,65.31700457049104,84.88279381278903,27,49,67,83
bids-standard/pybids,8,1220,27183,11251,493798,547725,40.0,80.58124174372523,92.33983286908078,1.2982906781783081,56.981009714966866,88.61100460587942,177,27621,26324,181335
sumologic/sumologic-python-sdk,2,53,761,4727,24977,19543,40.0,72.6027397260274,86.28117913832199,14.449471174420736,76.34957510545944,88.08311173209538,5,42,5,46
beemod/bee2.4,25,1684,16081,143376,350901,221408,59.523809523809526,93.24473975636766,95.56096981221773,33.09282776385215,80.9919816089407,92.01256711604634,43,720,764,2761
salsita/shishito,17,942,14653,29966,262453,178082,60.71428571428571,90.66410009624639,97.66713324001867,9.961074490328457,87.24267113429136,96.28968768924648,30,389,274,962
opennumismat/open-numismat,9,875,15809,130211,369801,267712,47.368421052631575,90.20618556701031,96.08582021515834,27.325458166410993,77.60467053779597,92.49692496924969,354,2922,3837,7002
tchellomello/python-amcrest,5,76,1085,20997,32815,24943,71.42857142857143,88.37209302325581,98.36808703535812,55.83120612635609,87.25537119761752,98.63181620467397,0,39,5,42
openwateranalytics/pyswmm,2,9,267,16187,16187,3133,100.0,100.0,100.0,100.0,100.0,100.0,1,0,1,0
sardana-org/sardana,28,1560,21138,576074,576074,330280,100.0,100.0,100.0,100.0,100.0,100.0,72,669,784,1451
cobrateam/splinter,0,37,458,0,10945,7306,0.0,94.87179487179486,99.56521739130434,0.0,93.93237212495708,99.8496651633183,0,1,0,1
pyspeckit/pyspeckit,9,1186,20341,132802,441630,385957,56.25,87.91697553743514,94.6137029629285,20.1526907534231,67.01731011155135,90.32565323722487,1911,14087,14172,50547
nipy/nibabel,0,217,3761,0,91313,92665,0.0,86.11111111111111,94.71165953160413,0.0,66.14583333333334,91.72209684443916,42,123,802,190
tensorlayer/tensorlayer,10,1494,19938,150695,580655,555523,41.66666666666667,84.59796149490374,90.4176681329645,17.009597704587552,65.54104618704856,86.88898690540988,9,32347,34857,221858
ethereum/py-evm,9,310,3624,65963,72298,45938,56.25,89.59537572254335,95.77167019027483,84.18909777794795,92.27450830238286,96.10058156562486,189,308,587,1206
tulip-control/polytope,0,930,12269,0,439736,368370,0.0,95.77754891864058,98.62540192926045,0.0,89.2370320614157,97.82634674881491,1052,18564,22153,151733
beescoop/obeesdoo,2,38,554,9098,10072,8773,66.66666666666666,92.6829268292683,95.35283993115318,63.86802386802387,70.7055107055107,87.25880246667992,4,15,5,53
weaverba137/pydl,11,1653,27014,171434,684868,577192,64.70588235294117,91.47758716104039,96.30659536541889,18.71658512992564,74.77157521122948,93.61079620556384,41,32517,35137,202197
pycontribs/jira,4,191,1793,19662,48567,35932,36.36363636363637,88.42592592592592,92.1377183967112,33.94565104796105,83.84896930354616,92.03421955842425,3,109,27,239
cwacek/python-jsonschema-objects,5,76,1073,6921,14340,13858,50.0,80.85106382978722,95.20851818988464,30.897321428571427,64.01785714285714,95.02194185408666,2,68,41,97
graphbrain/graphbrain,44,2564,31692,375554,891393,669640,74.57627118644068,91.08348134991118,94.22608075162039,32.007997865872106,75.97231088379657,90.14265003022075,1717,28878,29450,200070
fabfuel/ecs-deploy,6,441,6575,26559,125145,94939,46.15384615384615,93.23467230443974,98.0319069628746,18.403747410143232,86.71775931482264,97.7704317020926,6,390,128,690
nschloe/pygmsh,3,678,5621,124402,229354,124320,50.0,87.25868725868726,91.0873440285205,41.39034728737881,76.30939785332615,86.58647852401813,110,94,553,193
nschloe/meshzoo,30,1018,10577,384766,384766,198323,100.0,100.0,100.0,100.0,100.0,100.0,16,151,16,211
nschloe/tikzplotlib,10,731,13384,132210,314092,241401,71.42857142857143,85.69753810082064,95.5658693323813,30.759459214227387,73.07541081245826,92.97885452374533,12,2842,2038,6736
nschloe/meshio,3,634,5535,124402,228005,122068,60.0,91.88405797101449,95.54634904194718,43.68768722366402,80.07114938209607,93.11202306671346,17,85,459,164
zulko/moviepy,7,456,7052,37542,193746,162951,70.0,93.82716049382715,98.36797321802204,15.953934088349659,82.33474279157724,97.24992390739978,76,290,591,626
astroprint/astrobox,1,12,125,611,1436,1307,33.33333333333333,80.0,94.6969696969697,25.715488215488215,60.437710437710436,93.55762347888333,3,8,15,12
xgcm/xrft,9,1074,21696,20381,454338,501584,47.368421052631575,81.36363636363636,89.8794481958656,2.673977103062459,59.608920516716125,86.38557163376585,1508,153582,33838,610041
home-assistant-ecosystem/home-assistant-cli,13,525,6400,39978,157422,95905,41.935483870967744,88.23529411764706,91.75627240143369,20.14806900479284,79.33736852450095,90.57981280518328,48,222,151,527
home-assistant-ecosystem/python-mystrom,5,198,4148,5639,76027,63260,35.714285714285715,84.97854077253218,94.68157954804839,5.719124940415217,77.10727289323421,93.21309639583886,22,95,107,146
oemof/feedinlib,9,966,16600,39286,418218,430152,60.0,86.55913978494624,92.94512877939529,6.234279811032419,66.36684910681556,90.88992048885724,336,28279,26815,183185
oemof/demandlib,2,424,8598,1025,163319,202056,33.33333333333333,82.33009708737865,89.43207821926357,0.33451910838419113,53.30080610946118,86.80015293212992,828,8475,3649,28854
sassoftware/python-swat,3,461,9205,5628,175967,216884,27.27272727272727,78.4013605442177,87.7000762195122,1.6595699508144515,51.88868968282988,85.06255637918187,41,8588,3857,29042
languitar/autosuspend,0,1,450,0,232,5565,0.0,10.0,82.72058823529412,0.0,2.2787545427757587,81.49070142041295,0,9,1,13
bundlewrap/bundlewrap,6,261,5951,35590,86870,79325,37.5,76.99115044247787,92.19209914794733,26.696971742766912,65.16341487199105,89.80832587996875,0,89,52,124
sebp/scikit-survival,3,882,15934,2096,363965,389100,25.0,84.8076923076923,91.94460473167916,0.35834389045892295,62.225493363970365,88.97863232227141,126,27499,25758,181511
pwr-solaar/solaar,1,101,1740,998,26104,19452,16.666666666666664,77.6923076923077,93.14775160599572,2.214775526508511,57.93036106611038,89.59513610612132,1,31,10,48
borda/birl,17,2105,36511,270629,836537,765823,48.57142857142857,88.48255569567046,94.05688082848164,22.293551379234785,68.91124229159081,91.49278820019808,111,34981,34212,215204
finat/finat,2,1067,17124,48360,603488,332069,50.0,98.43173431734317,99.68564442892071,7.605041091754286,94.90386762573635,99.31184017704938,275,385,538,666
koenedaele/skosprovider,4,69,1175,9971,18352,12288,57.14285714285714,87.34177215189874,90.17651573292402,39.696631897444064,73.06314196990206,82.13903743315508,8,24,12,27
ccrisan/motioneye,2,164,5257,3154,49463,58956,40.0,68.90756302521008,94.38061041292639,3.351290469966955,52.55703250347986,89.51579842395347,8,44,28,165
peerchemist/finta,2,416,8681,1025,158382,204417,33.33333333333333,80.7766990291262,90.29540253796546,0.33451910838419113,51.68956626741947,87.81440225446016,4,8512,3757,28963
dr-prodigy/python-holidays,1,17,334,998,6912,5228,50.0,89.47368421052632,91.75824175824175,11.585790573485024,80.24146737868585,83.47437330352867,16,2,47,8
taspinar/twitterscraper,8,141,2381,35870,51485,40755,72.72727272727273,87.5776397515528,95.8148893360161,57.91181646458613,83.12210400555385,96.7822369983377,12,50,36,55
xknx/xknx,2,98,2475,19120,33225,24695,40.0,87.5,98.13639968279143,50.93640940938274,88.51266750139862,97.80972750316856,3,20,3,49
morucci/repoxplorer,17,642,9705,87617,182996,134182,60.71428571428571,89.5397489539749,97.37132537373331,41.955332943869294,87.62749360736278,96.47481755760866,42,383,854,604
tmancal74/quantarhei,10,1274,20831,165511,596444,440362,55.55555555555556,93.19678127286028,97.73388383222296,23.54865283625028,84.8611433213772,95.49897314564416,20,21095,24667,158013
sunscrapers/djoser,16,1473,15376,105571,252623,190200,69.56521739130434,94.12140575079873,97.66880518325604,36.1548235084607,86.51561488645432,96.85945194457317,7,609,91,1519
fizzadar/pyinfra,13,612,11851,60311,179851,148695,46.42857142857143,83.26530612244898,94.25753598981944,24.332491467026006,72.56094116887623,91.62019778797868,300,2416,1056,5997
cloudve/cloudbridge,3,25,429,5351,6365,4927,60.0,83.33333333333334,97.5,71.71960863155074,85.31028012330786,99.0550864495376,6,13,9,115
scrapy-plugins/scrapy-zyte-smartproxy,35,1204,19736,350121,378829,233715,94.5945945945946,99.75144987572494,99.9696079424577,92.31761048576558,99.88714776523571,99.97091319728125,30,968,1237,5399
entilzha/pyfunctional,3,21,427,4568,8529,7163,75.0,95.45454545454545,98.16091954022988,43.24119651647103,80.7364634608103,98.73190902825637,0,2,0,2
cs50/help50,16,243,4302,88920,88920,62197,100.0,100.0,100.0,100.0,100.0,100.0,0,61,26,76
gandi/gandi.cli,3,146,2900,16103,59693,49380,37.5,83.42857142857143,93.66925064599482,21.103466352139442,78.22947382216107,93.9551344254809,6,87,6,239
novnc/websockify,0,234,3775,0,129381,98151,0.0,98.31932773109243,99.86772486772487,0.0,96.56379445460313,99.92364547064932,4,3,4,3
vericast/spylon-kernel,28,1332,18265,357928,470538,256971,75.67567567567568,97.58241758241758,99.25551570481468,73.2012990731424,96.2316244140673,99.01017184249056,38,998,107,2201
staticafi/symbiotic,18,286,5480,129450,129450,83299,100.0,100.0,100.0,100.0,100.0,100.0,115,736,801,1745
cve-search/cve-search,30,1060,16135,193204,286386,230638,69.76744186046511,91.14359415305245,97.35714716707898,53.19127262715947,78.84534379516829,95.50702312330219,500,1055,1570,2356
feeicn/cobra,30,2083,35205,1119967,1157281,649422,96.7741935483871,99.76053639846744,99.9801204134954,96.52632876284937,99.74230158299225,99.98953024680904,211,1045,902,1777
flyingrub/scdl,7,195,2632,25713,51001,41867,46.666666666666664,81.9327731092437,93.76558603491272,37.16395906804648,73.71364976585535,93.19724862542573,9,109,218,130
django-salesforce/django-salesforce,5,836,9450,23036,132752,122067,50.0,85.3061224489796,95.1853344077357,11.92154427366351,68.70154737877141,93.24568975395123,2,195,29,415
ppb/pursuedpybear,0,64,1005,0,12281,12430,0.0,74.4186046511628,93.92523364485982,0.0,49.3549813125427,88.78571428571429,51,46,61,82
spacetelescope/imexam,8,1655,27057,131064,708863,579261,47.05882352941176,91.58826784726065,96.45989304812834,14.309124872945706,77.39126827207251,93.94635306939654,12,32468,36111,202183
spacetelescope/synphot_refactor,1,1051,16937,5923,411226,419125,16.666666666666664,86.71617161716172,93.89621909302583,0.9470072460524044,65.74945158959076,91.36976715288209,1841,29751,32919,195236
spacetelescope/gwcs,12,1298,20001,23628,463556,457299,63.1578947368421,89.33241569167241,95.42461832061069,3.5028107877321566,68.72138807846486,92.55060138795848,59,29943,33248,195518
spacetelescope/drizzlepac,46,4145,62768,502413,1343173,1237708,55.42168674698795,86.55251618291919,92.47723723369774,24.41207725172991,65.26432046630526,87.75040110259789,888,61353,56683,318263
spacetelescope/pysynphot,3,661,11298,10836,225628,252337,37.5,85.62176165803109,93.9308280678417,2.8490672696438666,59.32349113281712,90.85433034010471,1846,11149,11286,43143
theqrl/qrl,42,1089,16423,239425,311838,209831,77.77777777777779,93.87931034482759,98.42972729997004,67.66591113346936,88.13115754845494,97.60035350481418,200,474,475,4305
django-waffle/django-waffle,2,851,8858,6933,130270,105472,50.0,94.45061043285239,98.80646960401562,4.391309855586521,82.51203445654927,97.987699511325,1,103,13,379
comictagger/comictagger,7,271,4474,27048,85614,75538,36.84210526315789,79.00874635568513,95.3537936913896,22.20944936199563,70.29872070681358,92.47361849031658,6,104,96,148
gregreen/dustmaps,15,1778,28855,194548,749937,620114,55.55555555555556,91.83884297520662,96.63429336905558,19.989992057351472,77.0567401027715,94.32611059984941,1979,32882,35835,203113
g-node/nixpy,1,241,3957,998,117050,98615,33.33333333333333,93.77431906614785,98.23733862959286,0.7120433789954338,83.51170091324201,97.30719134827913,27,54,92,73
spotify/luigi,2,244,5164,1919,91561,64899,25.0,92.0754716981132,97.93286554143751,1.8031138714799815,86.0317400659607,96.85984209662254,0,35,47,59
20c/vaping,15,442,8501,147660,170641,115661,68.18181818181817,95.87852494577007,99.40364826941067,82.54603593430306,95.39305240326024,99.02906802517231,3,256,156,364
kevin1024/vcrpy,4,65,1303,15069,26801,23645,57.14285714285714,81.25,97.4569932685116,44.24121429200552,78.68529990311501,97.8157448392835,1,23,24,25
mopidy/mopidy-spotify,7,282,5550,56096,112172,81327,58.333333333333336,88.95899053627761,97.41969457609268,45.64064178084421,91.2650112279103,96.42641182817371,1,146,17,179
evonove/mkm-sdk,5,154,1327,39142,45761,31753,71.42857142857143,98.71794871794873,99.84951091045899,85.22469952969865,99.63638738895662,99.84592164014842,0,47,6,70
wtforms/wtforms,0,1,33,0,63,119,0.0,50.0,97.05882352941177,0.0,17.166212534059948,56.132075471698116,1,1,10,7
posativ/isso,4,143,4215,20485,53967,47803,40.0,71.14427860696517,90.4312379317743,22.86246805281191,60.230354571935585,81.99063513026775,6,61,43,118
dalibo/temboard,11,621,18020,48921,212678,236278,57.89473684210527,79.82005141388174,94.31098550269535,12.252733766461457,53.26724539530038,90.50959000662701,38,737,1065,1052
zestedesavoir/zds-site,44,2742,29150,268979,738482,364670,57.14285714285714,90.4055390702275,95.47672857096067,31.27273699667599,85.85931750351992,93.86131988057242,37,2877,800,12606
pythongssapi/python-gssapi,4,67,1890,31615,31615,20893,100.0,100.0,100.0,100.0,100.0,100.0,0,1,0,1
pywr/pywr,7,1417,23911,37974,511585,552621,41.17647058823529,86.98588090853285,91.6200475132194,4.671475019406046,62.93402190453578,89.94994832062373,230,27123,26018,180740
flasgger/flasgger,9,218,4284,25387,66605,58011,50.0,85.49019607843137,97.3857694930666,29.048240194059225,76.21058171998718,95.59048890207129,22,181,108,277
bradleyg/django-s3direct,2,803,8508,6933,114362,100559,50.0,89.12319644839067,94.90239821528165,4.391309855586521,72.43602736255383,93.42332633456586,2,66,48,310
lyft/confidant,42,1174,24181,176986,368637,299765,60.86956521739131,85.50619082301529,95.7473767570778,37.299630346176386,77.68989542632424,93.47296669441873,855,2083,3250,5731
samuelcolvin/arq,3,75,2255,3330,32281,30426,60.0,90.36144578313254,98.73029772329247,8.003653319232804,77.58736720665289,97.40060183110315,5,10,10,17
samuelcolvin/grablib,3,92,2012,19272,45772,37458,42.857142857142854,77.96610169491525,92.71889400921658,33.58134834201677,79.75744480649601,91.82232681276659,5,45,43,49
parallelssh/parallel-ssh,5,307,5378,9379,73264,55136,71.42857142857143,87.2159090909091,96.00142806140664,9.64917695473251,75.37448559670781,93.95085710390893,114,995,438,3732
open-power/op-test,10,148,2971,29182,51860,40395,62.5,83.61581920903954,92.90181363352094,44.896766054340134,79.78707037139604,88.66135510634095,17,96,84,227
jupyter-widgets/ipyleaflet,34,1335,18657,418499,485713,260127,85.0,98.37877671333824,99.30803214989088,84.27319481753854,97.80808621863157,98.92076892362101,1,1153,315,3332
thenaterhood/gscreenshot,0,87,1151,0,26022,20893,0.0,92.5531914893617,98.46022241231822,0.0,83.89863296363167,97.37148716036724,0,5,0,8
veeresht/commpy,13,2161,34505,230577,1160587,688237,76.47058823529412,98.63076220903697,99.61602863906693,19.213613194552657,96.70986133320444,99.28490437020517,551,21511,24047,158690
smartsheet-platform/smartsheet-python-sdk,4,114,1392,20786,37904,29247,50.0,90.47619047619048,96.59958362248439,46.05091166891907,83.97545251124355,95.5004081632653,11,74,73,89
encode/django-rest-framework,2,762,8364,6933,95645,96772,40.0,84.01323042998897,92.46075613530842,4.319195594208677,59.58596027810312,89.00866429977373,9,222,37,578
cuthbertlab/music21,19,1007,16089,464955,517258,300147,82.6086956521739,97.01348747591521,99.52369169862675,88.03831646873486,97.94178683955404,99.58559503112184,6,2740,2440,6594
pyfilesystem/pyfilesystem2,2,69,1457,1606,28902,19332,66.66666666666666,98.57142857142858,99.79452054794521,5.510568213011254,99.16964040625858,99.89148969152069,17,1,30,1
googlecloudplatform/cloud-debug-python,31,899,11109,247184,274863,168429,88.57142857142857,98.35886214442013,99.6948757067217,87.76251460140386,97.58992512009543,99.62734903199475,100,313,400,4002
jarun/buku,9,193,4138,74148,74148,48370,100.0,100.0,100.0,100.0,100.0,100.0,3,2632,5,3676
globocom/m3u8,0,2,9,0,285,63,0.0,66.66666666666666,75.0,0.0,63.758389261744966,45.98540145985402,0,1,0,1
safetyculture/safetyculture-sdk-python,12,463,6710,71075,130093,91507,63.1578947368421,95.4639175257732,97.14782105110757,47.52019148480959,86.97916666666666,93.08289338500819,5,305,708,478
pallets-eco/flask-caching,6,137,3044,14498,56964,41894,60.0,92.56756756756756,99.02407286922576,23.549476967058673,92.52810083815217,98.7833058240981,1,116,35,170
beeware/briefcase,25,1325,14699,364911,499014,227070,69.44444444444444,95.32374100719424,97.92152421557525,68.71266956397297,93.96423810133541,97.28750091045025,3,244,957,363
mfussenegger/cr8,8,611,3806,14481,137159,53156,47.05882352941176,94.0,95.34068136272545,9.094391760346667,86.13891854550022,90.3184150609984,22,86,129,146
tuxemon/tuxemon,8,518,8778,42819,160078,141080,32.0,80.06182380216383,92.22525740701828,17.762502903793184,66.40477217668337,88.64760253099337,310,962,1221,2244
datalad/datalad,12,791,10873,56680,246083,162425,40.0,89.37853107344634,96.66607396870555,20.20058021426586,87.70323537168639,95.39653359802188,10,429,106,990
onelogin/python3-saml,2,37,485,1541,7745,5977,50.0,78.72340425531915,94.9119373776908,13.459690802690192,67.64782950476024,89.32894933492751,38,3,66,3
onelogin/python-saml,0,5,59,0,589,473,0.0,45.45454545454545,85.5072463768116,0.0,56.095238095238095,82.11805555555556,0,21,3,29
weaveworks/grafanalib,0,14,173,0,1017,3697,0.0,73.68421052631578,90.10416666666666,0.0,18.629785675032057,86.68229777256741,0,15,6,335
hadrieng/insilicoseq,5,1338,22455,95673,585407,480561,41.66666666666667,90.2834008097166,97.02717884457503,13.308989232952174,81.43546726761818,95.28682551736856,86,18645,22071,151837
nucleic/atom,1,1,162,3072,3072,1687,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0
geopy/geopy,0,5,28,0,488,553,0.0,62.5,43.75,0.0,20.625528317836007,29.32131495227996,0,3,0,4
mechanicalsoup/mechanicalsoup,6,112,1727,28358,42598,34625,66.66666666666666,90.32258064516128,98.18078453666857,54.62390445921217,82.05335644804006,97.18752631431218,0,61,29,68
k4cg/nichtparasoup,4,188,4256,22657,59259,52591,50.0,83.92857142857143,95.3405017921147,27.958488610281595,73.12495372541277,92.35726955025201,0,17,5,18
openidc/pyoidc,11,647,10186,59857,180217,131867,52.38095238095239,84.68586387434554,94.88588728458313,26.631044117385343,80.18054492712356,92.41049216171328,86,1170,1174,2465
freakboy3742/pyxero,8,265,4155,52293,83926,61161,61.53846153846154,90.75342465753424,96.92092372288313,55.93193146084241,89.76618820459066,95.096011816839,1,105,83,153
python-smpplib/python-smpplib,1,1,61,998,998,363,100.0,100.0,100.0,100.0,100.0,100.0,3,0,26,0
autokey/autokey,1,73,906,998,21589,9122,25.0,87.95180722891565,90.41916167664671,3.4658794929675287,74.9748220177114,82.3731262416471,8,46,13,88
viniciuschiele/flask-apscheduler,10,265,5106,33592,99093,69838,66.66666666666666,96.01449275362319,99.18414918414918,31.990248269163008,94.3679945146514,98.34537338233844,21,135,122,197
aksw/quitstore,7,273,6598,25344,84525,85911,36.84210526315789,78.6743515850144,93.17892952972744,17.325321465925636,57.781833842620124,89.92902901645522,28,2767,77,4463
learningequality/studio,61,3348,44538,482786,777609,561427,63.541666666666664,90.0,96.04916972180288,51.43879373170077,82.8509297181652,94.41206344508421,476,2335,1746,8757
danielperna84/ha-philipsjs,3,174,3926,20126,57168,47090,27.27272727272727,75.9825327510917,91.98687910028116,26.226560158459193,74.49667053258447,89.5366303500466,27,80,42,104
packethost/packet-python,3,64,863,16103,28236,21814,60.0,87.67123287671232,97.84580498866214,49.22357400501314,86.31167084428685,98.31883535403615,5,54,5,57
osmcode/pyosmium,2,54,765,4727,25134,19630,40.0,73.97260273972603,86.73469387755102,14.449471174420736,76.82949196062849,88.47523324469284,0,38,5,43
teledynelecroy/signalintegrity,12,2005,29638,360312,779019,565225,66.66666666666666,92.78111985192041,97.18014296019412,38.2323511529275,82.66093819468246,94.92910862620882,520,21280,25275,158651
goldmann/docker-squash,3,131,1675,7833,41528,34957,37.5,77.51479289940828,91.0821098423056,14.528154907634097,77.02351806513836,91.078919256924,2,75,7,87
vlachoudis/bcnc,1,309,5618,593,121391,121992,16.666666666666664,82.18085106382979,92.41651587432143,0.3211916046039269,65.75003385240352,90.77866412668175,39,49,116,67
nengo/nengo,0,206,3614,0,90396,89999,0.0,86.5546218487395,95.60846560846561,0.0,67.46725379706685,91.62441716042595,93,519,1753,1315
nengo/nengo-spa,0,397,6068,0,143319,127511,0.0,92.11136890951276,98.25129533678756,0.0,79.8928585364766,97.61981319859133,151,146,1229,313
nengo/nengo-gui,0,411,6143,0,152714,129540,0.0,95.35962877030161,99.46567357512953,0.0,85.1300804397148,99.17317409278824,162,18,1107,36
coddingtonbear/django-measurement,7,1757,22419,511577,653992,343971,87.5,99.6596710153148,99.96878623026844,77.41934995694528,98.97168073827119,99.97965358779913,73,387,138,780
xtrinch/fcm-django,38,1891,21362,280748,435771,294097,88.37209302325581,97.87784679089026,99.5294227274845,60.07759319850463,93.25114645769716,99.42460927859797,141,652,704,5084
