product,NBD,NBFD,NBMD,NBD-LOC,NBFD-LOC,NBMD-LOC,PBD,PBFD,PBMD,PBD-LOC,PBFD-LOC,PBMD-LOC,unique_unresolved_count,unique_resolved_count,unresolved_count,resolved_count
aamalev/aiohttp_apiset,9,126,2497,18605,46057,38581,64.28571428571429,88.11188811188812,98.69565217391305,32.985249273101196,81.65555634352174,98.00340386618234,0,116,124,184
totalopenstation/totalopenstation,0,28,505,0,7063,6112,0.0,87.5,96.5583173996176,0.0,69.84079897162069,92.845207352271,1,10,1,12
anaconda-platform/anaconda-client,5,104,1675,19737,40124,33563,50.0,80.0,95.71428571428572,37.80455102666258,76.85412197364388,95.13591655092264,2,50,118,59
syncplay/syncplay,10,774,15607,79288,236395,181818,50.0,88.76146788990825,96.78159493984869,25.3190911848765,75.48817678146604,95.79351113265403,365,751,586,5182
kieranwynn/pyquaternion,0,227,3750,0,110913,96963,0.0,95.37815126050421,99.20634920634922,0.0,82.78016195842818,98.71418972573454,1,7,40,7
pelican-plugins/image-process,16,955,7885,289940,305522,111747,88.88888888888889,95.97989949748744,98.59947480305115,88.42276045891761,93.1747900287281,96.59091891331218,10,104,84,174
aschn/drf-tracking,36,1527,17093,181158,324964,219089,90.0,95.55694618272841,98.28081876724931,49.93604939632835,89.57605160152158,97.9663472502314,71,432,93,1171
pygithub/pygithub,5,201,3748,41486,69702,52152,41.66666666666667,88.1578947368421,97.19917012448133,51.483600352440405,86.49929884215882,95.80952730880165,6,94,40,118
django-es/django-elasticsearch-dsl,4,170,2176,20390,52288,38304,66.66666666666666,94.44444444444444,98.72958257713249,34.70461082838323,88.99630657157932,97.10490290523754,6,39,83,46
sabnzbd/sabnzbd,17,400,8243,64080,141907,95461,58.620689655172406,75.75757575757575,95.83769329147773,33.56098378514267,74.32176226589014,92.66978604434435,162,206,376,414
gosecure/malboxes,6,205,4694,30091,78043,61098,54.54545454545454,91.92825112107623,97.89363920750782,33.99728844198396,88.17421760253079,97.38750657506733,1,142,87,316
pynbody/pynbody,10,1363,25011,132224,649937,486505,58.82352941176471,93.4201507882111,97.49736872880365,17.1551271156204,84.32472056619808,94.89688238174098,171,21677,24868,159298
cellprofiler/python-bioformats,1,225,1853,40304,40304,23717,100.0,100.0,100.0,100.0,100.0,100.0,19,192,59,327
bear/python-twitter,2,344,2953,4727,65669,50895,25.0,90.28871391076116,92.80326838466372,5.481723722052139,76.15386399480471,91.67131972838128,27,257,65,415
