,Name,Status,Bloat Files,Used Files,Bloated Functions,Used Functions,percentage_bloated_functions,percentage_bloated_files
83,cryptography,Active,57,15,1223,69,0.9465944272445821,0.7916666666666666
84,cryptography,Inactive,42,30,1130,168,0.8705701078582434,0.5833333333333334
85,cryptography,Inactive,64,8,1265,27,0.9791021671826625,0.8888888888888888
86,aiohttp,Active,32,13,1166,68,0.9448946515397083,0.7111111111111111
87,cryptography,Inactive,62,10,1262,30,0.9767801857585139,0.8611111111111112
88,cryptography,Inactive,50,22,1168,129,0.9005397070161912,0.6944444444444444
89,wagtail,Inactive,549,21,3309,67,0.980154028436019,0.9631578947368421
90,aiohttp,Inactive,34,11,1161,72,0.9416058394160584,0.7555555555555555
91,aiohttp,Active,36,9,1178,58,0.9530744336569579,0.8
92,aiohttp,Inactive,31,14,1149,84,0.9318734793187348,0.6888888888888889
93,aiohttp,Active,39,6,1208,25,0.9797242497972425,0.8666666666666667
94,aiohttp,Inactive,43,2,1226,6,0.9951298701298701,0.9555555555555556
95,aiohttp,Active,26,19,1117,117,0.9051863857374393,0.5777777777777777
96,cryptography,Inactive,63,9,1265,27,0.9791021671826625,0.875
97,configobj,Inactive,2,1,132,1,0.9924812030075187,0.6666666666666666
98,cryptography,Inactive,63,9,1256,37,0.97138437741686,0.875
99,requests,Active,7,11,146,87,0.6266094420600858,0.3888888888888889
100,aiohttp,Inactive,42,3,1226,7,0.9943227899432279,0.9333333333333333
101,configobj,Inactive,1,2,101,32,0.7593984962406015,0.3333333333333333
102,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
103,cryptography,Inactive,50,22,1198,96,0.9258114374034003,0.6944444444444444
104,GitPython,Inactive,23,13,576,54,0.9142857142857143,0.6388888888888888
105,Werkzeug,Inactive,36,7,1153,29,0.9754653130287648,0.8372093023255814
106,requests,Inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
107,cryptography,Inactive,66,6,1279,12,0.9907048799380326,0.9166666666666666
108,aiohttp,Active,35,12,1179,32,0.9735755573905863,0.7446808510638298
109,cryptography,Inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
110,cryptography,Inactive,62,10,1255,37,0.9713622291021672,0.8611111111111112
111,cryptography,Inactive,59,13,1252,52,0.9601226993865031,0.8194444444444444
112,cryptography,Inactive,61,11,1235,56,0.9566227730441518,0.8472222222222222
113,Django,Inactive,601,256,6935,1355,0.8365500603136309,0.7012835472578763
114,requests,Inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
115,aiohttp,Inactive,40,5,1215,19,0.9846029173419774,0.8888888888888888
116,redis,Inactive,58,5,1573,23,0.9855889724310777,0.9206349206349206
117,configobj,Inactive,2,1,98,35,0.7368421052631579,0.6666666666666666
118,requests,Inactive,11,7,221,15,0.9364406779661016,0.6111111111111112
119,Werkzeug,Inactive,33,10,1142,40,0.9661590524534687,0.7674418604651163
120,aiohttp,Inactive,39,6,1227,8,0.9935222672064777,0.8666666666666667
121,cryptography,Inactive,63,9,1268,23,0.9821843532145623,0.875
