,Name,Status,Bloat Files,Used Files,Bloated Functions,Used Functions,percentage_bloated_functions,percentage_bloated_files
0,cryptography,Inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
1,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
2,cryptography,Inactive,56,16,1226,72,0.9445300462249615,0.7777777777777778
3,configobj,Inactive,2,1,102,31,0.7669172932330827,0.6666666666666666
4,aiohttp,Inactive,42,3,1227,10,0.9919159256265158,0.9333333333333333
5,cryptography,Inactive,69,3,1284,7,0.994577846630519,0.9583333333333334
6,configobj,Inactive,2,1,114,19,0.8571428571428571,0.6666666666666666
7,cryptography,Inactive,54,18,1235,58,0.9551430781129157,0.75
8,cryptography,Inactive,60,12,1243,49,0.9620743034055728,0.8333333333333334
9,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
10,configobj,Inactive,2,1,113,20,0.849624060150376,0.6666666666666666
11,configobj,Inactive,2,1,113,20,0.849624060150376,0.6666666666666666
12,configobj,Inactive,2,1,104,29,0.7819548872180451,0.6666666666666666
13,aiohttp,Active,27,18,1127,116,0.9066773934030571,0.6
14,requests,Inactive,11,7,224,12,0.9491525423728814,0.6111111111111112
15,aiohttp,Inactive,35,12,1118,93,0.9232039636663915,0.7446808510638298
16,cryptography,Active,63,9,1251,41,0.968266253869969,0.875
17,cryptography,Inactive,48,24,1157,146,0.8879508825786646,0.6666666666666666
18,cryptography,Inactive,60,12,1257,37,0.9714064914992272,0.8333333333333334
19,starlette,Active,24,8,407,23,0.9465116279069767,0.75
20,aiohttp,Inactive,34,11,1159,73,0.9407467532467533,0.7555555555555555
21,cryptography,Inactive,62,10,1236,55,0.9573973663826492,0.8611111111111112
22,pydantic,Inactive,11,7,281,46,0.8593272171253823,0.6111111111111112
23,cryptography,Inactive,64,8,1264,27,0.9790859798605732,0.8888888888888888
24,urllib3,Inactive,34,3,391,4,0.9898734177215189,0.918918918918919
25,Flask-Cors,Inactive,3,2,13,14,0.48148148148148145,0.6
26,PyYAML,Inactive,22,9,555,17,0.9702797202797203,0.7096774193548387
27,requests,Inactive,11,7,218,14,0.9396551724137931,0.6111111111111112
28,cryptography,Inactive,52,20,1226,72,0.9445300462249615,0.7222222222222222
29,cryptography,Inactive,69,3,1281,13,0.9899536321483772,0.9583333333333334
30,aiohttp,Active,29,16,1121,120,0.9033037872683319,0.6444444444444445
31,cryptography,Inactive,65,7,1278,13,0.9899302865995352,0.9027777777777778
32,OWSLib,Inactive,38,23,845,144,0.8543983822042467,0.6229508196721312
33,Werkzeug,Inactive,46,6,1330,17,0.9873793615441723,0.8846153846153846
34,aiohttp,Active,29,16,1143,90,0.927007299270073,0.6444444444444445
35,cryptography,Inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
36,requests,Inactive,11,7,222,12,0.9487179487179487,0.6111111111111112
37,configobj,Inactive,2,1,103,30,0.7744360902255639,0.6666666666666666
38,cryptography,Inactive,61,11,1267,26,0.979891724671307,0.8472222222222222
39,cryptography,Inactive,59,13,1229,63,0.9512383900928792,0.8194444444444444
40,cryptography,Inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
41,aiohttp,Inactive,40,5,1217,16,0.9870235198702352,0.8888888888888888
42,aiohttp,Active,28,19,1073,139,0.8853135313531353,0.5957446808510638
43,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
44,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
45,aiohttp,Inactive,34,11,1162,70,0.9431818181818182,0.7555555555555555
46,cryptography,Inactive,62,10,1235,56,0.9566227730441518,0.8611111111111112
47,tornado,Inactive,84,14,3356,111,0.9679838477069512,0.8571428571428571
48,cryptography,Inactive,61,11,1254,39,0.9698375870069605,0.8472222222222222
49,pycrypto,Inactive,98,4,488,9,0.9818913480885312,0.9607843137254902
50,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
51,cryptography,Inactive,58,14,1229,63,0.9512383900928792,0.8055555555555556
52,scrapy,Inactive,169,1,1526,1,0.9993451211525868,0.9941176470588236
53,PyPDF2,Inactive,30,2,688,3,0.9956584659913169,0.9375
54,PyYAML,Inactive,30,1,567,5,0.9912587412587412,0.967741935483871
55,cryptography,Inactive,63,9,1259,34,0.9737045630317092,0.875
56,Django,Active,689,168,7425,844,0.8979320353126133,0.8039673278879813
57,cryptography,Inactive,48,24,1157,143,0.89,0.6666666666666666
58,aiohttp,Inactive,40,5,1215,17,0.9862012987012987,0.8888888888888888
59,Werkzeug,Inactive,26,17,1102,82,0.9307432432432432,0.6046511627906976
60,cryptography,Inactive,62,10,1236,55,0.9573973663826492,0.8611111111111112
61,cryptography,Inactive,63,9,1267,24,0.981409759876065,0.875
62,Django,Inactive,703,154,7495,766,0.9072751482871323,0.8203033838973163
63,cryptography,Inactive,62,10,1259,33,0.9744582043343654,0.8611111111111112
64,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
65,cryptography,Inactive,57,15,1213,79,0.9388544891640866,0.7916666666666666
66,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
67,aiohttp,Active,36,9,1207,29,0.9765372168284789,0.8
68,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
69,aiohttp,Active,27,18,1134,101,0.9182186234817814,0.6
70,Werkzeug,Inactive,41,6,1140,11,0.9904430929626412,0.8723404255319149
71,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
72,cryptography,Inactive,65,7,1267,24,0.981409759876065,0.9027777777777778
73,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
74,cryptography,Inactive,59,13,1246,45,0.965143299767622,0.8194444444444444
75,cryptography,Inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
76,PyYAML,Inactive,22,9,555,17,0.9702797202797203,0.7096774193548387
77,cryptography,Inactive,57,15,1227,66,0.9489559164733179,0.7916666666666666
78,Werkzeug,Active,25,18,1080,103,0.9129332206255283,0.5813953488372093
79,Django,Active,716,121,7395,450,0.9426386233269598,0.8554360812425329
80,sentry-sdk,Inactive,48,2,574,2,0.9965277777777778,0.96
81,GitPython,Inactive,30,7,601,40,0.9375975039001561,0.8108108108108109
82,Werkzeug,Inactive,29,18,1051,100,0.9131190269331017,0.6170212765957447
83,cryptography,Inactive,58,14,1238,53,0.9589465530596437,0.8055555555555556
84,cryptography,Inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
85,requests,Active,7,11,150,82,0.646551724137931,0.3888888888888889
86,cryptography,Inactive,69,3,1289,3,0.9976780185758514,0.9583333333333334
87,cryptography,Inactive,69,3,1287,5,0.9961300309597523,0.9583333333333334
88,requests,Active,7,11,151,85,0.6398305084745762,0.3888888888888889
