project,package_name,status,bloated_files,used_files,bloated_functions,used_functions,percentage_bloated_functions,percentage_bloated_files
identitypython/pysaml2,cryptography,Inactive,57,15,1213,79,0.9388544891640866,0.7916666666666666
identitypython/djangosaml2,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
kalaspuff/tomodachi,aiohttp,Active,36,9,1207,29,0.9765372168284789,0.8
sunpy/sunpy,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
opsdroid/opsdroid,aiohttp,Active,27,18,1134,101,0.9182186234817814,0.6
http-apis/hydrus,Werkzeug,Inactive,41,6,1140,11,0.9904430929626412,0.8723404255319149
geotab/mygeotab-python,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
python-social-auth/social-core,cryptography,Inactive,65,7,1267,24,0.981409759876065,0.9027777777777778
tableau/tabpy,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
galkan/crowbar,cryptography,Inactive,59,13,1246,45,0.965143299767622,0.8194444444444444
searx/searx,cryptography,Inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
searx/searx,PyYAML,Inactive,22,9,555,17,0.9702797202797203,0.7096774193548387
cowrie/cowrie,cryptography,Inactive,57,15,1227,66,0.9489559164733179,0.7916666666666666
leancloud/python-sdk,Werkzeug,Active,25,18,1080,103,0.9129332206255283,0.5813953488372093
dlareau/puzzlehunt_server,Django,Active,716,121,7395,450,0.9426386233269598,0.8554360812425329
dlareau/puzzlehunt_server,sentry-sdk,Inactive,48,2,574,2,0.9965277777777778,0.96
airbnb/knowledge-repo,GitPython,Inactive,30,7,601,40,0.9375975039001561,0.8108108108108109
airbnb/knowledge-repo,Werkzeug,Inactive,29,18,1051,100,0.9131190269331017,0.6170212765957447
threat9/routersploit,cryptography,Inactive,58,14,1238,53,0.9589465530596437,0.8055555555555556
lordfriend/albireo,cryptography,Inactive,61,11,1270,23,0.9822119102861562,0.8472222222222222
codalab/codalab-worksheets,requests,Active,7,11,150,82,0.646551724137931,0.3888888888888889
lxc/pylxd,cryptography,Inactive,69,3,1289,3,0.9976780185758514,0.9583333333333334
diyan/pywinrm,cryptography,Inactive,69,3,1287,5,0.9961300309597523,0.9583333333333334
docker/docker-py,requests,Active,7,11,151,85,0.6398305084745762,0.3888888888888889
docker/docker-py,cryptography,Inactive,59,13,1246,45,0.965143299767622,0.8194444444444444
wger-project/wger,requests,Inactive,11,7,223,13,0.9449152542372882,0.6111111111111112
eliasgranderubio/dagda,requests,Active,7,11,150,83,0.6437768240343348,0.3888888888888889
eliasgranderubio/dagda,waitress,Inactive,15,1,218,2,0.990909090909091,0.9375
eliasgranderubio/dagda,joblib,Inactive,52,3,722,6,0.9917582417582418,0.9454545454545454
yelp/pgctl,py,Inactive,165,7,5489,64,0.9884746983612461,0.9593023255813954
edx/edx-proctoring,cryptography,Inactive,62,10,1262,29,0.9775367931835787,0.8611111111111112
voxpupuli/puppetboard,requests,Inactive,12,6,225,11,0.9533898305084746,0.6666666666666666
xml-security/signxml,cryptography,Inactive,59,13,1232,62,0.9520865533230294,0.8194444444444444
plivo/sharq-server,gunicorn,Inactive,27,10,458,61,0.882466281310212,0.7297297297297297
plivo/sharq-server,Werkzeug,Inactive,53,10,1696,31,0.9820497973364215,0.8412698412698413
zerodha/pykiteconnect,autobahn,Inactive,126,4,1987,15,0.9925074925074925,0.9692307692307692
zerodha/pykiteconnect,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
edcd/edmarketconnector,requests,Active,7,11,154,82,0.652542372881356,0.3888888888888889
bigcommerce/bigcommerce-api-python,requests,Inactive,12,6,221,11,0.9525862068965517,0.6666666666666666
getpopper/popper,GitPython,Inactive,23,13,567,63,0.9,0.6388888888888888
stellarcn/py-stellar-base,aiohttp,Inactive,40,5,1214,19,0.9845904298459043,0.8888888888888888
robotika/osgar,requests,Active,7,11,154,82,0.652542372881356,0.3888888888888889
lucyparsons/openoversight,cryptography,Active,58,14,1222,70,0.9458204334365325,0.8055555555555556
yubico/yubikey-manager,cryptography,Inactive,44,28,1135,163,0.8744221879815101,0.6111111111111112
espressif/esptool,cryptography,Inactive,64,8,1265,27,0.9791021671826625,0.8888888888888888
lablup/backend.ai-manager,aiohttp,Active,32,13,1166,68,0.9448946515397083,0.7111111111111111
lablup/backend.ai-manager,cryptography,Inactive,65,7,1279,13,0.989938080495356,0.9027777777777778
securityinnovation/pgpy,cryptography,Inactive,49,23,1166,131,0.8989976869699307,0.6805555555555556
wagtail/wagtailtrans,wagtail,Inactive,555,15,3322,54,0.9840047393364929,0.9736842105263158
onaio/onadata,cryptography,Inactive,57,15,1204,87,0.9326103795507359,0.7916666666666666
aio-libs/aiobotocore,aiohttp,Inactive,34,11,1161,72,0.9416058394160584,0.7555555555555555
aio-libs/sockjs,aiohttp,Active,36,9,1178,58,0.9530744336569579,0.8
aio-libs/aiodocker,aiohttp,Inactive,31,14,1149,84,0.9318734793187348,0.6888888888888889
aio-libs/aiohttp-session,aiohttp,Active,39,6,1208,25,0.9797242497972425,0.8666666666666667
aio-libs/aiohttp-sse,aiohttp,Inactive,43,2,1226,6,0.9951298701298701,0.9555555555555556
aio-libs/aiohttp-devtools,aiohttp,Active,25,20,1117,118,0.9044534412955466,0.5555555555555556
log2timeline/dfvfs,cryptography,Inactive,63,9,1265,27,0.9791021671826625,0.875
moonso/genmod,configobj,Inactive,2,1,132,1,0.9924812030075187,0.6666666666666666
nordicsemiconductor/pc-ble-driver-py,cryptography,Inactive,66,6,1265,28,0.9783449342614076,0.9166666666666666
okpy/ok-client,requests,Active,7,11,149,84,0.6394849785407726,0.3888888888888889
playpauseandstop/rororo,aiohttp,Inactive,42,3,1226,7,0.9943227899432279,0.9333333333333333
pimutils/khal,configobj,Inactive,1,2,101,32,0.7593984962406015,0.3333333333333333
auth0/auth0-python,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
