product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
twitterdev/twitter-python-ads-sdk,16,2775,162,1099,4382,73318,315,105741,6,44473,7,5976,82,1733,19,13,61268,308,99765,4301,71585,1,5923,49,12877,673,10630,2,8967,2,2013,29,928,12,55345,259,86888,3628,60955,4,35506,5,3963,53,805
cog-creators/red-discordbot,190,72166,2738,56933,14368,224887,1130,452244,30,336628,152,92604,683,13797,43,13,115616,978,359640,13700,211090,6,19692,613,196188,7254,102605,19,241668,113,65172,523,11021,7,95924,365,163452,6446,108485,11,94960,39,27432,160,2776
projectq-framework/projectq,222,41810,1849,29211,23525,559418,1653,820053,9,674106,91,99783,494,20767,20,11,145947,1562,720270,23034,538651,0,0,872,457306,11940,332257,4,489215,36,31909,146,4582,11,145947,690,262964,11094,206394,5,184891,55,67874,348,16185
jupyter/kernel_gateway,30,2947,143,1858,27458,388569,2132,687486,15,117497,61,37876,266,5989,87,72,569989,2071,649610,27210,382580,0,0,95,13409,1022,15419,3,22218,15,8809,27,467,72,569989,1976,636201,26188,367161,12,95279,46,29067,239,5522
jupyter/terminado,12,1116,63,574,1101,17274,38,24549,2,24549,15,13556,92,1808,2,0,0,23,10993,1010,15466,0,0,23,10993,1010,15676,2,24549,15,13556,92,1808,0,0,0,0,0,0,0,0,0,0,0,0
jupyter/nbgrader,135,17657,695,10809,41082,587613,2646,985795,18,370224,147,171275,921,21623,103,85,615571,2499,814520,40185,565990,5,80837,595,215083,15082,221228,5,276636,99,142390,707,16629,80,534734,1904,599437,25103,344762,13,93588,48,28885,214,4994
aliyun/aliyun-oss-python-sdk,34,18887,1021,13977,6840,85256,449,133712,7,97247,43,17824,193,3592,13,6,36465,406,115888,6647,81664,1,998,247,56579,3404,38742,4,66951,34,11370,116,2125,5,35467,159,59309,3243,42922,3,30296,9,6454,77,1467
whynothugo/django-mercadopago,33,1990,37,399,11946,158582,1115,232649,6,195482,73,35996,246,4122,16,10,37167,1042,196653,11711,154460,3,9249,864,129461,8826,106588,2,149596,60,29384,193,3227,7,27918,178,67192,2885,47872,4,45886,13,6612,53,895
armmbed/mbed-cli,7,3981,212,3005,4257,66979,388,110164,2,10961,15,6725,64,1205,18,16,99203,373,103439,4194,65774,0,0,21,4236,437,5835,2,10961,15,6725,64,1205,16,99203,352,99203,3757,59939,0,0,0,0,0,0
snok/django-auth-adfs,47,2019,50,952,12496,156191,1098,230022,7,199242,124,53675,554,10494,13,6,30780,974,176347,11951,145697,0,0,859,125554,9658,109759,4,174477,112,48923,504,9571,6,30780,115,50793,2293,35938,3,24765,12,4752,50,923
pyhdi/pyverilog,41,13824,1463,10542,983,14631,33,20315,2,19948,4,6585,82,1926,3,1,367,29,13730,901,12705,0,0,27,13363,867,12493,2,19948,4,6585,82,1926,1,367,2,367,34,212,0,0,0,0,0,0
milibris/flask-rest-jsonapi,16,2765,154,2251,13898,196607,429,301105,6,267243,74,120699,542,12196,16,10,33862,355,180406,13356,184411,0,0,215,121481,10321,144149,4,241301,73,119820,541,12183,10,33862,140,58925,3035,40262,2,25942,1,879,1,13
goshippo/shippo-python-client,10,1254,76,790,1216,25479,124,37612,3,21676,17,6648,40,1199,6,3,15936,107,30964,1176,24280,0,0,48,4703,472,5998,2,10024,14,5321,36,1117,3,15936,59,26261,704,18282,1,11652,3,1327,4,82
atlassian-api/atlassian-python-api,47,23877,1554,20610,1588,34022,165,49410,6,32309,16,6090,29,664,10,4,17101,149,43320,1560,33358,1,998,79,14633,686,12855,3,17867,11,4232,19,423,3,16103,70,28687,874,20503,3,14442,5,1858,10,241
picklepete/pyicloud,15,3054,205,2312,4906,65227,279,96218,7,43347,32,11918,188,3541,18,11,52871,247,84300,4718,61686,1,1596,58,12822,886,11343,4,19212,21,7986,143,2695,10,51275,189,71478,3832,50343,3,24135,11,3932,45,846
radio-astro-tools/spectral-cube,26,14513,551,12391,23759,563448,1513,758336,11,734917,207,274496,1573,57999,19,8,23419,1306,483840,22198,505449,0,0,537,143074,9480,186580,5,297898,132,154824,1037,33776,8,23419,769,340766,12718,318869,6,437019,75,119672,536,24223
donnemartin/saws,25,2800,89,1716,12188,141914,986,324241,5,152692,63,25501,312,7336,17,12,171549,923,298740,11879,134578,1,38449,578,165283,4866,52716,4,151925,61,25091,307,7244,11,133100,345,133457,7013,81862,1,767,2,410,5,92
sripathikrishnan/redis-rdb-tools,12,2815,295,2102,1930,24418,76,31208,1,28146,2,6152,2,20,3,2,3062,74,25056,1928,24398,0,0,61,21994,1614,22138,1,28146,2,6152,2,20,2,3062,13,3062,314,2260,0,0,0,0,0,0
pahaz/sshtunnel,4,2323,85,1564,3607,44474,183,63779,1,20421,14,9556,113,2193,6,5,43358,169,54223,3494,42281,0,0,32,10865,820,13186,1,20421,14,9556,113,2193,5,43358,137,43358,2674,29095,0,0,0,0,0,0
adamalton/django-csp-reports,20,795,34,330,8965,107638,901,157880,2,150947,33,16061,95,1534,4,2,6933,868,141819,8875,106104,0,0,837,133794,8435,101473,1,149210,32,15416,90,1457,2,6933,31,8025,440,4631,1,1737,1,645,5,77
colinhiggs/pyramid-jsonapi,43,11893,537,9263,17406,239259,706,364594,11,305665,134,158302,844,21946,33,22,58929,572,206292,16571,217313,1,438,235,112985,11030,148534,6,258482,123,145935,783,20483,21,58491,337,93307,5541,68779,5,47183,11,12367,61,1463
scrapy/parsel,6,1271,61,806,898,10991,62,16427,4,14759,4,1906,10,347,5,1,1668,58,14521,890,10644,1,1668,58,14521,890,10789,4,14759,4,1906,10,347,0,0,0,0,0,0,0,0,0,0,0,0
scrapy/scrapy,176,22846,1556,15579,18214,218391,1037,356948,17,255397,165,117812,799,13981,36,19,101551,872,239136,17427,204410,3,3719,457,113292,12304,134137,6,219203,147,109630,697,11632,16,97832,415,125844,5123,70273,11,36194,18,8182,102,2349
scrapy/scrapyd,26,1779,181,1109,19741,233702,1207,379173,7,232098,112,76992,458,7395,37,30,147075,1095,302181,19287,226307,1,4063,510,116946,10907,118368,2,187969,107,75086,431,6998,29,143012,585,185235,8380,107939,5,44129,5,1906,27,397
trufont/trufont,90,30112,1688,19440,8892,122760,583,194455,9,185115,79,41961,491,6706,16,7,9340,504,152494,8449,116054,0,0,86,12401,1500,18938,6,30532,42,18131,234,2722,7,9340,418,140093,6949,97116,3,154583,37,23830,257,3984
jrnl-org/jrnl,49,5251,238,3618,7019,89220,657,233184,11,183917,62,25335,267,5635,20,9,49267,595,207849,6753,83585,1,14545,206,55864,3658,45557,8,64415,57,23096,256,5520,8,34722,389,151985,3095,38028,3,119502,5,2239,11,115
tmux-python/tmuxp,33,4657,136,3636,649,8824,43,12090,2,11208,13,5216,32,792,3,1,882,30,6874,618,8032,1,882,30,6874,618,8034,2,11208,13,5216,32,792,0,0,0,0,0,0,0,0,0,0,0,0
grigorig/stcgal,9,5058,290,3153,632,8608,60,12884,2,12884,15,6163,61,1226,2,0,0,45,6721,572,7382,0,0,45,6721,572,7384,2,12884,15,6163,61,1226,0,0,0,0,0,0,0,0,0,0,0,0
qquick/transcrypt,236,32800,1713,25253,5042,71434,135,93279,2,89994,17,10076,146,3909,4,2,3285,118,83203,4896,67525,0,0,114,79897,4709,65724,1,89175,15,9278,110,3324,2,3285,4,3306,187,1801,1,819,2,798,36,585
charnley/rmsd,4,2233,41,1712,10331,287518,696,390953,2,390953,59,85769,332,15048,2,0,0,637,305184,10003,272470,0,0,637,305184,10003,272998,2,390953,59,85769,332,15048,0,0,0,0,0,0,0,0,0,0,0,0
rst2pdf/rst2pdf,44,12994,491,9604,9328,125713,748,294659,8,293878,99,71846,783,15546,10,2,781,649,222813,8568,110167,0,0,552,197419,7212,88292,6,261279,89,63860,752,14763,2,781,97,25394,1356,21875,2,32599,10,7986,31,783
kenfar/datagristle,26,9013,381,6901,25836,340215,1035,509837,14,315230,66,75605,229,6147,37,23,194607,969,434232,25610,334068,3,25752,423,213432,13398,183411,9,246161,49,58481,162,4667,20,168855,546,220800,12212,150657,5,69069,17,17124,67,1480
uw-hydro/rvic,26,6442,109,5105,26029,577591,1570,850617,8,719459,143,184496,1232,44484,20,12,131158,1427,666121,24830,533107,1,987,757,419337,14257,344931,3,543108,90,124758,920,30476,11,130171,670,246784,10573,188176,5,176351,53,59738,312,14008
bjodah/chempy,78,13742,670,9920,61204,1067365,4304,1868319,11,1032195,98,103942,526,16889,101,90,836124,4206,1764377,60679,1050476,1,4266,1673,899832,26229,547620,9,993563,94,97997,510,16354,89,831858,2533,864545,34450,502856,2,38632,4,5945,16,535
bjodah/pyodesys,21,4389,179,3270,60058,1050521,4186,1840974,4,969494,76,97455,376,16145,96,92,871480,4110,1743519,59686,1034376,2,15463,1656,887502,25950,541321,4,969494,76,97455,376,16145,90,856017,2454,856017,33736,493055,0,0,0,0,0,0
datadog/datadogpy,76,10465,417,7593,883,22268,73,32798,2,16611,8,4321,14,279,5,3,16187,65,28477,869,21989,0,0,12,2277,225,3722,1,5435,6,3158,11,202,3,16187,53,26200,644,18267,1,11176,2,1163,3,77
geospace-code/georinex,26,3684,66,3040,12624,298310,635,389751,9,389084,187,232203,1681,55490,13,4,667,448,157548,10978,242820,0,0,259,106700,6055,142722,4,219141,90,112441,679,23089,4,667,189,50848,4923,100098,5,169943,97,119762,1002,32401
vijos/vj4,80,10986,772,6659,9114,126979,609,224359,22,131789,79,41818,379,7928,35,13,92570,530,182541,8741,119051,0,0,150,42446,3425,41807,13,71111,47,28665,251,5542,13,92570,380,140095,5316,77244,9,60678,32,13153,128,2386
bumps/bumps,160,39175,1864,24977,61,363,1,998,1,998,1,998,1,12,1,0,0,0,0,60,351,0,0,0,0,60,351,1,998,1,998,1,12,0,0,0,0,0,0,0,0,0,0,0,0
ebroecker/canmatrix,35,14939,408,11795,2593,35580,261,56891,3,55893,3,4327,5,109,4,1,998,258,52564,2588,35471,1,998,258,52564,2588,35471,3,55893,3,4327,5,109,0,0,0,0,0,0,0,0,0,0,0,0
bluesky/bluesky,36,20003,840,15359,5601,122145,392,171139,8,152514,32,46172,170,5682,18,10,18625,360,124967,5433,116463,1,308,67,7717,652,8390,6,15457,12,8048,85,1785,9,18317,293,117250,4781,108073,2,137057,20,38124,85,3897
bluesky/ophyd,49,24588,1012,11838,7962,211298,627,271830,4,268758,30,42107,111,5261,5,1,3072,597,229723,7851,206037,0,0,596,226651,7689,204350,4,268758,30,42107,111,5261,1,3072,1,3072,162,1687,0,0,0,0,0,0
translate/translate,413,89152,4500,62828,1705,34002,119,50065,2,11713,8,3172,35,1275,8,6,38352,111,46893,1670,32727,0,0,26,6258,326,4397,1,7110,2,852,6,94,6,38352,85,40635,1344,28330,1,4603,6,2320,29,1181
pypsa/atlite,25,6141,185,4531,29996,691703,1767,915758,22,839579,318,368571,2747,91880,45,23,76179,1449,547187,27293,599823,2,4734,1068,415201,21049,507688,14,769286,301,358819,2659,89686,21,71445,381,131986,6244,92135,8,70293,17,9752,88,2194
hhatto/autopep8,3,4724,210,4005,130,2951,5,3551,2,3551,3,3530,67,1354,2,0,0,2,21,63,1597,0,0,2,21,63,1597,2,3551,3,3530,67,1354,0,0,0,0,0,0,0,0,0,0,0,0
explosion/thinc,96,13961,1090,9362,7218,144476,414,201619,7,197407,27,38885,140,4701,13,6,4212,387,162734,7079,139775,5,1140,139,47175,2501,35123,4,49337,7,3302,40,682,1,3072,248,115559,4578,104652,3,148070,20,35583,100,4019
esgf/esgf-pyclient,14,1771,79,1158,6450,88917,342,129266,10,88043,35,20575,219,4414,22,12,41223,307,108691,6233,84503,0,0,60,26355,1753,23521,5,37100,20,10745,131,2726,12,41223,247,82336,4480,60982,5,50943,15,9830,88,1688
plotly/dash,67,13078,595,9648,17804,546867,2006,746534,10,694460,34,30701,104,2615,24,14,52074,1972,715833,17701,544252,1,3072,1793,642178,14125,488826,6,660115,23,21009,79,1940,13,49002,179,73655,3576,55426,4,34345,11,9692,25,675
wwood/singlem,77,15980,524,12733,51711,982717,3430,1607054,14,941930,253,352218,1950,61981,52,38,665124,3177,1254836,49795,920736,0,0,613,311962,12270,261444,4,461113,111,149151,1002,33557,38,665124,2564,942874,37525,659292,10,480817,142,203067,948,28424
man-group/arctic,78,11177,600,8441,737,11274,42,17548,4,10759,8,7517,51,1769,8,4,6789,34,10031,686,9505,4,6789,20,7781,363,4751,2,2145,3,1153,10,260,0,0,14,2250,323,4754,2,8614,5,6364,41,1509
stphivos/django-mock-queries,9,1662,160,1193,10087,120868,990,178272,3,152778,17,6807,43,925,7,4,25494,973,171465,10046,119943,1,15925,936,160804,9525,114180,2,151041,16,6162,38,848,3,9569,37,10661,521,5763,1,1737,1,645,5,77
scikit-tda/kepler-mapper,13,3530,73,3031,15283,427200,1025,595452,5,594014,49,61234,243,10212,7,2,1438,976,534218,15043,416988,0,0,272,177786,4144,127485,2,187768,7,9982,26,595,2,1438,704,356432,10899,289503,3,406246,42,51252,217,9617
sanic-org/sanic,117,20174,873,14276,691,12542,84,17066,7,17012,22,5919,87,1896,8,1,54,62,11147,608,10646,1,54,62,11147,608,10675,7,17012,22,5919,87,1896,0,0,0,0,0,0,0,0,0,0,0,0
bids-standard/pybids,52,17301,551,12170,29438,618123,1514,866601,11,847734,304,366669,2243,73721,20,9,18867,1210,499932,27235,544402,0,0,1104,478488,26021,532227,9,842026,302,363538,2240,73656,9,18867,106,21444,1214,12175,2,5708,2,3131,3,65
quantopian/qgrid,8,3243,108,2748,36218,604656,2601,970252,6,365087,120,154600,992,33973,90,84,605165,2481,815652,35261,570683,1,14473,258,70265,5595,115968,2,167402,89,111610,833,27683,83,590692,2223,745387,29666,454715,4,197685,31,42990,159,6290
salsita/shishito,49,4599,227,2783,15003,184944,1039,300831,7,201212,51,23378,183,2913,28,21,99619,988,277453,14821,182031,3,19728,647,164979,9183,98160,4,159361,38,14110,111,1812,18,79891,341,112474,5638,83871,3,41851,13,9268,72,1101
tchellomello/python-amcrest,22,4408,356,3026,1103,25289,86,37608,2,16611,10,4793,18,346,7,5,20997,76,32815,1085,24943,2,4894,23,6699,442,6757,1,5435,8,3630,15,269,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
openwateranalytics/pyswmm,19,9695,406,6800,267,3133,9,16187,0,0,0,0,0,0,2,2,16187,9,16187,267,3133,2,16187,9,16187,267,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cobrateam/splinter,30,4375,446,3070,460,7317,39,11652,1,11652,2,707,2,11,1,0,0,37,10945,458,7306,0,0,37,10945,458,7306,1,11652,2,707,2,11,0,0,0,0,0,0,0,0,0,0,0,0
pyspeckit/pyspeckit,112,30930,896,23375,21499,427295,1349,658979,8,524210,145,205267,1041,40228,16,8,134769,1204,453712,20465,387067,0,0,555,219095,9533,178707,2,327593,81,108498,562,19241,8,134769,649,234617,10932,208360,6,196617,64,96769,479,20987
nipy/nibabel,128,39542,1239,24750,3971,101028,252,138048,2,138048,49,60168,349,14789,2,0,0,203,77880,3623,86239,0,0,203,77880,3623,86429,2,138048,49,60168,349,14789,0,0,0,0,0,0,0,0,0,0,0,0
tensorlayer/tensorlayer,111,32488,1046,22356,22051,639348,1766,885941,15,737161,240,268400,1882,77094,24,9,148780,1526,617541,20175,562254,0,0,412,145578,5275,155498,8,274971,124,129393,1142,41246,9,148780,1114,471963,14900,406756,7,462190,116,139007,740,35848
ethereum/py-evm,306,34090,1867,17316,3784,47802,346,78351,7,12388,37,6406,163,1871,16,9,65963,309,71945,3624,45931,2,200,68,5685,532,4999,5,10310,21,4825,117,1404,7,65763,241,66260,3092,40932,2,2078,16,1581,46,467
tulip-control/polytope,10,4591,138,3621,12440,376555,971,492773,3,492773,48,61073,215,10583,3,0,0,923,431700,12227,365972,0,0,923,431700,12227,366086,3,492773,48,61073,215,10583,0,0,0,0,0,0,0,0,0,0,0,0
weaverba137/pydl,35,10518,198,9193,28050,616587,1807,915947,6,741548,137,209754,931,35184,17,11,174399,1670,706193,27126,581403,0,0,869,354714,12955,316205,2,459569,68,104855,504,16278,11,174399,801,351479,14171,265198,4,281979,69,104899,427,18906
pycontribs/jira,9,7750,328,6518,1946,39042,216,57922,7,38260,25,9355,151,3087,11,4,19662,191,48567,1795,35955,1,3072,37,8573,461,5861,3,6464,4,963,13,244,3,16590,154,39994,1334,30094,4,31796,21,8392,138,2843
cwacek/python-jsonschema-objects,14,4477,207,2871,1127,14584,94,22400,5,14889,18,8433,55,728,10,5,7511,76,13967,1072,13856,0,0,38,5923,631,7611,4,13306,16,7383,48,669,5,7511,38,8044,441,6245,1,1583,2,1050,7,59
graphbrain/graphbrain,63,5958,384,4665,33634,742867,2815,1173313,16,841402,120,139073,633,24120,59,43,331911,2695,1034240,33006,718747,1,25,1074,411285,11487,328043,9,515025,91,103765,522,21352,42,331886,1621,622955,21519,390704,7,326377,29,35308,111,2768
fabfuel/ecs-deploy,6,2480,128,1889,6707,97104,473,144313,7,117754,30,18975,130,2153,13,6,26559,443,125338,6577,94951,0,0,331,80567,4613,59757,4,93051,19,12484,112,1798,6,26559,112,44771,1964,35194,3,24703,11,6491,18,355
nschloe/pygmsh,38,2713,135,1716,6171,143579,777,300558,3,176156,52,42198,212,6822,6,3,124402,725,258360,5959,136757,0,0,83,15011,368,12273,1,15805,4,794,10,208,3,124402,642,243349,5591,124484,2,160351,48,41404,202,6614
nschloe/tikzplotlib,18,4671,121,4123,14005,259630,853,429819,5,299347,79,93745,514,16990,14,9,130472,774,336074,13491,242640,1,1268,134,90708,2986,51298,1,124992,29,35552,224,4008,8,129204,640,245366,10505,191342,4,174355,50,58193,290,12982
nschloe/meshio,89,16092,389,12663,5793,131098,690,284753,2,160351,67,61209,345,14125,5,3,124402,623,223544,5448,116973,0,0,249,99142,4307,98219,2,160351,67,61209,345,14125,3,124402,374,124402,1141,18754,0,0,0,0,0,0
zulko/moviepy,166,20983,701,16217,7169,167559,486,235315,4,198227,39,60308,241,10229,10,6,37088,447,175007,6929,157330,0,0,40,18363,1057,20087,2,33226,9,14863,62,2404,6,37088,407,156644,5872,137243,2,165001,30,45445,179,7825
xgcm/xgcm,14,5230,165,4157,19441,415059,1087,545534,9,517537,242,291171,2241,72808,19,10,27997,845,254363,17237,342251,0,0,347,81561,6414,127500,3,193826,90,112265,836,21424,10,27997,498,172802,10823,214751,6,323711,152,178906,1405,51384
xgcm/xrft,7,1976,39,1642,24139,580634,1320,762198,9,734201,255,309229,2365,78537,19,10,27997,1065,452969,21814,502097,0,0,579,296933,11088,292887,3,410490,91,113557,862,21899,10,27997,486,156036,10726,209210,6,323711,164,195672,1503,56638
home-assistant-ecosystem/home-assistant-cli,25,4289,192,2278,6975,105879,595,198421,19,159223,69,41206,572,9840,31,12,39198,526,157215,6408,96039,1,14545,360,98691,3739,46007,8,102949,32,18803,176,3808,11,24653,166,58524,2669,50032,11,56274,37,22403,396,6032
home-assistant-ecosystem/python-mystrom,8,1077,92,607,4381,67866,233,98599,10,93740,36,23098,222,4306,14,4,4859,197,75501,4163,63560,0,0,122,47620,3183,40481,4,63285,25,15665,152,3021,4,4859,75,27881,980,23079,6,30455,11,7433,70,1285
oemof/feedinlib,13,3493,84,2625,17860,473267,1116,630161,5,583259,128,167644,1142,39131,15,10,46902,988,462517,16751,434136,0,0,247,109018,4079,113747,2,162507,40,53489,239,9454,10,46902,741,353499,12672,320389,3,420752,88,114155,903,29677
oemof/demandlib,8,866,20,616,9614,232783,515,306410,3,297769,119,152073,1072,36123,6,3,8641,396,154337,8576,196660,0,0,350,143119,8131,192731,2,295133,118,152014,1071,36102,3,8641,46,11218,445,3929,1,2636,1,59,1,21
sassoftware/python-swat,71,21065,1221,35589,10496,254970,588,339124,8,326878,146,171284,1297,42360,11,3,12246,442,167840,9234,212610,0,0,143,40089,4514,97593,2,166583,105,126494,1145,36943,3,12246,299,127751,4720,115017,6,160295,41,44790,152,5417
languitar/autosuspend,22,2998,163,2044,544,6829,10,10181,1,10181,9,9949,94,1264,1,0,0,1,232,450,5565,0,0,1,232,450,5565,1,10181,9,9949,94,1264,0,0,0,0,0,0,0,0,0,0,0,0
bundlewrap/bundlewrap,79,17493,953,13743,6455,88327,339,133311,10,97721,65,36210,416,7401,16,6,35590,274,97101,6041,80926,0,0,186,51498,4167,48821,9,86545,63,35047,413,7324,6,35590,88,45603,1874,32105,1,11176,2,1163,3,77
sebp/scikit-survival,40,11825,400,7979,17330,437296,1040,584913,8,575201,150,193987,1318,48256,12,4,9712,890,390926,16045,389040,0,0,207,67355,5631,116295,5,181612,89,114257,893,28789,4,9712,683,323571,10414,272745,3,393589,61,79730,425,19467
pwr-solaar/solaar,47,22368,1129,12472,1868,21711,130,45061,6,45061,30,19955,131,2263,6,0,0,100,25106,1738,19448,0,0,100,25106,1679,19111,5,44063,29,18957,129,2259,0,0,0,0,59,337,1,998,1,998,2,4
borda/birl,39,9673,285,6366,38818,837031,2379,1213934,19,944403,253,366943,1878,70471,35,16,269531,2126,846991,36984,766560,1,587,1350,537727,26706,554935,13,885158,234,348018,1819,68478,15,268944,776,309264,10278,211625,6,59245,19,18925,59,1993
finat/finat,28,4414,375,3027,17178,334370,1084,635894,3,588035,17,31460,64,2639,4,1,47859,1067,604434,17114,331731,0,0,1008,556354,15741,300092,2,587534,16,31180,62,2469,1,47859,59,48080,1373,31639,1,501,1,280,2,170
koenedaele/skosprovider,9,2503,112,1396,1303,14960,79,25118,3,15147,10,6766,128,2649,7,4,9971,69,18352,1176,12311,0,0,29,7613,597,5673,2,14037,9,6424,125,2594,4,9971,40,10739,579,6638,1,1110,1,342,3,55
ccrisan/motioneye,28,9845,386,8042,5570,65861,238,94113,4,93746,25,19230,149,3126,5,1,367,213,74883,5423,62735,0,0,211,74516,5389,62721,4,93746,25,19230,149,3126,1,367,2,367,34,14,0,0,0,0,0,0
dr-prodigy/python-holidays,166,30120,926,14897,364,6263,19,8614,2,8614,3,2700,30,938,2,0,0,16,5914,334,5325,0,0,16,5914,274,4964,1,7616,2,1702,29,936,0,0,0,0,60,361,1,998,1,998,1,2
taspinar/twitterscraper,6,789,20,645,2485,42110,161,61939,3,26069,20,10454,104,1355,11,8,35870,141,51485,2381,40755,3,8906,71,14508,1258,14615,2,14893,18,9291,101,1278,5,26964,70,36977,1123,26140,1,11176,2,1163,3,77
xknx/xknx,152,22588,1346,13308,2522,25248,112,37537,3,18417,14,4361,50,567,5,2,19120,98,33176,2474,24681,0,0,65,14056,1264,10787,2,18170,13,4114,44,498,2,19120,33,19120,1210,13894,1,247,1,247,6,69
tmancal74/quantarhei,180,50561,1498,38554,21314,461117,1367,702847,11,577706,120,136964,673,30052,18,7,125141,1247,565883,20646,431065,0,0,803,403208,13659,326296,7,533273,112,130065,645,29039,7,125141,444,162675,6987,104769,4,44433,8,6899,28,1013
sunscrapers/djoser,38,1606,75,745,15743,196367,1565,291997,7,186426,108,44693,414,6629,23,16,105571,1457,247304,15345,189738,1,91,58,2825,198,1393,2,3277,4,543,8,50,15,105480,1399,244479,15147,188345,5,183149,104,44150,406,6579
fizzadar/pyinfra,142,23621,752,17206,12573,162295,735,247862,16,188549,115,64521,619,11923,28,12,59313,620,183341,11974,150372,0,0,372,93431,7355,87519,10,146702,88,53271,532,10503,12,59313,248,89910,4619,62853,6,41847,27,11250,87,1420
scrapy-plugins/scrapy-zyte-smartproxy,4,444,31,311,19742,233783,1207,379257,3,51361,4,661,7,79,37,34,327896,1203,378596,19735,233704,0,0,169,21992,1526,15300,1,22225,1,233,1,11,34,327896,1034,356604,18209,218404,2,29136,3,428,6,68
entilzha/pyfunctional,9,3756,246,3174,435,7255,22,10564,1,5996,1,2035,8,92,4,3,4568,21,8529,427,7163,1,2721,15,6682,304,5759,1,5996,1,2035,8,92,2,1847,6,1847,123,1404,0,0,0,0,0,0
gandi/gandi.cli,65,11039,547,7474,3096,52557,175,76305,5,60202,28,16083,140,2355,8,3,16103,147,60222,2958,50202,0,0,94,34106,2315,32076,4,49026,26,14920,137,2278,3,16103,53,26116,643,18126,1,11176,2,1163,3,77
novnc/websockify,10,3231,125,2647,3780,98226,238,133985,1,133985,5,13164,9,150,1,0,0,233,120821,3771,98076,0,0,233,120821,3771,98076,1,133985,5,13164,9,150,0,0,0,0,0,0,0,0,0,0,0,0
vericast/spylon-kernel,11,3640,98,2284,18402,259540,1365,488964,10,131258,35,18613,130,2553,37,27,357706,1330,470351,18278,256987,0,0,95,13614,888,12208,3,18324,11,4710,45,733,27,357706,1235,456737,17390,244779,7,112934,24,13903,85,1820
flyingrub/scdl,4,1088,23,858,2807,44923,238,69188,8,43475,24,11582,99,1432,15,7,25713,214,57606,2718,43491,0,0,131,21880,1627,18527,7,32299,22,10419,96,1355,7,25713,83,35726,1091,24964,1,11176,2,1163,3,77
django-salesforce/django-salesforce,52,7368,356,3834,9928,130909,980,193230,5,170194,119,56642,479,8248,10,5,23036,861,136588,9457,122661,0,0,778,102567,8375,99875,3,157281,115,54714,470,8085,5,23036,83,34021,1082,22786,2,12913,4,1928,9,163
ppb/pursuedpybear,49,5595,313,2597,1070,14000,86,24883,4,24883,21,12534,69,1565,4,0,0,65,12349,1005,12435,0,0,61,10975,824,11336,3,22968,20,11993,64,1453,0,0,4,1374,181,1099,1,1915,1,541,5,112
spacetelescope/imexam,12,6673,281,5529,28050,616587,1807,915947,9,784883,151,225025,1081,40567,17,8,131064,1656,690922,26976,576020,0,0,1191,522253,19385,446934,4,718546,141,196293,1046,39290,8,131064,465,168669,7591,129086,5,66337,10,28732,35,1277
spacetelescope/gwcs,18,7780,299,5915,20960,494107,1453,674544,7,650916,145,200953,900,33494,19,12,23628,1308,473591,20076,460613,0,0,1011,378389,14584,339026,4,489104,81,110715,493,16106,12,23628,297,95202,5492,121587,3,161812,64,90238,407,17388
spacetelescope/drizzlepac,133,72936,1286,62053,67874,1410487,4789,2058051,34,1530740,591,651593,4437,160531,83,49,527311,4198,1406458,63495,1249956,2,7703,2098,592957,24554,562616,14,938222,362,352968,2388,87438,47,519608,2100,813501,38941,687340,20,592518,229,298625,2049,73093
spacetelescope/pysynphot,66,95366,10374,68643,12028,277738,772,380335,5,369499,95,139453,643,22589,8,3,10836,677,240882,11388,255149,1,998,439,144563,6862,135328,2,209547,51,65982,407,13296,2,9838,238,96319,4526,119821,3,159952,44,73471,236,9293
theqrl/qrl,131,32812,1480,16421,16685,214990,1160,353834,14,125057,66,41310,259,5081,54,40,228777,1094,312524,16430,209909,7,17900,154,42418,3622,40251,9,44618,27,20100,142,3310,33,210877,940,270106,12808,169658,5,80439,39,21210,117,1771
django-waffle/django-waffle,36,2541,126,1092,8965,107638,901,157880,2,150947,52,28901,133,2136,4,2,6933,849,128979,8847,105502,0,0,818,120429,8403,100921,1,149210,51,28781,132,2127,2,6933,31,8550,444,4581,1,1737,1,120,1,9
