product,own_files_count,own_files_loc,own_functions_count,own_functions_loc,total_dependency_functions_count,total_dependency_functions_loc,total_dependency_files_count,total_dependency_files_loc,reachable_dependencies,reachable_dependencies_loc,reachable_dependency_files,reachable_dependency_files_loc,reachable_dependency_functions,reachable_dependency_functions_loc,total_dependencies_count,bloated_dependencies_count,bloated_dependencies_loc,bloated_files_count,bloated_files_loc,bloated_functions_count,bloated_functions_loc,bloated_deps_count_1,bloated_deps_loc_1,bloated_files_count_1,bloated_files_loc_1,bloated_functions_count_1,bloated_functions_loc_1,used_direct_deps_count_1,used_direct_deps_loc_1,used_direct_files_count_1,used_direct_files_loc_1,used_direct_functions_count_1,used_direct_functions_loc_1,transitive_bloated_dependencies_count,transitive_bloated_dependencies_loc,transitive_bloated_files_count,transitive_bloated_files_loc,transitive_bloated_functions_count,transitive_bloated_functions_loc,transitive_used_dependencies_count,transitive_used_dependencies_loc,transitive_used_files_count,transitive_used_files_loc,transitive_used_functions_count,transitive_used_functions_loc
python-visualization/branca,6,1862,78,1271,796,10375,27,14600,1,14233,4,4287,21,455,2,1,367,23,10313,776,9920,0,0,21,9946,742,9715,1,14233,4,4287,21,455,1,367,2,367,34,205,0,0,0,0,0,0
rwth-ebc/teaser,85,20507,310,12883,12188,265071,643,352183,4,306290,127,157285,1090,36797,14,10,45893,516,194898,11129,228274,1,29250,228,83931,6665,127695,2,169669,94,114988,925,29889,9,16643,288,110967,4464,100579,2,136621,33,42297,165,6908
instaloader/instaloader,11,5395,350,4248,882,22187,73,32714,3,27987,20,7737,120,2630,5,2,4727,53,24977,762,19557,0,0,7,580,154,2081,1,5435,11,4855,82,1843,2,4727,46,24397,608,17476,2,22552,9,2882,38,787
bccp/nbodykit,95,21895,717,17406,18333,460594,1294,630275,6,630275,119,174015,862,33818,6,0,0,1175,456260,17476,426776,0,0,1171,455795,17215,407342,5,608371,118,152576,859,33658,0,0,4,465,261,19434,1,21904,1,21439,3,160
lra/mackup,9,1489,50,1163,104,817,20,2068,1,1070,1,579,28,357,2,1,998,19,1489,76,460,1,998,19,1489,76,460,1,1070,1,579,28,357,0,0,0,0,0,0,0,0,0,0,0,0
juliotrigo/sqlalchemy-filters,8,846,37,606,10418,148543,256,230641,1,226499,6,10653,15,327,4,3,4142,250,219988,10404,148216,1,998,247,216844,10242,146552,1,226499,6,10653,15,327,2,3144,3,3144,162,1664,0,0,0,0,0,0
googleapis/google-api-python-client,73,12793,335,8223,4307,69972,509,137257,4,14620,10,4212,46,1036,18,14,122637,499,133045,4261,68936,2,26329,107,26924,1070,18816,3,3707,9,3112,45,1035,12,96308,392,106121,3191,50120,1,10913,1,1100,1,1
googleapis/google-auth-library-python,116,27301,1229,18349,1387,17237,222,52158,6,52158,30,16456,147,2555,6,0,0,192,35702,1244,14682,0,0,168,30457,675,9091,5,40661,21,10204,83,1498,0,0,24,5245,569,5591,1,11497,9,6252,64,1057
opentok/opentok-python-sdk,16,3387,121,2594,2780,44884,171,69441,7,50618,38,23908,156,2845,11,4,18823,133,45533,2626,42039,1,2636,22,5562,461,6709,3,9475,18,6549,52,998,3,16187,111,39971,2165,35330,4,41143,20,17359,104,1847
rasbt/mlxtend,124,17502,422,13412,31540,724312,1933,1066767,13,941626,206,256725,1729,64442,21,8,125141,1727,810042,29849,659870,0,0,1033,564543,18711,469312,5,744181,134,179638,1241,41661,8,125141,694,245499,11138,190558,8,197445,72,77087,488,22781
aamalev/aiohttp_apiset,17,3314,300,2439,2530,39367,143,56404,7,39996,19,12218,37,941,14,7,16408,124,44186,2502,38426,0,0,69,24251,1797,20705,3,30752,13,6501,29,643,7,16408,55,19935,705,17721,4,9244,6,5717,8,298
totalopenstation/totalopenstation,38,5452,172,3626,523,6583,32,10113,2,10113,5,2857,15,400,2,0,0,27,7256,509,6183,0,0,27,7256,509,6213,2,10113,5,2857,15,400,0,0,0,0,0,0,0,0,0,0,0,0
anaconda-platform/anaconda-client,66,8525,423,5988,1750,35279,130,52208,6,33469,27,13082,77,1730,10,4,18739,103,39126,1673,33549,1,2636,52,13264,972,15012,4,21295,22,10667,71,1641,3,16103,51,25862,701,18537,2,12174,5,2415,6,89
syncplay/syncplay,61,24193,1206,12121,16126,189802,872,313155,10,233867,116,85116,602,9084,20,10,79288,756,228039,15528,180718,0,0,336,90781,9129,100004,3,166470,104,75689,511,7602,10,79288,420,137258,6399,80714,7,67397,12,9427,91,1482
pelican-plugins/image-process,4,1452,45,891,7997,115691,995,327902,2,37962,8,9515,40,1352,18,16,289940,987,318387,7957,114339,2,14562,145,43009,2082,35816,2,37962,8,9515,40,1352,14,275378,842,275378,5875,78523,0,0,0,0,0,0
aschn/drf-tracking,19,677,24,211,17392,223637,1598,362780,4,181622,27,19539,104,1786,40,36,181158,1571,343241,17292,221851,1,15925,923,150076,9415,113144,1,149210,18,15059,46,857,35,165233,648,193165,7877,108707,3,32412,9,4480,58,929
pygithub/pygithub,136,32811,2225,22354,3856,54433,228,80581,7,39095,28,11141,102,2129,12,5,41486,200,69440,3755,52304,0,0,46,8150,490,8839,4,14628,17,6478,47,1005,5,41486,154,61290,3265,43465,3,24467,11,4663,55,1124
django-es/django-elasticsearch-dsl,27,1974,82,953,2204,39446,180,58753,3,39361,14,8462,46,871,6,3,19392,166,50291,2159,38575,0,0,13,2662,374,3256,1,5996,7,3334,26,380,3,19392,153,47629,1785,35319,2,33365,7,5128,20,491
ctpug/wafer,150,7970,352,3219,19972,265385,1685,391412,22,272053,199,94295,960,17847,41,19,119359,1486,297117,19050,247538,5,34442,1095,157773,11912,147905,14,206897,180,83566,882,16552,14,84917,391,139344,7138,99633,8,65156,19,10729,78,1295
gosecure/malboxes,4,866,32,635,4795,62737,223,88510,5,58419,18,10467,94,1396,11,6,30091,205,78043,4701,61341,0,0,57,18609,1192,16801,4,23977,10,5368,33,637,6,30091,148,59434,3509,44540,1,34442,8,5099,61,759
pynbody/pynbody,63,25640,1245,20600,25653,512667,1459,770755,8,640269,100,123523,731,29003,17,9,130486,1359,647232,24925,483664,1,1282,732,419094,14599,300473,4,465914,37,48102,259,7870,8,129204,627,228138,10326,183191,4,174355,63,75421,472,21133
bear/python-twitter,11,1831,59,655,3182,55519,381,86232,6,81505,38,21987,235,4640,8,2,4727,343,64245,2949,50879,0,0,22,1688,201,2968,2,6786,11,5098,87,1996,2,4727,321,62557,2748,47911,4,74719,27,16889,148,2644
aruhier/virt-backup,24,3483,217,2638,1513,23588,95,39349,6,35420,18,17391,64,2141,8,2,3929,77,21958,1450,21447,1,2931,62,17516,1102,15916,5,27804,14,13219,47,1409,1,998,15,4442,348,5531,1,7616,4,4172,17,732
pydicom/pynetdicom,57,38293,946,26433,735,20244,68,122091,1,122091,19,16293,126,4594,1,0,0,49,105798,610,15650,0,0,49,105798,610,15696,1,122091,19,16293,126,4594,0,0,0,0,0,0,0,0,0,0,0,0
asdf-format/asdf,124,27001,1555,20745,5627,119091,353,163496,10,163000,53,51224,207,5406,13,3,496,300,112272,5424,113685,2,82,265,106183,4705,105563,7,151651,48,45550,186,5045,1,414,35,6089,719,8122,3,11349,5,5674,21,361
kipe/enocean,16,1273,63,731,893,13364,45,19371,2,15456,7,6002,22,740,3,1,3915,38,13369,872,12624,0,0,31,9454,695,9884,2,15456,7,6002,22,740,1,3915,7,3915,177,2740,0,0,0,0,0,0
a10networks/acos-client,98,8046,611,4305,987,22972,79,34221,4,18118,12,5784,30,489,7,3,16103,67,28437,957,22483,0,0,14,2321,314,4297,3,6942,10,4621,27,412,3,16103,53,26116,643,18186,1,11176,2,1163,3,77
coala/coala,195,22827,804,15637,3825,61159,516,188930,12,168886,57,23302,191,3762,17,5,20044,459,165628,3637,57397,1,344,369,133924,2495,34352,6,151490,40,17910,131,2531,4,19700,90,31704,1142,23045,6,17396,17,5392,60,1231
colinduquesnoy/qdarkstylesheet,19,24868,44,1466,290,3268,80,6903,1,2840,1,285,3,90,2,1,4063,79,6618,287,3178,0,0,65,2555,96,376,1,2840,1,285,3,90,1,4063,14,4063,191,2802,0,0,0,0,0,0
lavie/runlike,5,549,79,413,487,7235,16,10130,1,10130,5,2584,17,424,1,0,0,11,7546,470,6811,0,0,11,7546,470,6811,1,10130,5,2584,17,424,0,0,0,0,0,0,0,0,0,0,0,0
cogu/autosar,51,17482,1273,15439,55,355,1,437,1,437,1,437,26,163,1,0,0,0,0,29,192,0,0,0,0,29,192,1,437,1,437,26,163,0,0,0,0,0,0,0,0,0,0,0,0
globus/globus-cli,227,18475,642,10604,5085,73327,401,111089,7,70601,73,33413,297,6375,14,7,40488,328,77676,4798,66952,1,3072,93,21038,2375,24746,5,38935,36,20969,177,3240,6,37416,235,56638,2423,42206,2,31666,37,12444,120,3135
globus/globus-sdk-python,184,21739,617,12619,3638,50124,191,74738,6,50891,28,15204,146,3013,10,4,23847,163,59534,3492,47111,0,0,84,16017,1687,15807,4,28339,19,12322,108,2226,4,23847,79,43517,1805,31304,2,22552,9,2882,38,787
open-craft/problem-builder,50,8030,405,4247,16265,205567,1327,299451,12,250593,84,43095,431,7742,23,11,48858,1243,256356,15849,197825,0,0,825,119611,8498,99500,3,153681,66,34070,333,6300,11,48858,418,136745,7351,98325,9,96912,18,9025,98,1442
craffel/mir_eval,20,12245,222,10760,12245,311598,922,432255,2,390953,52,67181,343,16271,4,2,41302,870,365074,11904,295327,0,0,644,323772,9990,271439,2,390953,52,67181,343,16271,2,41302,226,41302,1914,23888,0,0,0,0,0,0
francescoceruti/linux-show-player,192,20749,1294,11787,1830,22958,75,31403,3,11743,12,7989,66,1273,6,3,19660,63,23414,1764,21685,1,540,30,4294,567,7857,3,11743,12,7989,66,1273,2,19120,33,19120,1197,13828,0,0,0,0,0,0
becksteinlab/gromacswrapper,31,15314,437,9664,20626,449373,1311,686999,7,557055,79,120059,467,20068,15,8,129944,1232,566940,20164,429305,0,0,348,184924,6739,137994,4,261455,54,76531,384,16775,8,129944,884,382016,13425,291311,3,295600,25,43528,83,3293
