Identifier,Package,VersionConstraint
GHSA-gv26-jpj9-c8gq,tensorflow-gpu,">= 2.4.0,< 2.4.2"
GHSA-h2g5-2rhx-ffgj,Weblate,">= 0,< 4.11.1"
GHSA-vqp6-j452-j6wp,nova,">= 0,< 21.2.3"
GHSA-vqp6-j452-j6wp,nova,">= 22.0.0,< 22.2.3"
GHSA-vqp6-j452-j6wp,nova,">= 23.0.0,< 23.0.3"
GHSA-47wv-vhj2-g66m,horovod,">= 0,< 0.24.0"
GHSA-h65g-jfqg-2w6m,calibreweb,">= 0,< 0.6.17"
GHSA-gcx2-gvj7-pxv3,mitmproxy,">= 0,< 8.0.0"
GHSA-7944-h5rw-qmjx,zope,">= 2.4.0,< 2.6.0"
GHSA-vwrc-g9q6-f675,zope,">= 2.0.0,< 2.4.4b2"
GHSA-vwrc-g9q6-f675,zope,">= 2.5.0,< 2.5.1b2"
GHSA-h8pj-cxx2-jfg2,httpx,">= 0,< 0.23.0"
GHSA-xcjx-m2pj-8g79,PyPDF2,">= 0,< 1.27.5"
GHSA-4822-jvwx-w47h,matrix-synapse,">= 0,< 1.53.0"
GHSA-4mrx-6fxm-8jpg,vyper,">= 0,< 0.3.2"
GHSA-72cx-5ff9-4hhc,markdown2,">= 0,< 1.0.1.14"
GHSA-j2x6-9323-fp7h,vyper,">= 0,< 0.3.2"
GHSA-wh73-hpcg-v32j,apache-superset,">= 0,< 1.4.2"
GHSA-9fqr-pqc9-f7pj,cobbler,">= 0,< 2.6.0"
GHSA-hj4h-vqpq-95wg,mailman,">= 0,< 2.1.5"
GHSA-74w3-2r77-fw5h,consoleme,">= 0,< 1.2.2"
GHSA-cf4q-4cqr-7g7w,xml2rfc,">= 0,< 3.12.4"
GHSA-c2jg-hw38-jrqq,twisted,">= 0,< 22.4.0"
GHSA-c3rp-4cjh-cp38,zope,">= 2.2.0,< 2.4.4"
GHSA-c3rp-4cjh-cp38,zope,">= 2.5.0,< 2.5.1"
GHSA-9cmq-pj6p-hgwf,zope,">= 0,< 2.2.1"
GHSA-5jq3-8437-x35p,roundup,">= 0,< 1.4.20"
GHSA-cqxx-66wh-8pjw,irrd,">= 4.2.0,< 4.2.3"
GHSA-7r87-cj48-wj45,flask-session-captcha,">= 0,< 1.2.1"
GHSA-m87f-39q9-6f55,notebook,">= 0,< 6.4.10"
GHSA-h2xh-jvpf-xq42,zope,">= 2.2.0,<= 2.2.4"
GHSA-w24h-v9qh-8gxj,Django,">= 2.2,< 2.2.28"
GHSA-w24h-v9qh-8gxj,Django,">= 3.2,< 3.2.13"
GHSA-w24h-v9qh-8gxj,Django,">= 4.0,< 4.0.4"
GHSA-7whr-j8vf-r4wj,zope,">= 2.2.0,<= 2.2.4"
GHSA-82rm-28q9-435p,mailman,">= 0,< 2.1.1"
GHSA-vh6g-786f-hxxp,zope,">= 3.1.1,< 3.7.3"
GHSA-vh6g-786f-hxxp,zope2,">= 0,< 2.12.22"
GHSA-vh6g-786f-hxxp,zope2,">= 2.13.0a1,< 2.13.12"
GHSA-wcwp-r3fj-mm3p,zope,">= 2.2.0,<= 2.2.4"
GHSA-jfgc-5vh4-8rh5,trytond,">= 2.4.0,< 2.4.2"
GHSA-3r7g-wrpr-j5g4,django-mfa3,">= 0,< 0.5.0"
