Identifier,Package,VersionConstraint
GHSA-c6fh-56w7-fvjw,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-c6fh-56w7-fvjw,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-c6fh-56w7-fvjw,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-c6fh-56w7-fvjw,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-5qw5-89mw-wcg2,tensorflow,">= 0,< 2.5.3"
GHSA-5qw5-89mw-wcg2,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-5qw5-89mw-wcg2,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-5qw5-89mw-wcg2,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-5qw5-89mw-wcg2,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-5qw5-89mw-wcg2,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-5qw5-89mw-wcg2,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-5qw5-89mw-wcg2,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-5qw5-89mw-wcg2,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-24x4-6qmh-88qg,tensorflow,">= 0,< 2.5.3"
GHSA-24x4-6qmh-88qg,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-24x4-6qmh-88qg,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-24x4-6qmh-88qg,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-24x4-6qmh-88qg,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-24x4-6qmh-88qg,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-24x4-6qmh-88qg,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-24x4-6qmh-88qg,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-24x4-6qmh-88qg,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-x7jh-595q-wq82,ansible,">= 2.7.0,<= 2.10.0"
GHSA-qj5r-f9mv-rffh,tensorflow,">= 0,< 2.5.3"
GHSA-qj5r-f9mv-rffh,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-qj5r-f9mv-rffh,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-qj5r-f9mv-rffh,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-qj5r-f9mv-rffh,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-qj5r-f9mv-rffh,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-qj5r-f9mv-rffh,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-qj5r-f9mv-rffh,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-qj5r-f9mv-rffh,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-f85h-23mf-2fwh,ansible,">= 0,<= 2.9.19"
GHSA-428x-9xc2-m8mj,tensorflow,">= 0,< 2.5.3"
GHSA-428x-9xc2-m8mj,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-428x-9xc2-m8mj,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-428x-9xc2-m8mj,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-428x-9xc2-m8mj,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-428x-9xc2-m8mj,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-428x-9xc2-m8mj,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-428x-9xc2-m8mj,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-428x-9xc2-m8mj,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-vq36-27g6-p492,tensorflow,">= 2.8.0-rc0,< 2.8.0"
GHSA-vq36-27g6-p492,tensorflow-cpu,">= 2.8.0-rc0,< 2.8.0"
GHSA-vq36-27g6-p492,tensorflow-gpu,">= 2.8.0-rc0,< 2.8.0"
GHSA-785x-qw4v-6872,ansible,">= 0,< 2.10.0"
GHSA-6gmv-pjp9-p8w8,tensorflow,">= 0,< 2.5.3"
GHSA-6gmv-pjp9-p8w8,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-6gmv-pjp9-p8w8,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-6gmv-pjp9-p8w8,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-6gmv-pjp9-p8w8,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-6gmv-pjp9-p8w8,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-6gmv-pjp9-p8w8,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-6gmv-pjp9-p8w8,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-6gmv-pjp9-p8w8,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-9x52-887g-fhc2,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-9x52-887g-fhc2,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-9x52-887g-fhc2,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-9c78-vcq7-7vxq,tensorflow,">= 0,< 2.5.3"
GHSA-9c78-vcq7-7vxq,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-9c78-vcq7-7vxq,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-9c78-vcq7-7vxq,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-9c78-vcq7-7vxq,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-9c78-vcq7-7vxq,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-9c78-vcq7-7vxq,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-9c78-vcq7-7vxq,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-9c78-vcq7-7vxq,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-8cxv-76p7-jxwr,tensorflow,">= 0,< 2.5.3"
GHSA-8cxv-76p7-jxwr,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-8cxv-76p7-jxwr,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-8cxv-76p7-jxwr,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-8cxv-76p7-jxwr,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-8cxv-76p7-jxwr,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-8cxv-76p7-jxwr,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-8cxv-76p7-jxwr,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-8cxv-76p7-jxwr,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-wfjw-w6pv-8p7f,Flask-AppBuilder,">= 0,< 3.4.4"
GHSA-gwcx-jrx4-92w2,tensorflow,">= 2.8.0-rc0,< 2.8.0"
GHSA-gwcx-jrx4-92w2,tensorflow-cpu,">= 2.8.0-rc0,< 2.8.0"
GHSA-gwcx-jrx4-92w2,tensorflow-gpu,">= 2.8.0-rc0,< 2.8.0"
GHSA-gjqc-q9g6-q2j3,tensorflow,">= 0,< 2.5.3"
GHSA-gjqc-q9g6-q2j3,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-gjqc-q9g6-q2j3,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-gjqc-q9g6-q2j3,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-gjqc-q9g6-q2j3,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-gjqc-q9g6-q2j3,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-gjqc-q9g6-q2j3,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-gjqc-q9g6-q2j3,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-gjqc-q9g6-q2j3,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-4w8p-x6g8-fv64,calibreweb,">= 0,< 0.6.16"
GHSA-95rw-fx8r-36v6,Django,">= 2.2,< 2.2.27"
GHSA-95rw-fx8r-36v6,Django,">= 3.2,< 3.2.12"
GHSA-95rw-fx8r-36v6,Django,">= 4.0,< 4.0.2"
GHSA-6cw3-g6wv-c2xv,Django,">= 2.2,< 2.2.27"
GHSA-6cw3-g6wv-c2xv,Django,">= 3.2,< 3.2.12"
GHSA-6cw3-g6wv-c2xv,Django,">= 4.0,< 4.0.2"
GHSA-wcv5-vrvr-3rx2,tensorflow,">= 0,< 2.5.3"
GHSA-wcv5-vrvr-3rx2,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-wcv5-vrvr-3rx2,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-wcv5-vrvr-3rx2,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-wcv5-vrvr-3rx2,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-wcv5-vrvr-3rx2,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-wcv5-vrvr-3rx2,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-wcv5-vrvr-3rx2,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-wcv5-vrvr-3rx2,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-43q8-3fv7-pr5x,tensorflow,">= 0,< 2.5.3"
GHSA-43q8-3fv7-pr5x,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-43q8-3fv7-pr5x,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-43q8-3fv7-pr5x,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-43q8-3fv7-pr5x,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-43q8-3fv7-pr5x,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-43q8-3fv7-pr5x,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-43q8-3fv7-pr5x,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-43q8-3fv7-pr5x,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-v3f7-j968-4h5f,tensorflow,">= 0,< 2.5.3"
GHSA-v3f7-j968-4h5f,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-v3f7-j968-4h5f,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-v3f7-j968-4h5f,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-v3f7-j968-4h5f,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-v3f7-j968-4h5f,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-v3f7-j968-4h5f,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-v3f7-j968-4h5f,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-v3f7-j968-4h5f,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-9gwq-6cwj-47h3,tensorflow,">= 0,< 2.5.3"
GHSA-9gwq-6cwj-47h3,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-9gwq-6cwj-47h3,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-9gwq-6cwj-47h3,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-9gwq-6cwj-47h3,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-9gwq-6cwj-47h3,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-9gwq-6cwj-47h3,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-9gwq-6cwj-47h3,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-9gwq-6cwj-47h3,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-rrx2-r989-2c43,tensorflow,">= 0,< 2.5.3"
GHSA-rrx2-r989-2c43,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-rrx2-r989-2c43,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-rrx2-r989-2c43,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-rrx2-r989-2c43,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-rrx2-r989-2c43,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-rrx2-r989-2c43,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-rrx2-r989-2c43,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-rrx2-r989-2c43,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-pfjj-m3jj-9jc9,tensorflow,">= 0,< 2.5.3"
GHSA-pfjj-m3jj-9jc9,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-pfjj-m3jj-9jc9,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-pfjj-m3jj-9jc9,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-pfjj-m3jj-9jc9,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-pfjj-m3jj-9jc9,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-pfjj-m3jj-9jc9,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-pfjj-m3jj-9jc9,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-pfjj-m3jj-9jc9,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-vg27-hr3v-3cqv,pollbot,">= 0,< 1.4.6"
GHSA-77gp-3h4r-6428,tensorflow,">= 0,< 2.5.3"
GHSA-77gp-3h4r-6428,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-77gp-3h4r-6428,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-77gp-3h4r-6428,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-77gp-3h4r-6428,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-77gp-3h4r-6428,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-77gp-3h4r-6428,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-77gp-3h4r-6428,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-77gp-3h4r-6428,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-j3mj-fhpq-qqjj,tensorflow,">= 0,< 2.5.3"
GHSA-j3mj-fhpq-qqjj,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-j3mj-fhpq-qqjj,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-j3mj-fhpq-qqjj,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-j3mj-fhpq-qqjj,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-j3mj-fhpq-qqjj,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-j3mj-fhpq-qqjj,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-j3mj-fhpq-qqjj,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-j3mj-fhpq-qqjj,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-65xw-pcqw-hjrh,apache-airflow,">= 0,< 2.2.4"
GHSA-8r7c-3cm2-3h8f,tensorflow,">= 0,< 2.5.3"
GHSA-8r7c-3cm2-3h8f,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-8r7c-3cm2-3h8f,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-8r7c-3cm2-3h8f,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-8r7c-3cm2-3h8f,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-8r7c-3cm2-3h8f,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-8r7c-3cm2-3h8f,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-8r7c-3cm2-3h8f,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-8r7c-3cm2-3h8f,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-fhpf-pp6p-55qc,treq,">= 0,< 22.1.0"
GHSA-6445-fm66-fvq2,tensorflow,">= 0,< 2.5.3"
GHSA-6445-fm66-fvq2,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-6445-fm66-fvq2,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-6445-fm66-fvq2,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-6445-fm66-fvq2,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-6445-fm66-fvq2,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-6445-fm66-fvq2,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-6445-fm66-fvq2,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-6445-fm66-fvq2,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-fx5c-h9f6-rv7c,tensorflow,">= 0,< 2.5.3"
GHSA-fx5c-h9f6-rv7c,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-fx5c-h9f6-rv7c,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-fx5c-h9f6-rv7c,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-fx5c-h9f6-rv7c,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-fx5c-h9f6-rv7c,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-fx5c-h9f6-rv7c,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-fx5c-h9f6-rv7c,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-fx5c-h9f6-rv7c,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-9p77-mmrw-69c7,tensorflow,">= 0,< 2.5.3"
GHSA-9p77-mmrw-69c7,tensorflow,">= 2.6.0,< 2.6.3"
GHSA-9p77-mmrw-69c7,tensorflow,">= 2.7.0,< 2.7.1"
GHSA-9p77-mmrw-69c7,tensorflow-cpu,">= 0,< 2.5.3"
GHSA-9p77-mmrw-69c7,tensorflow-cpu,">= 2.6.0,< 2.6.3"
GHSA-9p77-mmrw-69c7,tensorflow-cpu,">= 2.7.0,< 2.7.1"
GHSA-9p77-mmrw-69c7,tensorflow-gpu,">= 0,< 2.5.3"
GHSA-9p77-mmrw-69c7,tensorflow-gpu,">= 2.6.0,< 2.6.3"
GHSA-9p77-mmrw-69c7,tensorflow-gpu,">= 2.7.0,< 2.7.1"
GHSA-vp9j-rghq-8jhh,ansible,">= 0,<= 2.9.9"
GHSA-j667-c2hm-f2wp,ansible,">= 0,< 2.8.14"
GHSA-j667-c2hm-f2wp,ansible,">= 2.9.0,< 2.9.12"
GHSA-43xg-8wmj-cw8h,pyspark,">= 0,< 3.2.2"
GHSA-rg94-84xj-7gq3,apache-airflow,">= 0,< 2.4.3"
GHSA-cg88-rpvp-cjv5,tensorflow,">= 0,< 2.8.4"
GHSA-cg88-rpvp-cjv5,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-cg88-rpvp-cjv5,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-cg88-rpvp-cjv5,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-cg88-rpvp-cjv5,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-cg88-rpvp-cjv5,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-cg88-rpvp-cjv5,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-cg88-rpvp-cjv5,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-cg88-rpvp-cjv5,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-xx6g-jj35-pxjv,wsgidav,">= 3.0.0a1,< 4.1.0"
GHSA-mv77-9g28-cwg3,tensorflow,">= 0,< 2.8.4"
GHSA-mv77-9g28-cwg3,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-mv77-9g28-cwg3,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-mv77-9g28-cwg3,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-mv77-9g28-cwg3,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-mv77-9g28-cwg3,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-mv77-9g28-cwg3,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-mv77-9g28-cwg3,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-mv77-9g28-cwg3,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-m2xp-jxfg-qq6g,ckan,">= 0,< 2.9.7"
GHSA-hf94-8mx5-2vvj,kiwitcms,">= 0,< 11.6"
GHSA-5r3h-c3r7-9w4h,pulsar-client,">= 0,< 2.7.5"
GHSA-5r3h-c3r7-9w4h,pulsar-client,">= 2.8.0,< 2.8.4"
GHSA-5r3h-c3r7-9w4h,pulsar-client,">= 2.9.0,< 2.9.3"
GHSA-5r3h-c3r7-9w4h,pulsar-client,">= 2.10.0,< 2.10.2"
GHSA-94qm-99qc-qwqj,rdiffweb,">= 0,< 2.5.0"
GHSA-g9fm-r5mm-rf9f,tensorflow,">= 0,< 2.8.4"
GHSA-g9fm-r5mm-rf9f,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-g9fm-r5mm-rf9f,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-g9fm-r5mm-rf9f,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-g9fm-r5mm-rf9f,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-g9fm-r5mm-rf9f,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-g9fm-r5mm-rf9f,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-g9fm-r5mm-rf9f,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-g9fm-r5mm-rf9f,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-q4mp-jvh2-76fj,pillow,">= 9.2.0,< 9.3.0"
GHSA-6x99-gv2v-q76v,tensorflow,">= 0,< 2.8.4"
GHSA-6x99-gv2v-q76v,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-6x99-gv2v-q76v,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-6x99-gv2v-q76v,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-6x99-gv2v-q76v,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-6x99-gv2v-q76v,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-6x99-gv2v-q76v,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-6x99-gv2v-q76v,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-6x99-gv2v-q76v,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-66vq-54fq-6jvv,tensorflow,">= 0,< 2.8.4"
GHSA-66vq-54fq-6jvv,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-66vq-54fq-6jvv,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-66vq-54fq-6jvv,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-66vq-54fq-6jvv,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-66vq-54fq-6jvv,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-66vq-54fq-6jvv,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-66vq-54fq-6jvv,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-66vq-54fq-6jvv,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-27rc-728f-x5w2,tensorflow,">= 0,< 2.8.4"
GHSA-27rc-728f-x5w2,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-27rc-728f-x5w2,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-27rc-728f-x5w2,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-27rc-728f-x5w2,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-27rc-728f-x5w2,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-27rc-728f-x5w2,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-27rc-728f-x5w2,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-27rc-728f-x5w2,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-4wph-9vrm-6v3w,rdiffweb,">= 0,< 2.5.0a6"
GHSA-368v-7v32-52fx,tensorflow,">= 0,< 2.8.4"
GHSA-368v-7v32-52fx,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-368v-7v32-52fx,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-368v-7v32-52fx,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-368v-7v32-52fx,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-368v-7v32-52fx,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-368v-7v32-52fx,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-368v-7v32-52fx,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-368v-7v32-52fx,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-hq7g-wwwp-q46h,tensorflow,">= 0,< 2.8.4"
GHSA-hq7g-wwwp-q46h,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-hq7g-wwwp-q46h,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-hq7g-wwwp-q46h,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-hq7g-wwwp-q46h,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-hq7g-wwwp-q46h,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-hq7g-wwwp-q46h,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-hq7g-wwwp-q46h,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-hq7g-wwwp-q46h,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-xf83-q765-xm6m,tensorflow,">= 0,< 2.8.4"
GHSA-xf83-q765-xm6m,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-xf83-q765-xm6m,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-xf83-q765-xm6m,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-xf83-q765-xm6m,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-xf83-q765-xm6m,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-xf83-q765-xm6m,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-xf83-q765-xm6m,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-xf83-q765-xm6m,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-frqp-wp83-qggv,tensorflow,">= 0,< 2.8.4"
GHSA-frqp-wp83-qggv,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-frqp-wp83-qggv,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-frqp-wp83-qggv,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-frqp-wp83-qggv,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-frqp-wp83-qggv,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-frqp-wp83-qggv,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-frqp-wp83-qggv,tensorflow-cpu,">= 2.10.0,< 2.10.1"
GHSA-frqp-wp83-qggv,tensorflow-gpu,">= 2.10.0,< 2.10.1"
GHSA-xxcj-rhqg-m46g,tensorflow,">= 0,< 2.8.4"
GHSA-xxcj-rhqg-m46g,tensorflow,">= 2.9.0,< 2.9.3"
GHSA-xxcj-rhqg-m46g,tensorflow,">= 2.10.0,< 2.10.1"
GHSA-xxcj-rhqg-m46g,tensorflow-cpu,">= 0,< 2.8.4"
GHSA-xxcj-rhqg-m46g,tensorflow-gpu,">= 0,< 2.8.4"
GHSA-xxcj-rhqg-m46g,tensorflow-cpu,">= 2.9.0,< 2.9.3"
GHSA-xxcj-rhqg-m46g,tensorflow-gpu,">= 2.9.0,< 2.9.3"
GHSA-xxcj-rhqg-m46g,tensorflow-cpu,">= 2.10.0,< 2.10.1"
