project,package_name,dependency_type,activation_status
althonos/instalooter,certifi,Transitive,Bloated
yashaka/selene,certifi,Transitive,Bloated
wechatpy/wechatpy,certifi,Transitive,Bloated
liqd/a4-opin,cryptography,Transitive,Bloated
liqd/a4-opin,certifi,Transitive,Bloated
liqd/adhocracy4,cryptography,Transitive,Bloated
liqd/adhocracy4,certifi,Transitive,Bloated
snare/voltron,certifi,Transitive,Bloated
fresna/powerplantmatching,certifi,Transitive,Bloated
vmware/photon,certifi,Direct,Bloated
gwpy/gwpy,cryptography,Transitive,Bloated
gwpy/gwpy,certifi,Transitive,Undefined
meejah/txtorcon,cryptography,Direct,Inactive
bigchaindb/bigchaindb,certifi,Transitive,Bloated
bigchaindb/bigchaindb,PyYAML,Transitive,Bloated
bigchaindb/bigchaindb,urllib3,Transitive,Inactive
bigchaindb/bigchaindb,Flask-Cors,Transitive,Inactive
bigchaindb/bigchaindb,requests,Transitive,Inactive
ktbyers/netmiko,cryptography,Transitive,Bloated
openpathsampling/openpathsampling,certifi,Transitive,Bloated
pagarme/pagarme-python,certifi,Transitive,Bloated
kapsiry/sikteeri,certifi,Transitive,Bloated
approvals/approvaltests.python,certifi,Transitive,Bloated
chrismattmann/tika-python,certifi,Transitive,Bloated
moepman/acertmgr,cryptography,Direct,Inactive
scille/parsec-cloud,certifi,Transitive,Bloated
icloud-photos-downloader/icloud_photos_downloader,certifi,Transitive,Bloated
icloud-photos-downloader/icloud_photos_downloader,cryptography,Transitive,Bloated
dials/dials,certifi,Direct,Bloated
rollbar/pyrollbar,certifi,Transitive,Bloated
lektor/lektor,certifi,Transitive,Bloated
spotdl/spotify-downloader,certifi,Transitive,Bloated
serhatbolsu/robotframework-appiumlibrary,certifi,Transitive,Bloated
tilezen/vector-datasource,certifi,Transitive,Bloated
tilezen/tilequeue,certifi,Transitive,Bloated
mozilla/mozilla-django-oidc,certifi,Transitive,Bloated
mozilla/mozilla-django-oidc,cryptography,Transitive,Inactive
mozilla/pontoon,certifi,Direct,Bloated
hdfgroup/hsds,aiohttp,Transitive,Active
hdfgroup/hsds,certifi,Transitive,Bloated
hdfgroup/hsds,cryptography,Direct,Inactive
hdfgroup/h5pyd,certifi,Transitive,Bloated
hdfgroup/h5pyd,cryptography,Transitive,Bloated
jbarlow83/ocrmypdf,cryptography,Transitive,Bloated
geopython/owslib,certifi,Transitive,Bloated
geopython/pywps,certifi,Transitive,Bloated
geopython/geohealthcheck,certifi,Transitive,Bloated
geopython/geohealthcheck,OWSLib,Direct,Inactive
geopython/geohealthcheck,Werkzeug,Direct,Inactive
sphinx-gallery/sphinx-gallery,certifi,Transitive,Bloated
nexb/aboutcode-toolkit,certifi,Direct,Bloated
yandex/yandex-tank,certifi,Transitive,Bloated
yandex/yandex-tank,cryptography,Direct,Bloated
yandex/yandex-tank,grpcio,Direct,Undefined
getsentry/responses,certifi,Transitive,Bloated
hyperspy/hyperspyui,certifi,Transitive,Bloated
hyperspy/hyperspy,certifi,Transitive,Bloated
achael/eht-imaging,certifi,Transitive,Undefined
ucfopen/canvasapi,certifi,Transitive,Bloated
broadinstitute/fiss,certifi,Transitive,Bloated
sys-bio/tellurium,certifi,Transitive,Bloated
soco/soco,certifi,Transitive,Bloated
twitterdev/twitter-python-ads-sdk,certifi,Transitive,Bloated
cog-creators/red-discordbot,aiohttp,Direct,Active
projectq-framework/projectq,certifi,Transitive,Bloated
jupyter/kernel_gateway,certifi,Transitive,Bloated
jupyter/nbgrader,certifi,Transitive,Bloated
aliyun/aliyun-oss-python-sdk,certifi,Transitive,Bloated
aliyun/aliyun-oss-python-sdk,cryptography,Transitive,Bloated
whynothugo/django-mercadopago,certifi,Transitive,Bloated
armmbed/mbed-cli,certifi,Transitive,Bloated
snok/django-auth-adfs,certifi,Transitive,Bloated
snok/django-auth-adfs,cryptography,Direct,Inactive
goshippo/shippo-python-client,certifi,Transitive,Bloated
goshippo/shippo-python-client,requests,Direct,Inactive
atlassian-api/atlassian-python-api,certifi,Transitive,Bloated
picklepete/pyicloud,certifi,Transitive,Bloated
picklepete/pyicloud,cryptography,Transitive,Bloated
donnemartin/saws,configobj,Direct,Inactive
pahaz/sshtunnel,cryptography,Transitive,Bloated
scrapy/scrapy,certifi,Transitive,Bloated
scrapy/scrapy,cryptography,Direct,Inactive
scrapy/scrapyd,certifi,Transitive,Bloated
scrapy/scrapyd,cryptography,Transitive,Inactive
autopkg/autopkg,certifi,Direct,Undefined
jrnl-org/jrnl,cryptography,Direct,Inactive
archlinux/arch-security-tracker,certifi,Transitive,Bloated
archlinux/arch-security-tracker,cryptography,Transitive,Inactive
cmu-delphi/delphi-epidata,certifi,Transitive,Bloated
cmu-delphi/delphi-epidata,aiohttp,Direct,Inactive
choderalab/yank,certifi,Transitive,Bloated
choderalab/yank,cryptography,Transitive,Bloated
kenfar/datagristle,py,Transitive,Bloated
uw-hydro/rvic,certifi,Transitive,Bloated
datadog/datadogpy,certifi,Transitive,Bloated
vijos/vj4,aiohttp,Direct,Active
vijos/vj4,certifi,Transitive,Bloated
bluesky/databroker,certifi,Transitive,Undefined
translate/translate,certifi,Transitive,Bloated
pypsa/atlite,certifi,Transitive,Bloated
esgf/esgf-pyclient,certifi,Transitive,Bloated
esgf/esgf-pyclient,cryptography,Transitive,Inactive
plotly/dash,certifi,Transitive,Bloated
eoxserver/eoxserver,certifi,Transitive,Bloated
wwood/singlem,cleo,Transitive,Bloated
sumologic/sumologic-python-sdk,certifi,Transitive,Bloated
salsita/shishito,certifi,Transitive,Bloated
tchellomello/python-amcrest,certifi,Transitive,Bloated
tensorlayer/tensorlayer,certifi,Transitive,Bloated
pycontribs/jira,certifi,Transitive,Bloated
graphbrain/graphbrain,certifi,Transitive,Bloated
fabfuel/ecs-deploy,certifi,Transitive,Bloated
nschloe/meshzoo,certifi,Transitive,Bloated
nschloe/meshzoo,cryptography,Transitive,Bloated
zulko/moviepy,certifi,Transitive,Bloated
home-assistant-ecosystem/home-assistant-cli,aiohttp,Direct,Bloated
home-assistant-ecosystem/home-assistant-cli,certifi,Transitive,Bloated
home-assistant-ecosystem/python-mystrom,certifi,Transitive,Bloated
home-assistant-ecosystem/python-mystrom,aiohttp,Direct,Inactive
oemof/feedinlib,certifi,Transitive,Bloated
sassoftware/python-swat,certifi,Transitive,Undefined
bundlewrap/bundlewrap,certifi,Transitive,Bloated
bundlewrap/bundlewrap,cryptography,Direct,Inactive
wradlib/wradlib,certifi,Transitive,Bloated
ccrisan/motioneye,tornado,Direct,Inactive
taspinar/twitterscraper,certifi,Transitive,Bloated
xknx/xknx,cryptography,Direct,Inactive
