,Name,Status,Bloat Files,Used Files,Bloated Functions,Used Functions,percentage_bloated_functions,percentage_bloated_files
43,aiohttp,Active,28,19,1073,139,0.8853135313531353,0.5957446808510638
44,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
45,aiohttp,Inactive,34,11,1162,70,0.9431818181818182,0.7555555555555555
46,cryptography,Inactive,61,11,1219,72,0.9442292796281953,0.8472222222222222
47,tornado,Inactive,67,31,3253,214,0.9382751658494376,0.6836734693877551
48,cryptography,Inactive,61,11,1256,37,0.97138437741686,0.8472222222222222
49,pycrypto,Active,72,30,419,78,0.8430583501006036,0.7058823529411765
50,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
51,cryptography,Inactive,58,14,1229,63,0.9512383900928792,0.8055555555555556
52,PyPDF2,Inactive,22,10,584,107,0.8451519536903039,0.6875
53,cryptography,Inactive,63,9,1259,34,0.9737045630317092,0.875
54,Django,Active,664,193,7211,1066,0.8712093753775523,0.7747957992998833
55,cryptography,Inactive,44,28,1148,152,0.8830769230769231,0.6111111111111112
56,aiohttp,Inactive,40,5,1215,17,0.9862012987012987,0.8888888888888888
57,Werkzeug,Inactive,26,17,1102,82,0.9307432432432432,0.6046511627906976
58,cryptography,Inactive,62,10,1236,55,0.9573973663826492,0.8611111111111112
59,cryptography,Inactive,63,9,1267,24,0.981409759876065,0.875
60,Django,Active,656,201,7191,1077,0.8697387518142236,0.7654609101516919
61,cryptography,Inactive,62,10,1263,29,0.9775541795665634,0.8611111111111112
62,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
63,cryptography,Inactive,57,15,1213,79,0.9388544891640866,0.7916666666666666
64,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
65,aiohttp,Active,36,9,1207,29,0.9765372168284789,0.8
66,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
67,aiohttp,Active,27,18,1123,112,0.9093117408906882,0.6
68,Werkzeug,Inactive,41,6,1140,11,0.9904430929626412,0.8723404255319149
69,aiohttp,Inactive,40,5,1217,15,0.9878246753246753,0.8888888888888888
70,cryptography,Inactive,65,7,1267,24,0.981409759876065,0.9027777777777778
71,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
72,cryptography,Inactive,59,13,1246,45,0.965143299767622,0.8194444444444444
73,cryptography,Inactive,58,14,1253,40,0.9690641918020109,0.8055555555555556
74,PyYAML,Inactive,21,10,552,20,0.965034965034965,0.6774193548387096
75,cryptography,Inactive,57,15,1227,66,0.9489559164733179,0.7916666666666666
76,Werkzeug,Active,25,18,1081,102,0.9137785291631445,0.5813953488372093
77,Django,Active,664,173,7039,812,0.8965736848809069,0.7933094384707288
78,sentry-sdk,Inactive,48,2,572,3,0.9947826086956522,0.96
79,GitPython,Inactive,30,7,601,40,0.9375975039001561,0.8108108108108109
80,Werkzeug,Inactive,29,18,1057,94,0.9183318853171155,0.6170212765957447
81,cryptography,Inactive,58,14,1238,53,0.9589465530596437,0.8055555555555556
82,cryptography,Inactive,58,14,1253,40,0.9690641918020109,0.8055555555555556
83,requests,Active,7,11,149,83,0.6422413793103449,0.3888888888888889
84,cryptography,Inactive,69,3,1289,3,0.9976780185758514,0.9583333333333334
85,cryptography,Inactive,69,3,1289,3,0.9976780185758514,0.9583333333333334
86,requests,Active,7,11,148,88,0.6271186440677966,0.3888888888888889
87,cryptography,Inactive,59,13,1246,45,0.965143299767622,0.8194444444444444
88,requests,Inactive,11,7,223,13,0.9449152542372882,0.6111111111111112
89,requests,Active,7,11,148,85,0.6351931330472103,0.3888888888888889
90,waitress,Inactive,15,1,218,2,0.990909090909091,0.9375
91,joblib,Inactive,52,3,722,6,0.9917582417582418,0.9454545454545454
92,py,Inactive,167,5,5540,13,0.9976589231046281,0.9709302325581395
93,cryptography,Inactive,62,10,1262,29,0.9775367931835787,0.8611111111111112
94,requests,Inactive,12,6,225,11,0.9533898305084746,0.6666666666666666
95,cryptography,Inactive,60,12,1236,58,0.955177743431221,0.8333333333333334
96,gunicorn,Inactive,27,10,458,61,0.882466281310212,0.7297297297297297
97,Werkzeug,Inactive,53,10,1696,31,0.9820497973364215,0.8412698412698413
98,autobahn,Inactive,124,6,1982,22,0.9890219560878244,0.9538461538461539
99,cryptography,Inactive,70,2,1285,6,0.9953524399690162,0.9722222222222222
100,requests,Active,7,11,153,83,0.6483050847457628,0.3888888888888889
101,requests,Inactive,12,6,221,11,0.9525862068965517,0.6666666666666666
102,GitPython,Inactive,23,13,567,63,0.9,0.6388888888888888
103,aiohttp,Inactive,40,5,1214,19,0.9845904298459043,0.8888888888888888
104,requests,Active,7,11,154,82,0.652542372881356,0.3888888888888889
105,cryptography,Active,57,15,1223,69,0.9465944272445821,0.7916666666666666
106,cryptography,Inactive,42,30,1130,168,0.8705701078582434,0.5833333333333334
107,cryptography,Inactive,64,8,1265,27,0.9791021671826625,0.8888888888888888
108,aiohttp,Active,32,13,1166,68,0.9448946515397083,0.7111111111111111
109,cryptography,Inactive,62,10,1262,30,0.9767801857585139,0.8611111111111112
110,cryptography,Inactive,50,22,1168,129,0.9005397070161912,0.6944444444444444
111,wagtail,Inactive,549,21,3309,67,0.980154028436019,0.9631578947368421
112,cryptography,Inactive,56,16,1191,100,0.9225406661502711,0.7777777777777778
113,aiohttp,Inactive,34,11,1161,72,0.9416058394160584,0.7555555555555555
114,aiohttp,Active,36,9,1178,58,0.9530744336569579,0.8
115,aiohttp,Inactive,31,14,1149,84,0.9318734793187348,0.6888888888888889
116,aiohttp,Active,39,6,1208,25,0.9797242497972425,0.8666666666666667
117,aiohttp,Inactive,43,2,1226,6,0.9951298701298701,0.9555555555555556
118,aiohttp,Active,26,19,1117,117,0.9051863857374393,0.5777777777777777
119,cryptography,Inactive,63,9,1265,27,0.9791021671826625,0.875
120,configobj,Inactive,2,1,132,1,0.9924812030075187,0.6666666666666666
121,cryptography,Inactive,63,9,1256,37,0.97138437741686,0.875
122,requests,Active,7,11,146,87,0.6266094420600858,0.3888888888888889
123,aiohttp,Inactive,42,3,1226,7,0.9943227899432279,0.9333333333333333
124,configobj,Inactive,1,2,101,32,0.7593984962406015,0.3333333333333333
125,cryptography,Inactive,67,5,1269,22,0.9829589465530596,0.9305555555555556
126,cryptography,Inactive,50,22,1198,96,0.9258114374034003,0.6944444444444444
127,cryptography,Inactive,63,9,1268,23,0.9821843532145623,0.875
128,GitPython,Inactive,23,13,576,54,0.9142857142857143,0.6388888888888888
129,Werkzeug,Inactive,36,7,1153,29,0.9754653130287648,0.8372093023255814
130,requests,Inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
131,cryptography,Inactive,66,6,1279,12,0.9907048799380326,0.9166666666666666
132,aiohttp,Active,35,12,1179,32,0.9735755573905863,0.7446808510638298
133,cryptography,Inactive,71,1,1290,1,0.9992254066615027,0.9861111111111112
134,cryptography,Inactive,62,10,1255,37,0.9713622291021672,0.8611111111111112
135,cryptography,Inactive,59,13,1252,52,0.9601226993865031,0.8194444444444444
136,cryptography,Inactive,61,11,1235,56,0.9566227730441518,0.8472222222222222
137,Django,Inactive,601,256,6935,1355,0.8365500603136309,0.7012835472578763
138,Werkzeug,Inactive,39,8,1119,35,0.9696707105719238,0.8297872340425532
139,requests,Inactive,11,7,221,13,0.9444444444444444,0.6111111111111112
140,aiohttp,Inactive,40,5,1215,19,0.9846029173419774,0.8888888888888888
141,redis,Inactive,58,5,1573,23,0.9855889724310777,0.9206349206349206
142,configobj,Inactive,2,1,98,35,0.7368421052631579,0.6666666666666666
143,requests,Inactive,11,7,221,15,0.9364406779661016,0.6111111111111112
144,Werkzeug,Inactive,33,10,1142,40,0.9661590524534687,0.7674418604651163
145,cryptography,Inactive,69,3,1289,3,0.9976780185758514,0.9583333333333334
146,aiohttp,Inactive,39,6,1227,8,0.9935222672064777,0.8666666666666667
147,cleo,Active,35,29,458,127,0.7829059829059829,0.546875
148,cryptography,Inactive,63,9,1268,23,0.9821843532145623,0.875
